<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PROCW.US,D,20211001,000000,1.03,1.24,1.03,1.0684,156574,0
PROCW.US,D,20211004,000000,1.0001,1.15,0.97,1.08,78205,0
PROCW.US,D,20211005,000000,0.99,1.1,0.98,1.035,43419,0
PROCW.US,D,20211006,000000,1.0383,1.07,0.96,1.05,20473,0
PROCW.US,D,20211007,000000,1.03,1.04,0.9901,1.04,36921,0
PROCW.US,D,20211008,000000,1.04,1.2,1.0005,1.2,32276,0
PROCW.US,D,20211011,000000,1.09,1.09,0.9701,1.05,48202,0
PROCW.US,D,20211012,000000,1.09,1.09,1.02,1.09,51012,0
PROCW.US,D,20211013,000000,1.12,1.12,0.9812,1.02,91193,0
PROCW.US,D,20211014,000000,1.03,1.03,0.96,1.03,131379,0
PROCW.US,D,20211015,000000,1.03,1.03,0.9601,0.9999,49087,0
PROCW.US,D,20211018,000000,1.03,1.03,0.96,0.9999,60425,0
PROCW.US,D,20211019,000000,0.999,1.02,0.9701,0.9975,27193,0
PROCW.US,D,20211020,000000,1.03,1.05,1,1.03,51956,0
PROCW.US,D,20211021,000000,1.04,1.14,1,1.05,68114,0
PROCW.US,D,20211022,000000,1.05,1.12,1.03,1.04,120527,0
PROCW.US,D,20211025,000000,1.05,1.09,0.98505,1.08,150006,0
PROCW.US,D,20211026,000000,1.06,1.06,0.96,1,36657,0
PROCW.US,D,20211027,000000,1.03,1.12,0.9601,1.12,26407,0
