<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KPTI.US,D,20131106,000000,17.86,19.09,15.61,16.05,5951101,0
KPTI.US,D,20131107,000000,16,16.05,15.81,15.98,246625,0
KPTI.US,D,20131108,000000,15.92,16.38,15.5,16.24,502700,0
KPTI.US,D,20131111,000000,16.62,16.62,16,16.07,58800,0
KPTI.US,D,20131112,000000,16.02,16.24,15.84,16,107933,0
KPTI.US,D,20131113,000000,16,16.19,15.8,16.01,149300,0
KPTI.US,D,20131114,000000,16,16.05,15.925,16.01,118063,0
KPTI.US,D,20131115,000000,16.05,16.61,16,16,177300,0
KPTI.US,D,20131118,000000,16.01,16.03,15.95,16.03,51200,0
KPTI.US,D,20131119,000000,16.03,16.56,15.87,16,103300,0
KPTI.US,D,20131120,000000,16,16.1,15.94,16,35336,0
KPTI.US,D,20131121,000000,16.09,16.19,16,16,144900,0
KPTI.US,D,20131122,000000,16.06,16.1,16,16,138400,0
KPTI.US,D,20131125,000000,16.02,16.19,16,16,47000,0
KPTI.US,D,20131126,000000,16,16.14,15.82,16,108100,0
KPTI.US,D,20131127,000000,16,16.21,16,16.21,230883,0
KPTI.US,D,20131129,000000,16.23,16.84,16.02,16.29,104858,0
KPTI.US,D,20131202,000000,16.62,17.05,16.02,16.18,247300,0
KPTI.US,D,20131203,000000,16.3,16.5,16,16.14,75700,0
KPTI.US,D,20131204,000000,16.2,16.2,15.96,16.11,71966,0
KPTI.US,D,20131205,000000,16.11,16.35,16,16.03,505700,0
KPTI.US,D,20131206,000000,16.09,16.98,16.05,16.91,61400,0
KPTI.US,D,20131209,000000,17.76,18.6,17.51,18.31,356800,0
KPTI.US,D,20131210,000000,18.51,18.79,17.76,18.21,133300,0
KPTI.US,D,20131211,000000,18.11,19.05,17.24,17.69,148100,0
KPTI.US,D,20131212,000000,17.79,18.76,16.82,18.2,208700,0
KPTI.US,D,20131213,000000,18.35,20.32,17.95,19.96,218400,0
KPTI.US,D,20131216,000000,20.17,21.43,19.58,21.05,191200,0
KPTI.US,D,20131217,000000,21.3,24.22,21.3,23.55,364400,0
KPTI.US,D,20131218,000000,23.31,24.48,23.3,23.66,276360,0
KPTI.US,D,20131219,000000,23.82,25.69,23.3,23.96,250800,0
KPTI.US,D,20131220,000000,24.03,24.59,23.59,24.08,1490600,0
KPTI.US,D,20131223,000000,25.24,25.25,23.83,23.86,113700,0
KPTI.US,D,20131224,000000,23.8,23.86,23.24,23.4,51511,0
KPTI.US,D,20131226,000000,23.56,23.62,22.17,22.44,175700,0
KPTI.US,D,20131227,000000,22.54,22.78,21.41,22.1,103219,0
KPTI.US,D,20131230,000000,21.88,23.19,21.13,22.08,99814,0
KPTI.US,D,20131231,000000,22.2,23.14,21.74,22.92,116352,0
KPTI.US,D,20140102,000000,23.93,24.08,22.87,23.01,158135,0
KPTI.US,D,20140103,000000,23.12,23.125,22.13,22.73,36337,0
KPTI.US,D,20140106,000000,22.99,24.03,22.56,22.74,84300,0
KPTI.US,D,20140107,000000,21.56,23.18,21.56,22.73,55400,0
KPTI.US,D,20140108,000000,22.72,23.72,22.06,22.15,55800,0
KPTI.US,D,20140109,000000,22.29,22.58,21.21,21.73,51400,0
KPTI.US,D,20140110,000000,21.82,22.99,21.45,21.58,61200,0
KPTI.US,D,20140113,000000,21.4,21.61,21.13,21.57,45400,0
KPTI.US,D,20140114,000000,21.55,23.82,21.52,23.01,119300,0
KPTI.US,D,20140115,000000,23.17,25.96,23.17,24.19,261830,0
KPTI.US,D,20140116,000000,24.28,25.98,24.28,25.8,174000,0
KPTI.US,D,20140117,000000,25.88,28.75,25.88,27.01,237300,0
KPTI.US,D,20140121,000000,28.25,28.25,26.79,27.31,102000,0
KPTI.US,D,20140122,000000,27.59,32.355,27.59,31.8,221920,0
KPTI.US,D,20140123,000000,31.79,32.19,29.71,31.01,166192,0
KPTI.US,D,20140124,000000,31.01,31.25,30.3,30.54,140400,0
KPTI.US,D,20140127,000000,31,31,29.6,29.93,144193,0
KPTI.US,D,20140128,000000,29.77,30.86,29.77,29.99,100600,0
KPTI.US,D,20140129,000000,30,32.21,29.75,31.28,164000,0
KPTI.US,D,20140130,000000,33.33,33.77,30.46,33.05,103734,0
KPTI.US,D,20140131,000000,32.64,35.62,32.63,34.91,178800,0
KPTI.US,D,20140203,000000,33.004,35.73,33.004,34.07,150455,0
KPTI.US,D,20140204,000000,34.67,34.74,33.784,34,102079,0
