<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKYAU.US,D,20210520,000000,9.9,10,9.87,10,613059,0
SKYAU.US,D,20210521,000000,9.98,10,9.9,10,320041,0
SKYAU.US,D,20210524,000000,10,10,9.88,9.89,264390,0
SKYAU.US,D,20210525,000000,9.93,9.9356,9.89,9.89,32403,0
SKYAU.US,D,20210526,000000,10,10,9.92,9.93,33984,0
SKYAU.US,D,20210527,000000,9.89,9.95,9.89,9.93,363158,0
SKYAU.US,D,20210528,000000,9.9305,9.95,9.9201,9.95,9538,0
SKYAU.US,D,20210601,000000,9.9201,9.94,9.9201,9.93,19918,0
SKYAU.US,D,20210602,000000,9.92,9.95,9.91,9.93,14009,0
SKYAU.US,D,20210603,000000,9.965,9.965,9.94,9.94,15668,0
SKYAU.US,D,20210604,000000,9.95,9.97,9.93,9.95,90936,0
SKYAU.US,D,20210607,000000,9.99,10.02,9.9382,10.02,684679,0
SKYAU.US,D,20210608,000000,10,10.05,9.95,10.05,393869,0
SKYAU.US,D,20210609,000000,10.01,10.05,10,10,17553,0
SKYAU.US,D,20210610,000000,9.96,10.02,9.92,10,52126,0
SKYAU.US,D,20210611,000000,9.98,9.98,9.93,9.95,174278,0
SKYAU.US,D,20210614,000000,10,10,10,10,13302,0
SKYAU.US,D,20210615,000000,10.02,10.0384,10.02,10.02,111211,0
SKYAU.US,D,20210616,000000,10.01,10.01,9.95,9.98,978656,0
SKYAU.US,D,20210617,000000,9.98,9.98,9.98,9.98,211,0
SKYAU.US,D,20210618,000000,10.02,10.14,10.02,10.07,61164,0
SKYAU.US,D,20210621,000000,10.07,10.09,10.01,10.055,36677,0
SKYAU.US,D,20210622,000000,9.989,9.989,9.989,9.989,4502,0
SKYAU.US,D,20210623,000000,10.04,10.05,10.03,10.03,3079,0
SKYAU.US,D,20210624,000000,10.08,10.08,10.08,10.08,322,0
SKYAU.US,D,20210625,000000,10.08,10.13,10.0675,10.13,60944,0
SKYAU.US,D,20210628,000000,9.98,10.0001,9.97,10,13949,0
SKYAU.US,D,20210630,000000,10,10.025,10,10,3935,0
SKYAU.US,D,20210701,000000,9.98,10.04,9.98,10,40549,0
SKYAU.US,D,20210702,000000,10.05,10.05,10.05,10.05,216,0
SKYAU.US,D,20210706,000000,10,10,10,10,3000,0
SKYAU.US,D,20210709,000000,10,10.0158,9.99,9.99,22263,0
SKYAU.US,D,20210712,000000,10.006,10.014,10.006,10.014,1158,0
SKYAU.US,D,20210713,000000,10,10.05,10,10.01,68153,0
SKYAU.US,D,20210714,000000,10,10,10,10,40869,0
SKYAU.US,D,20210715,000000,10,10.0012,10,10,3500,0
SKYAU.US,D,20210716,000000,10.04,10.04,10,10,9125,0
SKYAU.US,D,20210721,000000,10.025,10.025,9.99,9.99,990,0
SKYAU.US,D,20210722,000000,10,10.01,9.99,9.99,24655,0
SKYAU.US,D,20210723,000000,9.99,10.02,9.99,10.02,26481,0
SKYAU.US,D,20210726,000000,10.1,10.12,9.98,9.98,125622,0
SKYAU.US,D,20210727,000000,9.98,9.99,9.98,9.98,97349,0
SKYAU.US,D,20210728,000000,9.9629,9.98,9.96,9.96,47657,0
SKYAU.US,D,20210729,000000,9.9247,9.94,9.87,9.92,16533,0
SKYAU.US,D,20210803,000000,9.9675,9.9675,9.9675,9.9675,100,0
SKYAU.US,D,20210805,000000,9.98,10,9.98,10,5005,0
SKYAU.US,D,20210809,000000,9.92,9.96,9.92,9.96,4613,0
SKYAU.US,D,20210813,000000,9.93,9.93,9.93,9.93,100,0
SKYAU.US,D,20210820,000000,9.9,9.9,9.9,9.9,5747,0
SKYAU.US,D,20210824,000000,9.9,9.9,9.87,9.89,25516,0
SKYAU.US,D,20210831,000000,9.87,9.9,9.86,9.87,174505,0
SKYAU.US,D,20210901,000000,9.87,9.87,9.85,9.85,220,0
SKYAU.US,D,20210903,000000,9.88,9.88,9.88,9.88,10100,0
SKYAU.US,D,20210908,000000,9.88,9.8924,9.88,9.8924,1700,0
SKYAU.US,D,20210910,000000,9.8459,9.8459,9.8459,9.8459,550,0
SKYAU.US,D,20210913,000000,9.86,9.93,9.86,9.92,34529,0
SKYAU.US,D,20210914,000000,9.93,9.93,9.93,9.93,1000,0
SKYAU.US,D,20210915,000000,9.85,9.86,9.85,9.85,1028,0
SKYAU.US,D,20210917,000000,9.85,9.9069,9.85,9.9,22984,0
SKYAU.US,D,20210922,000000,9.92,9.96,9.92,9.96,6601,0
SKYAU.US,D,20210923,000000,9.93,9.94,9.91,9.94,4078,0
SKYAU.US,D,20210930,000000,9.85,9.95,9.85,9.95,273209,0
SKYAU.US,D,20211001,000000,9.95,9.95,9.95,9.95,2044,0
SKYAU.US,D,20211004,000000,9.88,9.91,9.84,9.88,25270,0
SKYAU.US,D,20211005,000000,9.865,9.88,9.865,9.88,1011,0
SKYAU.US,D,20211007,000000,9.87,9.88,9.87,9.87,1500,0
SKYAU.US,D,20211008,000000,9.8586,9.88,9.8586,9.88,802,0
SKYAU.US,D,20211012,000000,9.92,9.95,9.92,9.95,150806,0
SKYAU.US,D,20211019,000000,9.9,9.9,9.9,9.9,1518,0
SKYAU.US,D,20211022,000000,9.88,9.88,9.8,9.88,8869,0
SKYAU.US,D,20211025,000000,9.86,9.92,9.83,9.92,5252,0
SKYAU.US,D,20211026,000000,9.92,9.93,9.92,9.93,900,0
SKYAU.US,D,20211027,000000,9.94,9.95,9.94,9.95,40000,0
