<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRTG.US,D,20210226,000000,37,37,34.1009,34.1101,7780,0
PRTG.US,D,20210301,000000,35,36.7782,33.03,33.97,7910,0
PRTG.US,D,20210302,000000,34,36,31.36,36,3410,0
PRTG.US,D,20210303,000000,36,36,31.3205,35.45,8572,0
PRTG.US,D,20210304,000000,33.2082,33.2082,28.4283,29.12,20683,0
PRTG.US,D,20210305,000000,30,35,28.5559,32,20085,0
PRTG.US,D,20210308,000000,32,32,27.605,28.01,18359,0
PRTG.US,D,20210309,000000,30.25,30.25,28.5,29.03,3067,0
PRTG.US,D,20210310,000000,28.36,31,28.36,31,12073,0
PRTG.US,D,20210311,000000,29.2196,31,28.555,30.8343,23969,0
PRTG.US,D,20210312,000000,31,33,29.79,32.79,27939,0
PRTG.US,D,20210315,000000,33,35.995,32,35,35786,0
PRTG.US,D,20210316,000000,34.7,35,34.2,34.2,9311,0
PRTG.US,D,20210317,000000,33.375,34.5,32.97,32.97,6442,0
PRTG.US,D,20210318,000000,31.06,35.5,31.06,33.44,22460,0
PRTG.US,D,20210319,000000,34,35.05,32.884,33.26,22551,0
PRTG.US,D,20210322,000000,35.0196,35.0196,32.5825,34.75,4278,0
PRTG.US,D,20210323,000000,33.96,34.98,32,32,8895,0
PRTG.US,D,20210324,000000,32,32,29,29.0001,8472,0
PRTG.US,D,20210325,000000,30.04,30.04,29.02,29.02,9309,0
PRTG.US,D,20210326,000000,29.8519,32.48,29.5,29.7,29318,0
PRTG.US,D,20210329,000000,31.01,31.01,27.13,28.0395,8594,0
PRTG.US,D,20210330,000000,29.85,29.85,28.07,28.495,5115,0
PRTG.US,D,20210331,000000,28.5,28.5,27.0775,27.97,4859,0
PRTG.US,D,20210401,000000,29.9,29.92,28.32,28.67,3496,0
PRTG.US,D,20210405,000000,28.525,28.8595,28,28.72,3140,0
PRTG.US,D,20210406,000000,28.9,29.74,28.47,29,20454,0
PRTG.US,D,20210407,000000,28.9,31.9699,28,31,13893,0
PRTG.US,D,20210408,000000,31,31.7,28.53,29.8,20448,0
PRTG.US,D,20210409,000000,30,30.5999,29.01,29.2304,5929,0
PRTG.US,D,20210412,000000,29.19,29.19,26.72,28.97,10590,0
PRTG.US,D,20210413,000000,28.99,29.51,28.04,29.25,4603,0
PRTG.US,D,20210414,000000,29.8585,29.95,28.116,28.17,6318,0
PRTG.US,D,20210415,000000,30.49,30.49,28.756,29.04,7027,0
PRTG.US,D,20210416,000000,28.51,29.4131,26.5,26.99,22751,0
PRTG.US,D,20210419,000000,26.5,29.4,26.5,29.4,8496,0
PRTG.US,D,20210420,000000,26.55,29.21,26.55,28.15,2541,0
PRTG.US,D,20210421,000000,28.2,28.8627,27.03,27.99,6076,0
PRTG.US,D,20210422,000000,28.2889,29.2899,27.5,28.71,14673,0
PRTG.US,D,20210423,000000,29.49,29.49,26.947,28,8927,0
PRTG.US,D,20210426,000000,28.15,29.4181,27.89,28.37,17636,0
PRTG.US,D,20210427,000000,27.2,27.2,25.82,27.19,14685,0
PRTG.US,D,20210428,000000,28.2285,28.2285,27.08,27.91,4108,0
PRTG.US,D,20210429,000000,26.85,28.24,26.6469,28.16,12475,0
PRTG.US,D,20210430,000000,27.4,28.5,27.4,28.5,14703,0
PRTG.US,D,20210503,000000,27.88,28.45,27.88,28.45,10682,0
PRTG.US,D,20210504,000000,28,28.3149,27.1024,28,12894,0
PRTG.US,D,20210505,000000,27.79,29.18,27.2154,27.92,16739,0
PRTG.US,D,20210506,000000,27.42,28.604,26.6427,28.28,19260,0
PRTG.US,D,20210507,000000,28.2,28.2,27.531,27.97,9554,0
PRTG.US,D,20210510,000000,27.58,29.44,27.45,28.75,27536,0
PRTG.US,D,20210511,000000,28.5,29.5,27.9,27.91,23079,0
PRTG.US,D,20210512,000000,28.3841,29.7,27.3229,27.58,18429,0
PRTG.US,D,20210513,000000,29.94,29.94,27.27,28.04,9918,0
PRTG.US,D,20210514,000000,28.0001,28.8,28,28.8,12388,0
PRTG.US,D,20210517,000000,28.5,29.38,27.3262,27.61,20450,0
PRTG.US,D,20210518,000000,27.5,28.5,27.1895,28.27,19838,0
PRTG.US,D,20210519,000000,28,28.44,27.54,27.75,7621,0
PRTG.US,D,20210520,000000,27.99,27.99,27.26,27.6,8021,0
PRTG.US,D,20210521,000000,27.5,28.25,27.4,27.69,10065,0
PRTG.US,D,20210524,000000,27.49,28.51,27.05,27.56,17157,0
PRTG.US,D,20210525,000000,28.04,28.06,26.4,26.54,18745,0
PRTG.US,D,20210526,000000,27.01,27.3537,26.34,27.25,16838,0
PRTG.US,D,20210527,000000,27.11,28.3424,27.05,27.86,13664,0
PRTG.US,D,20210528,000000,28.75,29.04,28,28.1,20651,0
PRTG.US,D,20210601,000000,29,29.2599,28.8627,29.09,22815,0
PRTG.US,D,20210602,000000,29.1,30.87,29.04,30.51,49257,0
PRTG.US,D,20210603,000000,31,31,29.5261,30.22,34218,0
PRTG.US,D,20210604,000000,30.7,30.8,29.2874,29.88,12477,0
PRTG.US,D,20210607,000000,30.02,31,29.99,30.88,43541,0
PRTG.US,D,20210608,000000,31,31,29.36,30.19,28163,0
PRTG.US,D,20210609,000000,30,30.98,29.34,30.22,22278,0
PRTG.US,D,20210610,000000,30.99,31,30.04,31,16445,0
PRTG.US,D,20210611,000000,31,34.13,30.75,34,18184,0
PRTG.US,D,20210614,000000,34.98,39.73,34.94,39,66398,0
PRTG.US,D,20210615,000000,39.85,39.85,37.86,39,19691,0
PRTG.US,D,20210616,000000,38.16,40,38.16,40,21788,0
PRTG.US,D,20210617,000000,38.81,42.81,38.81,42.81,30800,0
PRTG.US,D,20210618,000000,42.73,44.9763,38.26,39.9,39707,0
PRTG.US,D,20210621,000000,39.73,41.99,38.4,39.7,37248,0
PRTG.US,D,20210622,000000,39.64,39.6488,32.6201,33.91,73886,0
PRTG.US,D,20210623,000000,36.02,36.02,32.7,34.8,77584,0
PRTG.US,D,20210624,000000,24.7318,26.75,24.7318,25.95,1102538,0
PRTG.US,D,20210625,000000,25.5989,26.26,24.5,25.25,618670,0
PRTG.US,D,20210628,000000,25.19,25.7,23.755,24,120368,0
PRTG.US,D,20210629,000000,24.29,25.14,22.23,22.75,137863,0
PRTG.US,D,20210630,000000,22.76,23.0445,20.75,20.96,137764,0
PRTG.US,D,20210701,000000,21.61,22.5699,20.72,22.35,63005,0
PRTG.US,D,20210702,000000,21.76,22.69,21.225,21.96,34419,0
PRTG.US,D,20210706,000000,22.22,22.22,20.8,21.27,60475,0
PRTG.US,D,20210707,000000,20.91,20.91,18.25,19.43,224344,0
PRTG.US,D,20210708,000000,19.33,19.87,18.0987,19.2,89446,0
PRTG.US,D,20210709,000000,19.41,22.54,18.8016,22.08,84739,0
PRTG.US,D,20210712,000000,22,22,20.21,20.45,37419,0
PRTG.US,D,20210713,000000,20.67,21.35,18.55,18.71,42940,0
PRTG.US,D,20210714,000000,18.8,19.8,18.05,18.26,51975,0
PRTG.US,D,20210715,000000,18.26,18.58,16.77,17.1,98514,0
PRTG.US,D,20210716,000000,17.03,17.53,16.8,17,66311,0
PRTG.US,D,20210719,000000,16.83,17.5388,16.57,17,90359,0
PRTG.US,D,20210720,000000,17,17.6255,16.26,16.88,59614,0
PRTG.US,D,20210721,000000,16.95,17.5,16.6901,16.97,36014,0
PRTG.US,D,20210722,000000,16.92,17.76,16.8639,17.61,34992,0
PRTG.US,D,20210723,000000,17.42,17.553,17.06,17.32,18141,0
PRTG.US,D,20210726,000000,17.33,17.44,16.26,16.37,27937,0
PRTG.US,D,20210727,000000,16.62,16.95,15.53,16.29,44962,0
PRTG.US,D,20210728,000000,16.36,17,16,16.37,29109,0
PRTG.US,D,20210729,000000,16.74,16.74,15.78,15.84,20769,0
PRTG.US,D,20210730,000000,15.74,15.9996,15.1,15.14,50659,0
PRTG.US,D,20210802,000000,15.3,15.4,14.07,14.99,46110,0
PRTG.US,D,20210803,000000,15,15,14.2,14.35,28253,0
PRTG.US,D,20210804,000000,14.36,14.405,13.4,13.65,58937,0
PRTG.US,D,20210805,000000,13.82,15.7,13.77,15.6,66682,0
PRTG.US,D,20210806,000000,15.33,15.5758,14.9497,15.2,15426,0
PRTG.US,D,20210809,000000,15.45,17.3737,15.225,17.13,33572,0
PRTG.US,D,20210810,000000,16.86,17.425,16.05,16.38,17768,0
PRTG.US,D,20210811,000000,16.8,17.49,16.41,17.15,20621,0
PRTG.US,D,20210812,000000,17.17,18.13,16.92,17.3,22272,0
PRTG.US,D,20210813,000000,17.25,17.41,16.5,17.32,11164,0
PRTG.US,D,20210816,000000,17.47,17.69,16.3644,17.51,14827,0
PRTG.US,D,20210817,000000,17.16,17.65,16.62,17.64,8932,0
PRTG.US,D,20210818,000000,17.7,19.5,17.69,18.95,48426,0
PRTG.US,D,20210819,000000,19.39,19.87,18.19,19,66435,0
PRTG.US,D,20210820,000000,18.71,20.6481,18.2601,19.98,49172,0
PRTG.US,D,20210823,000000,20.3,21.88,19.57,21.88,56080,0
PRTG.US,D,20210824,000000,21.61,22.3199,21.5,22.05,24625,0
PRTG.US,D,20210825,000000,22,22.8,21.898,22.4,33774,0
PRTG.US,D,20210826,000000,22.15,22.82,20.6,20.83,40292,0
PRTG.US,D,20210827,000000,20.7462,21.6,20.63,21.47,20285,0
PRTG.US,D,20210830,000000,21.5,21.855,20.68,20.68,13934,0
PRTG.US,D,20210831,000000,20.75,21.43,19.73,20.31,23987,0
PRTG.US,D,20210901,000000,20.47,21.61,19.8,21.61,16055,0
PRTG.US,D,20210902,000000,22.52,22.52,20.65,21.9,31505,0
PRTG.US,D,20210903,000000,21.9,22.09,20.81,21.57,27627,0
PRTG.US,D,20210907,000000,21.8,22.23,19.84,19.98,31603,0
PRTG.US,D,20210908,000000,19.91,20.2,18.4,19.27,46251,0
PRTG.US,D,20210909,000000,19.69,19.875,19.05,19.12,14776,0
PRTG.US,D,20210910,000000,19.5,19.95,18.64,18.86,12066,0
PRTG.US,D,20210913,000000,19.02,19.34,17.43,18.3,49518,0
PRTG.US,D,20210914,000000,18.24,18.97,17.4956,18.25,33212,0
PRTG.US,D,20210915,000000,18.2,18.97,17.9853,18.97,22808,0
PRTG.US,D,20210916,000000,18.71,19.78,17.8177,19.29,33277,0
PRTG.US,D,20210917,000000,19.42,20.77,18.9,19.3,111873,0
PRTG.US,D,20210920,000000,18.83,20.5,18.0278,18.58,16869,0
PRTG.US,D,20210921,000000,19.01,20.08,18.5,19.74,21412,0
PRTG.US,D,20210922,000000,19.72,20.75,19.48,20.59,30217,0
PRTG.US,D,20210923,000000,20.75,21.94,20.6299,21.94,28499,0
PRTG.US,D,20210924,000000,21.94,21.94,20.81,21.54,16018,0
PRTG.US,D,20210927,000000,21.5,21.79,20.5101,21.16,16368,0
PRTG.US,D,20210928,000000,21.31,21.74,20,20.47,12269,0
PRTG.US,D,20210929,000000,21,21.0841,19.6474,20.7,16500,0
PRTG.US,D,20210930,000000,20.91,20.91,20,20.32,12038,0
PRTG.US,D,20211001,000000,20.43,21.175,19.6827,20.57,15258,0
PRTG.US,D,20211004,000000,20.58,21.59,20.25,20.69,21514,0
PRTG.US,D,20211005,000000,20.51,20.8811,20.1,20.71,12230,0
PRTG.US,D,20211006,000000,20.78,20.78,18.69,19.18,17881,0
PRTG.US,D,20211007,000000,19.1,20.44,19,20.44,11046,0
PRTG.US,D,20211008,000000,20.5364,20.5364,19.6735,20.39,9860,0
PRTG.US,D,20211011,000000,19.332,20.93,19.332,19.71,13133,0
PRTG.US,D,20211012,000000,19.9,20.61,19.7,20.4,10445,0
PRTG.US,D,20211013,000000,20.89,21.95,20.0414,21.01,21979,0
PRTG.US,D,20211014,000000,20.78,21.74,20.58,20.58,14691,0
PRTG.US,D,20211015,000000,21.57,21.57,20.1501,20.79,14075,0
PRTG.US,D,20211018,000000,20.39,21.4892,19.88,20.03,7573,0
PRTG.US,D,20211019,000000,20,20.9128,19.1,19.82,8817,0
PRTG.US,D,20211020,000000,19.5,19.9983,19.11,19.52,11892,0
PRTG.US,D,20211021,000000,19.1001,20.3594,18.29,18.5,17230,0
PRTG.US,D,20211022,000000,18.71,19.18,18.55,19.06,8526,0
PRTG.US,D,20211025,000000,18.7369,19.24,18.5,18.89,9630,0
PRTG.US,D,20211026,000000,19.24,19.35,18.93,19.35,39132,0
PRTG.US,D,20211027,000000,19.35,19.5,19.18,19.33,15640,0
