<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCRT.US,D,20210701,000000,4.55,5.37,4.55,4.85,548591,0
RCRT.US,D,20210702,000000,4.85,5.1,4.8379,4.92,364223,0
RCRT.US,D,20210706,000000,5,5.86,4.7301,4.84,186495,0
RCRT.US,D,20210707,000000,5.23,5.49,4.91,4.91,209664,0
RCRT.US,D,20210708,000000,5.1,5.1,4.5119,4.96,78933,0
RCRT.US,D,20210709,000000,5.16,5.6799,4.66,5.1,477562,0
RCRT.US,D,20210712,000000,5,5.49,4.9501,5.22,457244,0
RCRT.US,D,20210713,000000,5.07,5.25,4.6924,4.86,334303,0
RCRT.US,D,20210714,000000,4.9,5.54,4.739,4.96,605292,0
RCRT.US,D,20210715,000000,4.95,5.22,4.51,5,274283,0
RCRT.US,D,20210716,000000,5.05,5.22,4.83,4.84,261886,0
RCRT.US,D,20210719,000000,4.75,5.0898,4.66,4.98,115269,0
RCRT.US,D,20210720,000000,5.05,5.39,4.9529,5.12,443437,0
RCRT.US,D,20210721,000000,4.95,5.04,4.7,4.92,184788,0
RCRT.US,D,20210722,000000,4.99,4.99,4.52,4.5801,110617,0
RCRT.US,D,20210723,000000,4.62,4.63,4.04,4.27,225258,0
RCRT.US,D,20210726,000000,4.27,4.6,4.1964,4.39,58583,0
RCRT.US,D,20210727,000000,4.26,4.69,4.15,4.4479,102609,0
RCRT.US,D,20210728,000000,4.3308,4.42,4.2201,4.2754,12936,0
RCRT.US,D,20210729,000000,4.26,4.58,4.26,4.41,21071,0
RCRT.US,D,20210730,000000,4.7,4.7,4.3,4.41,68750,0
RCRT.US,D,20210802,000000,4.31,4.49,4.31,4.44,20603,0
RCRT.US,D,20210803,000000,4.43,4.55,4.22,4.55,32477,0
RCRT.US,D,20210804,000000,4.5,4.5504,4.3,4.37,54694,0
RCRT.US,D,20210805,000000,4.45,4.45,4.1,4.3,26785,0
RCRT.US,D,20210806,000000,4.25,4.45,4.25,4.35,19407,0
RCRT.US,D,20210809,000000,4.31,4.57,4.28,4.35,22482,0
RCRT.US,D,20210810,000000,4.4,4.427,4.1237,4.34,9058,0
RCRT.US,D,20210811,000000,4.2796,4.3999,4.22,4.38,21991,0
RCRT.US,D,20210812,000000,4.245,4.3004,4.07,4.14,57254,0
RCRT.US,D,20210813,000000,4.4,4.4,4.1,4.37,35292,0
RCRT.US,D,20210816,000000,4.34,4.34,3.82,4.09,60289,0
RCRT.US,D,20210817,000000,4.25,4.25,3.953,4.12,66276,0
RCRT.US,D,20210818,000000,4.15,4.1876,3.84,4.1,32823,0
RCRT.US,D,20210819,000000,4,4.09,3.9,4.08,12934,0
RCRT.US,D,20210820,000000,3.9871,4.09,3.9,4,27193,0
RCRT.US,D,20210823,000000,4.0427,4.08,3.9135,4.08,24796,0
RCRT.US,D,20210824,000000,4,4.0699,3.9,3.9,28746,0
RCRT.US,D,20210825,000000,3.9,4.04,3.705,3.85,58131,0
RCRT.US,D,20210826,000000,3.7303,4.05,3.7303,3.96,25636,0
RCRT.US,D,20210827,000000,3.87,4.06,3.81,4.02,35694,0
RCRT.US,D,20210830,000000,4.22,4.22,3.84,4,53836,0
RCRT.US,D,20210831,000000,4.0225,4.235,4.005,4.05,32987,0
RCRT.US,D,20210901,000000,4.11,4.59,4.04,4.56,160098,0
RCRT.US,D,20210902,000000,4.58,5.35,4.47,5.05,620976,0
RCRT.US,D,20210903,000000,4.91,4.99,4.23,4.47,109593,0
RCRT.US,D,20210907,000000,4.53,4.79,4.38,4.58,98602,0
RCRT.US,D,20210908,000000,4.57,4.57,3.88,3.99,127204,0
RCRT.US,D,20210909,000000,4.3571,4.3571,3.92,3.93,77117,0
RCRT.US,D,20210910,000000,4,4.15,3.86,3.96,62561,0
RCRT.US,D,20210913,000000,3.96,4.16,3.835,3.97,94459,0
RCRT.US,D,20210914,000000,4,4.11,3.9,3.91,35314,0
RCRT.US,D,20210915,000000,3.95,4.075,3.81,3.82,57561,0
RCRT.US,D,20210916,000000,3.85,4.0438,3.61,3.79,118489,0
RCRT.US,D,20210917,000000,3.81,3.94,3.6,3.6,81749,0
RCRT.US,D,20210920,000000,3.74,3.8791,3.51,3.53,141855,0
RCRT.US,D,20210921,000000,3.56,3.8597,3.56,3.62,114921,0
RCRT.US,D,20210922,000000,3.65,3.86,3.65,3.77,64643,0
RCRT.US,D,20210923,000000,3.84,3.98,3.7801,3.87,90359,0
RCRT.US,D,20210924,000000,3.97,3.97,3.76,3.81,42418,0
RCRT.US,D,20210927,000000,3.75,3.8,3.63,3.66,75756,0
RCRT.US,D,20210928,000000,3.6,3.6547,3.55,3.6,39190,0
RCRT.US,D,20210929,000000,3.62,3.62,3.24,3.28,97693,0
RCRT.US,D,20210930,000000,3.27,3.35,3.2697,3.35,28566,0
RCRT.US,D,20211001,000000,3.34,3.67,3.34,3.45,46120,0
RCRT.US,D,20211004,000000,3.45,3.56,3.35,3.35,22529,0
RCRT.US,D,20211005,000000,3.4,3.42,3.25,3.25,13820,0
RCRT.US,D,20211006,000000,3.27,3.286,3.2,3.27,5449,0
RCRT.US,D,20211007,000000,3.21,3.79,3.21,3.63,108107,0
RCRT.US,D,20211008,000000,3.6601,3.734,3.44,3.45,34468,0
RCRT.US,D,20211011,000000,3.4,3.45,3.37,3.37,40327,0
RCRT.US,D,20211012,000000,3.3,3.44,3.3,3.34,23313,0
RCRT.US,D,20211013,000000,3.435,3.45,3.3,3.39,84019,0
RCRT.US,D,20211014,000000,3.37,3.3899,3.21,3.3,111152,0
RCRT.US,D,20211015,000000,3.29,3.35,3.12,3.12,63368,0
