<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCLFU.US,D,20210216,000000,10.45,10.45,10.3,10.35,1095017,0
RCLFU.US,D,20210217,000000,10.45,10.45,10.3,10.3,327146,0
RCLFU.US,D,20210218,000000,10.31,10.45,10.24,10.24,376677,0
RCLFU.US,D,20210219,000000,10.3,10.31,10.25,10.26,285345,0
RCLFU.US,D,20210222,000000,10.23,10.34,10.21,10.26,615268,0
RCLFU.US,D,20210223,000000,10.25,10.25,10.17,10.2,633554,0
RCLFU.US,D,20210224,000000,10.23,10.27,10.2,10.25,275691,0
RCLFU.US,D,20210225,000000,10.25,10.25,10.15,10.19,653424,0
RCLFU.US,D,20210226,000000,10.19,10.2,10.15,10.18,369477,0
RCLFU.US,D,20210301,000000,10.19,10.2,10.15,10.19,153934,0
RCLFU.US,D,20210302,000000,10.16,10.18,10,10.02,662067,0
RCLFU.US,D,20210303,000000,10.02,10.09,10,10.01,366707,0
RCLFU.US,D,20210304,000000,10.06,10.06,9.99,10,260608,0
RCLFU.US,D,20210305,000000,10.05,10.1233,10,10.12,563703,0
RCLFU.US,D,20210308,000000,10.13,10.13,10.05,10.05,54119,0
RCLFU.US,D,20210309,000000,10.07,10.09,10.02,10.03,464351,0
RCLFU.US,D,20210310,000000,10.03,10.04,10.01,10.02,970987,0
RCLFU.US,D,20210311,000000,10.01,10.03,10.01,10.01,133773,0
RCLFU.US,D,20210312,000000,10.01,10.03,10,10,191184,0
RCLFU.US,D,20210315,000000,10,10,9.99,9.99,203554,0
RCLFU.US,D,20210316,000000,9.91,10,9.91,9.96,51344,0
RCLFU.US,D,20210317,000000,9.9763,10.01,9.9763,9.98,15426,0
RCLFU.US,D,20210318,000000,10,10,9.93,9.93,162470,0
RCLFU.US,D,20210319,000000,9.93,9.96,9.93,9.94,19340,0
RCLFU.US,D,20210322,000000,9.93,9.94,9.93,9.93,30257,0
RCLFU.US,D,20210323,000000,9.93,9.98,9.8,9.9054,46770,0
RCLFU.US,D,20210324,000000,9.9,9.906,9.83,9.845,133889,0
RCLFU.US,D,20210325,000000,9.8423,9.8593,9.8,9.81,17125,0
RCLFU.US,D,20210326,000000,9.9,9.97,9.86,9.94,124912,0
RCLFU.US,D,20210329,000000,9.93,9.94,9.91,9.935,6244,0
RCLFU.US,D,20210330,000000,9.91,9.91,9.89,9.9,12233,0
RCLFU.US,D,20210331,000000,9.9,9.93,9.84,9.92,214759,0
RCLFU.US,D,20210401,000000,9.92,9.95,9.9,9.93,51188,0
RCLFU.US,D,20210405,000000,9.93,9.95,9.93,9.9412,228040,0
RCLFU.US,D,20210406,000000,9.94,9.95,9.93,9.95,153846,0
RCLFU.US,D,20210407,000000,9.94,9.95,9.94,9.94,4908,0
RCLFU.US,D,20210408,000000,9.95,9.96,9.94,9.96,293339,0
RCLFU.US,D,20210409,000000,9.95,10,9.95,10,35568,0
RCLFU.US,D,20210412,000000,10,10.04,9.97,9.98,357753,0
RCLFU.US,D,20210413,000000,9.98,9.98,9.97,9.97,9382,0
RCLFU.US,D,20210414,000000,9.96,10.02,9.96,10,35142,0
RCLFU.US,D,20210415,000000,10,10,9.98,10,408313,0
RCLFU.US,D,20210416,000000,9.98,10,9.98,10,3589,0
RCLFU.US,D,20210419,000000,9.97,9.99,9.9579,9.99,156423,0
RCLFU.US,D,20210420,000000,9.9621,9.98,9.96,9.98,1626,0
RCLFU.US,D,20210421,000000,9.95,9.96,9.91,9.95,15161,0
RCLFU.US,D,20210422,000000,9.93,9.93,9.92,9.92,3529,0
RCLFU.US,D,20210423,000000,9.92,9.92,9.92,9.92,173,0
RCLFU.US,D,20210426,000000,9.93,9.9323,9.92,9.93,42411,0
RCLFU.US,D,20210427,000000,9.9254,9.97,9.92,9.97,6931,0
RCLFU.US,D,20210428,000000,9.94,9.99,9.93,9.98,30647,0
RCLFU.US,D,20210429,000000,9.99,10,9.94,9.9896,9650,0
RCLFU.US,D,20210430,000000,9.99,9.99,9.94,9.97,25011,0
RCLFU.US,D,20210503,000000,9.95,9.97,9.94,9.97,68342,0
RCLFU.US,D,20210504,000000,9.9699,10,9.9699,10,232180,0
RCLFU.US,D,20210505,000000,9.995,10.04,9.99,10.03,88141,0
RCLFU.US,D,20210506,000000,10,10.02,10,10,32323,0
RCLFU.US,D,20210507,000000,10,10,9.99,9.99,14210,0
RCLFU.US,D,20210510,000000,9.98,9.995,9.97,9.99,33005,0
RCLFU.US,D,20210511,000000,9.9359,9.96,9.93,9.96,56071,0
RCLFU.US,D,20210512,000000,9.9531,9.96,9.95,9.96,9887,0
RCLFU.US,D,20210513,000000,9.9572,10.0193,9.92,9.94,24845,0
RCLFU.US,D,20210514,000000,9.94,9.94,9.9,9.92,7467,0
RCLFU.US,D,20210517,000000,9.92,9.95,9.878,9.92,89031,0
RCLFU.US,D,20210518,000000,9.882,9.92,9.88,9.92,30999,0
RCLFU.US,D,20210519,000000,9.88,9.91,9.88,9.91,21004,0
RCLFU.US,D,20210520,000000,9.89,9.9,9.88,9.9,129333,0
RCLFU.US,D,20210521,000000,9.89,9.9,9.89,9.9,7105,0
