<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LTCH.US,D,20210104,000000,10.3,10.49,10.25,10.25,6718,0
LTCH.US,D,20210105,000000,10.59,10.59,10.59,10.59,203,0
LTCH.US,D,20210106,000000,10.55,10.55,10.55,10.55,235,0
LTCH.US,D,20210107,000000,10.1601,10.36,10.1601,10.33,9658,0
LTCH.US,D,20210108,000000,10.32,10.32,10,10.2,79693,0
LTCH.US,D,20210111,000000,10.26,10.49,10.2,10.355,70003,0
LTCH.US,D,20210112,000000,10.48,10.5,10.18,10.32,203400,0
LTCH.US,D,20210113,000000,10.53,10.53,10.16,10.48,68257,0
LTCH.US,D,20210114,000000,10.48,10.77,10.26,10.49,29886,0
LTCH.US,D,20210115,000000,10.66,10.68,10.35,10.38,39726,0
LTCH.US,D,20210119,000000,10.57,10.57,10.26,10.43,233253,0
LTCH.US,D,20210120,000000,10.28,10.48,10.27,10.48,15648,0
LTCH.US,D,20210121,000000,10.41,10.48,10.3,10.39,53548,0
LTCH.US,D,20210122,000000,10.4,10.54,10.32,10.36,152926,0
LTCH.US,D,20210125,000000,18.88,19.6998,14.23,15,17004580,0
LTCH.US,D,20210126,000000,14.66,14.7499,13.52,13.65,3464550,0
LTCH.US,D,20210127,000000,13.43,13.84,12.15,12.56,3028627,0
LTCH.US,D,20210128,000000,12.92,14,12.65,13.8,2385022,0
LTCH.US,D,20210129,000000,13.5,14.73,13.25,14.6,1347740,0
LTCH.US,D,20210201,000000,14.65,15.83,14.5,15.83,3435002,0
LTCH.US,D,20210202,000000,15.98,17.25,15.85,17.09,4065140,0
LTCH.US,D,20210203,000000,16.92,18.24,16.92,17.68,2236197,0
LTCH.US,D,20210204,000000,17.79,17.8,16.25,17.14,2195980,0
LTCH.US,D,20210205,000000,17,17.1,16.5005,16.79,1436328,0
LTCH.US,D,20210208,000000,16.97,17.18,16.3,16.4,1261398,0
LTCH.US,D,20210209,000000,16.38,16.47,15.6,15.83,894277,0
LTCH.US,D,20210210,000000,15.93,17.31,15.9,16.67,2219555,0
LTCH.US,D,20210211,000000,16.38,16.47,15.65,16.04,919632,0
LTCH.US,D,20210212,000000,15.98,16.49,15.55,15.97,435475,0
LTCH.US,D,20210216,000000,16.73,17.3,16.61,17.28,987098,0
LTCH.US,D,20210217,000000,17.1,17.27,16.62,17.08,1076489,0
LTCH.US,D,20210218,000000,16.46,16.85,16.1401,16.27,358179,0
LTCH.US,D,20210219,000000,16.27,16.5,15.95,16.31,334111,0
LTCH.US,D,20210222,000000,16,17.105,15.58,16.9,564462,0
LTCH.US,D,20210223,000000,15.16,15.17,14,14.36,1939139,0
LTCH.US,D,20210224,000000,14.49,14.87,14.15,14.285,477882,0
LTCH.US,D,20210225,000000,14.48,14.7399,13.5,13.74,683906,0
LTCH.US,D,20210226,000000,13.5,13.864,12.51,12.92,959840,0
LTCH.US,D,20210301,000000,13.41,13.875,13.0813,13.76,334735,0
LTCH.US,D,20210302,000000,13.6,13.63,12.66,12.7,347234,0
LTCH.US,D,20210303,000000,12.67,12.93,11.4,11.75,1779081,0
LTCH.US,D,20210304,000000,11.46,11.7551,10.92,11.22,1272340,0
LTCH.US,D,20210305,000000,11.45,11.63,10.55,11.29,1060598,0
LTCH.US,D,20210308,000000,11.5,11.98,11.2,11.48,542480,0
LTCH.US,D,20210309,000000,11.92,13.37,11.815,12.98,498382,0
LTCH.US,D,20210310,000000,13.1,13.3527,12.49,12.61,233100,0
LTCH.US,D,20210311,000000,12.79,13.25,12.7101,12.86,223120,0
LTCH.US,D,20210312,000000,12.7,12.79,12.33,12.65,154120,0
LTCH.US,D,20210315,000000,13.23,13.97,12.96,13.28,350986,0
LTCH.US,D,20210316,000000,13.47,13.5,12.75,13.02,254803,0
LTCH.US,D,20210317,000000,12.76,13.09,12.6,13.02,247538,0
LTCH.US,D,20210318,000000,13.1,13.34,11.68,11.79,567817,0
LTCH.US,D,20210319,000000,11.93,12.22,11.72,11.72,210689,0
LTCH.US,D,20210322,000000,12.48,12.48,11.81,12.02,261848,0
LTCH.US,D,20210323,000000,12,12.2739,11.32,11.37,230836,0
LTCH.US,D,20210324,000000,11.37,11.6399,10.75,10.84,702092,0
LTCH.US,D,20210325,000000,10.94,10.94,10.53,10.86,395006,0
LTCH.US,D,20210326,000000,10.83,10.99,10.65,10.99,243667,0
LTCH.US,D,20210329,000000,11.1344,11.6,10.81,10.88,713376,0
LTCH.US,D,20210330,000000,10.89,10.9011,10.25,10.67,660400,0
LTCH.US,D,20210331,000000,10.75,11.06,10.41,10.86,453536,0
LTCH.US,D,20210401,000000,10.96,11.21,10.61,10.9,293607,0
LTCH.US,D,20210405,000000,11.1,11.15,10.885,10.97,309036,0
LTCH.US,D,20210406,000000,10.84,11.1,10.42,10.56,553246,0
LTCH.US,D,20210407,000000,10.53,11.09,10.48,11.09,231731,0
LTCH.US,D,20210408,000000,10.95,11.0273,10.692,10.93,258143,0
LTCH.US,D,20210409,000000,10.86,10.93,10.57,10.62,485218,0
LTCH.US,D,20210412,000000,10.55,10.69,10.41,10.47,545591,0
LTCH.US,D,20210413,000000,10.5,10.56,10.26,10.44,463257,0
LTCH.US,D,20210414,000000,10.37,10.56,10.28,10.3,1178400,0
LTCH.US,D,20210415,000000,10.32,10.39,10.07,10.15,1189161,0
LTCH.US,D,20210416,000000,10.11,10.16,10.05,10.1,428267,0
LTCH.US,D,20210419,000000,10.14,10.16,9.95,10.14,339384,0
LTCH.US,D,20210420,000000,10.02,10.14,10.005,10.07,211106,0
LTCH.US,D,20210421,000000,10.02,10.13,10.0015,10.12,649091,0
LTCH.US,D,20210422,000000,10.18,10.21,9.94,10.13,1246751,0
LTCH.US,D,20210423,000000,10.08,10.34,10.08,10.28,794603,0
LTCH.US,D,20210426,000000,10.26,10.4,10.17,10.2,252181,0
LTCH.US,D,20210427,000000,10.38,10.495,10.05,10.2,648688,0
LTCH.US,D,20210428,000000,10.33,10.33,10.07,10.13,312762,0
LTCH.US,D,20210429,000000,10.14,10.22,10.11,10.22,212287,0
LTCH.US,D,20210430,000000,10.2,10.29,10.15,10.23,126167,0
LTCH.US,D,20210503,000000,10.33,10.42,10.2571,10.38,377426,0
LTCH.US,D,20210504,000000,10.31,10.4113,10.21,10.4,155395,0
LTCH.US,D,20210505,000000,10.45,10.48,10.22,10.24,1088197,0
LTCH.US,D,20210506,000000,10.26,10.29,10.03,10.1,402571,0
LTCH.US,D,20210507,000000,10.17,10.21,10.08,10.12,112019,0
LTCH.US,D,20210510,000000,10.22,10.31,10,10.07,453395,0
LTCH.US,D,20210511,000000,9.95,10.18,9.91,10,335108,0
LTCH.US,D,20210512,000000,9.94,10.05,9.86,9.97,1200516,0
LTCH.US,D,20210513,000000,10,10.0199,9.9,9.96,514904,0
LTCH.US,D,20210514,000000,10.06,10.07,9.95,10.05,1286015,0
LTCH.US,D,20210517,000000,10.11,10.11,9.95,9.97,383985,0
LTCH.US,D,20210518,000000,10.05,10.1,9.96,9.99,188339,0
LTCH.US,D,20210519,000000,9.98,10.06,9.96,10.03,403191,0
LTCH.US,D,20210520,000000,10.03,10.08,10.0089,10.06,334432,0
LTCH.US,D,20210521,000000,10.12,10.12,10.03,10.09,314894,0
LTCH.US,D,20210524,000000,10.16,10.4,10.1,10.3,634174,0
LTCH.US,D,20210525,000000,10.45,10.45,10.07,10.22,556235,0
LTCH.US,D,20210526,000000,10.22,10.34,10.03,10.29,1325139,0
LTCH.US,D,20210527,000000,10.28,10.38,10.22,10.38,1256409,0
LTCH.US,D,20210528,000000,10.4,10.79,10.27,10.71,1327378,0
LTCH.US,D,20210601,000000,10.6,10.76,10.5,10.72,1419159,0
LTCH.US,D,20210602,000000,10.77,11.29,10.56,11.1,1347913,0
LTCH.US,D,20210603,000000,11.16,11.3,10.79,10.84,805594,0
LTCH.US,D,20210604,000000,10.92,11.24,10.65,10.83,1584868,0
LTCH.US,D,20210607,000000,10.5,11.36,10.26,11.27,1580719,0
LTCH.US,D,20210608,000000,11.79,12.43,11.43,12.22,1400865,0
LTCH.US,D,20210609,000000,12.35,12.7,12.2,12.49,1250721,0
LTCH.US,D,20210610,000000,12.5,12.7,11.64,12.17,1195252,0
LTCH.US,D,20210611,000000,12.4027,12.52,11.98,12.05,567676,0
LTCH.US,D,20210614,000000,12.11,12.11,11.27,11.34,531142,0
LTCH.US,D,20210615,000000,11.39,11.8,10.84,11.5,1408544,0
LTCH.US,D,20210616,000000,11.67,11.92,11.5,11.73,1360438,0
LTCH.US,D,20210617,000000,11.67,12.67,11.67,12.41,1916408,0
LTCH.US,D,20210618,000000,12.05,12.64,11.905,12.41,1445388,0
LTCH.US,D,20210621,000000,12.35,12.73,11.71,12.52,1396028,0
LTCH.US,D,20210622,000000,12.57,12.71,12.26,12.57,1010916,0
LTCH.US,D,20210623,000000,12.62,13,12.32,12.96,665698,0
LTCH.US,D,20210624,000000,13.08,13.17,12.855,13.11,752279,0
LTCH.US,D,20210625,000000,13.02,13.02,12.26,12.32,815165,0
LTCH.US,D,20210628,000000,12.43,12.56,12.3,12.37,587329,0
LTCH.US,D,20210629,000000,12.44,12.74,12.28,12.7,1090500,0
LTCH.US,D,20210630,000000,12.6996,12.6996,12.24,12.27,453637,0
LTCH.US,D,20210701,000000,12.74,12.9,12.55,12.7,590994,0
LTCH.US,D,20210702,000000,12.66,12.725,12.4,12.62,289195,0
LTCH.US,D,20210706,000000,12.64,12.755,12.18,12.47,398658,0
LTCH.US,D,20210707,000000,12.37,12.48,11.5846,11.8,694607,0
LTCH.US,D,20210708,000000,11.51,12.19,11.38,12.18,1286271,0
LTCH.US,D,20210709,000000,12.5,12.5,11.895,12.43,1642136,0
LTCH.US,D,20210712,000000,12.31,12.475,11.92,12.02,685420,0
LTCH.US,D,20210713,000000,11.96,12.01,11.18,11.21,2511915,0
LTCH.US,D,20210714,000000,11.19,11.89,11.15,11.57,1382478,0
LTCH.US,D,20210715,000000,11.74,11.74,11.03,11.22,979291,0
LTCH.US,D,20210716,000000,11.29,11.54,10.9,11.02,1345759,0
LTCH.US,D,20210719,000000,10.7,11.1499,10.14,10.41,3934506,0
LTCH.US,D,20210720,000000,10.5,11.43,10.34,11.14,2920224,0
LTCH.US,D,20210721,000000,11.16,12.08,11.01,11.79,1264808,0
LTCH.US,D,20210722,000000,11.88,12.15,11.57,11.84,1974633,0
LTCH.US,D,20210723,000000,11.91,12.23,11.67,11.87,475914,0
LTCH.US,D,20210726,000000,11.87,12.31,11.57,12.23,571563,0
