<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAPSW.US,D,20191018,000000,0.68,0.68,0.64,0.64,51000,0
MAPSW.US,D,20191021,000000,0.64,0.65,0.6369,0.6499,7220,0
MAPSW.US,D,20191022,000000,0.65,0.65,0.63,0.63,126700,0
MAPSW.US,D,20191025,000000,0.65,0.65,0.65,0.65,1220,0
MAPSW.US,D,20191106,000000,0.64,0.64005,0.64,0.64005,1500,0
MAPSW.US,D,20191108,000000,0.63,0.63,0.63,0.63,3000,0
MAPSW.US,D,20191113,000000,0.54,0.68,0.52,0.68,532058,0
MAPSW.US,D,20191114,000000,0.58,0.58,0.58,0.58,500,0
MAPSW.US,D,20191119,000000,0.68,0.68,0.52,0.676,8300,0
MAPSW.US,D,20191121,000000,0.55,0.637,0.45,0.637,19200,0
MAPSW.US,D,20191122,000000,0.4,0.6199,0.4,0.6,1200,0
MAPSW.US,D,20191126,000000,0.68,0.68,0.56,0.6,6900,0
MAPSW.US,D,20191129,000000,0.55,0.55,0.55,0.55,300,0
MAPSW.US,D,20191203,000000,0.47,0.5961,0.47,0.5705,700,0
MAPSW.US,D,20191204,000000,0.51,0.51,0.51,0.51,500,0
MAPSW.US,D,20191206,000000,0.41,0.49,0.41,0.49,11700,0
MAPSW.US,D,20191211,000000,0.4,0.52,0.4,0.5,2000,0
MAPSW.US,D,20191212,000000,0.5,0.533,0.41,0.52,1400,0
MAPSW.US,D,20191216,000000,0.55,0.55,0.52,0.52,5200,0
MAPSW.US,D,20191217,000000,0.45,0.5,0.45,0.5,15846,0
MAPSW.US,D,20191219,000000,0.52,0.52,0.5199,0.5199,4000,0
MAPSW.US,D,20191223,000000,0.5,0.5,0.5,0.5,250,0
MAPSW.US,D,20191227,000000,0.46,0.47,0.46,0.47,6663,0
MAPSW.US,D,20191231,000000,0.4501,0.4501,0.4,0.4,56441,0
MAPSW.US,D,20200102,000000,0.36,0.3762,0.36,0.3762,310,0
MAPSW.US,D,20200103,000000,0.68,0.68,0.43,0.4595,20679,0
MAPSW.US,D,20200106,000000,0.43,0.43,0.36,0.36,3100,0
MAPSW.US,D,20200107,000000,0.36,0.42,0.36,0.42,33641,0
MAPSW.US,D,20200110,000000,0.4,0.4,0.4,0.4,24600,0
MAPSW.US,D,20200115,000000,0.5,0.5,0.4,0.4,26890,0
MAPSW.US,D,20200122,000000,0.65,0.65,0.41,0.41,84590,0
MAPSW.US,D,20200123,000000,0.42,0.5,0.41,0.42,59003,0
MAPSW.US,D,20200127,000000,0.3563,0.49,0.3563,0.4,6500,0
