<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MORF.US,D,20190627,000000,18,21,17.53,18,1051289,0
MORF.US,D,20190628,000000,17.89,21,15.72,19.82,233419,0
MORF.US,D,20190701,000000,19.87,24.5,18.57,23.23,119808,0
MORF.US,D,20190702,000000,23.53,25.15,21.79,22.67,222496,0
MORF.US,D,20190703,000000,22.69,24,20.26,22.99,125288,0
MORF.US,D,20190705,000000,22.96,25.19,22.95,23.86,71749,0
MORF.US,D,20190708,000000,23.77,25.19,21.12,21.21,198885,0
MORF.US,D,20190709,000000,20.92,22.9,18.7005,19.98,117763,0
MORF.US,D,20190710,000000,19.8,21.88,18.13,18.65,116094,0
MORF.US,D,20190711,000000,18.65,19.31,17.24,19.27,35243,0
MORF.US,D,20190712,000000,19.41,20.8,18.9693,19.725,34612,0
MORF.US,D,20190715,000000,18.81,21.5,18.81,20.8,104054,0
MORF.US,D,20190716,000000,20.38,21.68,20.1,20.7,31182,0
MORF.US,D,20190717,000000,20.35,21.55,19.3,19.66,70402,0
MORF.US,D,20190718,000000,19.22,20.7622,18.1338,19.22,77389,0
MORF.US,D,20190719,000000,18.97,20.5,18,18.9,70100,0
MORF.US,D,20190722,000000,19.05,20.77,19.05,19.63,83738,0
MORF.US,D,20190723,000000,19.81,20.93,19.81,20.47,72428,0
MORF.US,D,20190724,000000,21.05,21.05,20.07,20.71,37217,0
MORF.US,D,20190725,000000,20.58,21.215,19.13,19.74,96468,0
MORF.US,D,20190726,000000,19.84,20.3413,19,20.25,23656,0
MORF.US,D,20190729,000000,20.2,21,18.6026,20.38,74567,0
MORF.US,D,20190730,000000,20.61,21.77,19.8,21.11,13748,0
MORF.US,D,20190731,000000,20.85,23.3057,20.54,22.58,20465,0
MORF.US,D,20190801,000000,22.18,24.7195,22.18,22.8,21174,0
MORF.US,D,20190802,000000,22.62,24.875,22.62,23.75,67151,0
MORF.US,D,20190805,000000,23.07,24.15,21.9894,22.15,31570,0
MORF.US,D,20190806,000000,22.21,23.8,22.13,23.49,40668,0
MORF.US,D,20190807,000000,23.48,31.41,22.7298,29.05,90427,0
MORF.US,D,20190808,000000,29.1,33.5,25.11,27.19,113954,0
MORF.US,D,20190809,000000,26.78,29.09,25.6778,28.3,98927,0
MORF.US,D,20190812,000000,28.3,28.73,25.55,26.08,31382,0
MORF.US,D,20190813,000000,25.7,26.77,23.1,23.99,77718,0
MORF.US,D,20190814,000000,23.42,23.65,18.51,22.38,143033,0
MORF.US,D,20190815,000000,20.6646,23.38,20.6646,21.1,48214,0
MORF.US,D,20190816,000000,20.92,23,20.5,21.38,77384,0
MORF.US,D,20190819,000000,21.27,22.76,20.9,22.05,49550,0
MORF.US,D,20190820,000000,22.18,23.4,20.1,22.53,60596,0
MORF.US,D,20190821,000000,22.47,24.18,21.82,22.93,49020,0
MORF.US,D,20190822,000000,22.77,23.97,21.03,22.04,77373,0
MORF.US,D,20190823,000000,21.66,22.6233,21.01,21.01,17255,0
MORF.US,D,20190826,000000,20.92,20.92,19.15,20.02,155245,0
MORF.US,D,20190827,000000,20.02,20.2411,18.91,19.62,30779,0
MORF.US,D,20190828,000000,18.98,20.18,18.7,19,33907,0
MORF.US,D,20190829,000000,19.01,20,17.84,18.55,70876,0
MORF.US,D,20190830,000000,19.3766,19.3766,18.13,18.5,16207,0
MORF.US,D,20190903,000000,18.65,19.225,17.59,17.99,90525,0
MORF.US,D,20190904,000000,18.28,19.27,17.55,19.03,68118,0
MORF.US,D,20190905,000000,18.5904,20.95,18.24,20.15,31077,0
MORF.US,D,20190906,000000,19.96,22.377,19.96,21.53,46674,0
MORF.US,D,20190909,000000,21.27,22.76,19.83,20.94,69544,0
MORF.US,D,20190910,000000,21.31,21.31,19.21,20.97,60666,0
MORF.US,D,20190911,000000,20.7,21.45,19.075,20.49,66696,0
MORF.US,D,20190912,000000,20.31,21.34,19.91,20.9,47010,0
