<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OCAX.US,D,20210310,000000,9.95,10.01,9.87,9.93,23318,0
OCAX.US,D,20210311,000000,9.9,9.9,9.85,9.85,58145,0
OCAX.US,D,20210312,000000,9.89,9.89,9.89,9.89,503,0
OCAX.US,D,20210315,000000,9.88,9.89,9.8,9.8,229591,0
OCAX.US,D,20210316,000000,9.81,9.85,9.81,9.81,2316,0
OCAX.US,D,20210317,000000,9.855,9.87,9.84,9.87,7484,0
OCAX.US,D,20210318,000000,9.82,9.84,9.82,9.84,2711,0
OCAX.US,D,20210319,000000,9.82,9.86,9.82,9.83,17970,0
OCAX.US,D,20210322,000000,9.8,9.85,9.78,9.8,252561,0
OCAX.US,D,20210323,000000,9.79,9.84,9.79,9.8,27855,0
OCAX.US,D,20210324,000000,9.8,9.83,9.51,9.76,443335,0
OCAX.US,D,20210325,000000,9.77,9.82,9.51,9.51,58646,0
OCAX.US,D,20210326,000000,9.54,9.79,9.54,9.76,4769,0
OCAX.US,D,20210329,000000,9.76,9.82,9.76,9.77,179326,0
OCAX.US,D,20210330,000000,9.77,9.79,9.77,9.77,215308,0
OCAX.US,D,20210331,000000,9.79,9.82,9.77,9.77,46729,0
OCAX.US,D,20210401,000000,9.77,9.83,9.77,9.81,107070,0
OCAX.US,D,20210405,000000,9.83,9.89,9.81,9.88,50112,0
OCAX.US,D,20210406,000000,9.86,9.87,9.85,9.87,191434,0
OCAX.US,D,20210407,000000,9.87,9.88,9.77,9.88,162199,0
OCAX.US,D,20210408,000000,9.86,9.87,9.86,9.86,55998,0
OCAX.US,D,20210409,000000,9.89,9.9,9.8484,9.85,84412,0
OCAX.US,D,20210412,000000,9.89,9.9,9.89,9.9,9035,0
OCAX.US,D,20210413,000000,9.9,9.9,9.89,9.9,1907,0
OCAX.US,D,20210414,000000,9.89,9.97,9.88,9.97,378134,0
OCAX.US,D,20210415,000000,9.93,9.95,9.91,9.91,1302,0
OCAX.US,D,20210416,000000,9.95,9.96,9.89,9.96,24339,0
OCAX.US,D,20210419,000000,9.9,9.96,9.89,9.92,253855,0
OCAX.US,D,20210420,000000,9.9,9.93,9.89,9.89,120968,0
OCAX.US,D,20210422,000000,9.895,9.91,9.86,9.86,3687,0
OCAX.US,D,20210423,000000,9.86,9.91,9.86,9.88,1464,0
OCAX.US,D,20210426,000000,9.88,9.91,9.88,9.89,1554,0
OCAX.US,D,20210427,000000,9.9,9.9,9.88,9.9,1963,0
OCAX.US,D,20210428,000000,9.84,9.91,9.83,9.91,7113,0
OCAX.US,D,20210429,000000,9.91,9.91,9.85,9.91,17536,0
OCAX.US,D,20210503,000000,9.9,9.91,9.9,9.91,112300,0
OCAX.US,D,20210504,000000,9.91,9.92,9.9,9.9,418573,0
OCAX.US,D,20210505,000000,9.9,9.91,9.9,9.9,131525,0
OCAX.US,D,20210506,000000,9.91,9.92,9.9,9.92,2606,0
OCAX.US,D,20210507,000000,9.89,9.92,9.89,9.92,5572,0
OCAX.US,D,20210511,000000,9.85,9.92,9.85,9.92,8602,0
OCAX.US,D,20210512,000000,9.875,9.92,9.81,9.83,8818,0
OCAX.US,D,20210513,000000,9.83,9.91,9.83,9.85,9323,0
OCAX.US,D,20210514,000000,9.81,9.81,9.81,9.81,264,0
OCAX.US,D,20210517,000000,9.81,9.92,9.72,9.83,310776,0
OCAX.US,D,20210518,000000,9.9,9.9,9.81,9.81,1060,0
OCAX.US,D,20210519,000000,9.85,9.85,9.82,9.82,5637,0
OCAX.US,D,20210520,000000,9.81,9.87,9.73,9.81,153017,0
OCAX.US,D,20210521,000000,9.77,9.84,9.75,9.75,33286,0
OCAX.US,D,20210524,000000,9.75,9.87,9.74,9.87,109092,0
OCAX.US,D,20210525,000000,9.88,9.89,9.87,9.89,10024,0
OCAX.US,D,20210526,000000,9.89,9.9,9.79,9.88,8467,0
OCAX.US,D,20210527,000000,9.816,9.82,9.81,9.82,510,0
OCAX.US,D,20210601,000000,9.89,9.9,9.89,9.9,4170,0
OCAX.US,D,20210602,000000,9.89,9.9,9.89,9.9,2249,0
OCAX.US,D,20210607,000000,9.85,9.9,9.85,9.9,1206,0
OCAX.US,D,20210608,000000,9.9,9.9,9.9,9.9,208,0
OCAX.US,D,20210609,000000,9.9,9.9,9.9,9.9,104,0
OCAX.US,D,20210610,000000,9.88,9.9,9.88,9.89,8831,0
OCAX.US,D,20210611,000000,9.89,9.92,9.89,9.91,163419,0
OCAX.US,D,20210614,000000,9.9,9.92,9.9,9.91,483129,0
OCAX.US,D,20210615,000000,9.91,9.92,9.91,9.91,2541,0
OCAX.US,D,20210616,000000,9.8001,9.92,9.8001,9.91,6286,0
OCAX.US,D,20210617,000000,9.91,9.92,9.82,9.88,19070,0
OCAX.US,D,20210618,000000,9.88,9.91,9.86,9.885,3203,0
OCAX.US,D,20210622,000000,9.87,9.87,9.87,9.87,516,0
OCAX.US,D,20210625,000000,9.82,9.87,9.82,9.87,5058,0
OCAX.US,D,20210628,000000,9.82,9.89,9.76,9.83,61266,0
OCAX.US,D,20210629,000000,9.78,9.85,9.78,9.815,7589,0
OCAX.US,D,20210630,000000,9.82,9.91,9.77,9.91,23577,0
OCAX.US,D,20210701,000000,9.77,9.83,9.77,9.82,13136,0
OCAX.US,D,20210702,000000,9.83,9.83,9.78,9.815,2783,0
OCAX.US,D,20210706,000000,9.81,9.87,9.795,9.87,33379,0
OCAX.US,D,20210707,000000,9.83,9.86,9.83,9.86,8550,0
OCAX.US,D,20210708,000000,9.84,9.87,9.84,9.87,1238,0
OCAX.US,D,20210712,000000,9.86,9.87,9.86,9.86,2928,0
OCAX.US,D,20210713,000000,9.77,9.82,9.77,9.82,1106,0
OCAX.US,D,20210714,000000,9.82,9.84,9.82,9.84,18645,0
OCAX.US,D,20210715,000000,9.84,9.87,9.84,9.87,670,0
OCAX.US,D,20210716,000000,9.84,9.84,9.84,9.84,1816,0
OCAX.US,D,20210719,000000,9.84,9.85,9.84,9.85,2837,0
OCAX.US,D,20210721,000000,9.81,9.82,9.78,9.82,2313,0
OCAX.US,D,20210723,000000,9.82,9.82,9.82,9.82,1048,0
OCAX.US,D,20210728,000000,9.82,9.83,9.82,9.83,30304,0
OCAX.US,D,20210729,000000,9.85,9.85,9.83,9.85,16061,0
OCAX.US,D,20210730,000000,9.85,9.85,9.85,9.85,21004,0
OCAX.US,D,20210802,000000,9.85,9.85,9.85,9.85,22062,0
OCAX.US,D,20210803,000000,9.8,9.8,9.8,9.8,3600,0
OCAX.US,D,20210804,000000,9.8,9.82,9.79,9.82,6355,0
