<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NLSPW.US,D,20210201,000000,0.6,0.7399,0.4,0.7399,13935,0
NLSPW.US,D,20210202,000000,0.7344,0.7344,0.4501,0.7,48981,0
NLSPW.US,D,20210203,000000,0.7,0.92,0.600001,0.92,230606,0
NLSPW.US,D,20210204,000000,0.92,0.9205,0.65,0.75,85180,0
NLSPW.US,D,20210205,000000,0.75,0.85,0.75,0.83,10007,0
NLSPW.US,D,20210208,000000,0.83,0.83,0.69,0.71,26137,0
NLSPW.US,D,20210209,000000,0.76,0.76,0.7,0.76,6218,0
NLSPW.US,D,20210210,000000,0.7893,0.86,0.72,0.8,37394,0
NLSPW.US,D,20210211,000000,0.8001,1,0.8001,0.9,126377,0
NLSPW.US,D,20210212,000000,0.9,1,0.8001,0.84,27462,0
NLSPW.US,D,20210216,000000,0.82,1,0.82,0.9999,8662,0
NLSPW.US,D,20210217,000000,0.98,0.98,0.8605,0.9258,20456,0
NLSPW.US,D,20210218,000000,0.83,0.87,0.82,0.8653,30490,0
NLSPW.US,D,20210219,000000,0.84,0.905001,0.8301,0.838701,2133,0
NLSPW.US,D,20210222,000000,0.9899,1.07,0.81,0.91,45725,0
NLSPW.US,D,20210223,000000,0.8,0.8,0.8,0.8,5862,0
NLSPW.US,D,20210224,000000,0.95,0.95,0.790101,0.7952,3954,0
NLSPW.US,D,20210225,000000,0.81,0.891673,0.81,0.8899,10553,0
NLSPW.US,D,20210226,000000,0.8001,1.03,0.8,0.8906,13029,0
NLSPW.US,D,20210301,000000,0.97,1,0.88,0.9811,14217,0
NLSPW.US,D,20210302,000000,0.9505,0.9505,0.95,0.95,602,0
NLSPW.US,D,20210304,000000,0.7901,0.8669,0.79,0.79,56710,0
NLSPW.US,D,20210305,000000,0.6511,0.6511,0.6511,0.6511,368,0
NLSPW.US,D,20210308,000000,0.78,0.79,0.78,0.7899,1808,0
