<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCTI.US,D,20211013,000000,3.17,4.35,3.16,3.59,10221143,0
HCTI.US,D,20211014,000000,3.6,3.7,3.3,3.5,2584376,0
HCTI.US,D,20211015,000000,3.4,3.67,3.4,3.49,911260,0
HCTI.US,D,20211018,000000,3.39,3.54,3.35,3.505,511949,0
HCTI.US,D,20211019,000000,3.51,3.5399,2.87,3.05,1139466,0
HCTI.US,D,20211020,000000,3.03,3.0317,2.75,2.9,650325,0
HCTI.US,D,20211021,000000,2.92,3.11,2.86,2.96,424537,0
HCTI.US,D,20211022,000000,2.85,2.93,2.48,2.85,1149426,0
HCTI.US,D,20211025,000000,2.84,2.95,2.73,2.87,781025,0
HCTI.US,D,20211026,000000,2.99,3.0699,2.63,2.68,569196,0
HCTI.US,D,20211027,000000,2.69,2.75,2.43,2.66,759603,0
