<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OTMOW.US,D,20201007,000000,0.8,0.8,0.7999,0.8,500,0
OTMOW.US,D,20201008,000000,0.6,0.8,0.6,0.71,109860,0
OTMOW.US,D,20201009,000000,0.7,0.75,0.7,0.75,259709,0
OTMOW.US,D,20201012,000000,0.75,0.75,0.7,0.7,55000,0
OTMOW.US,D,20201014,000000,0.7,0.7,0.69,0.7,36400,0
OTMOW.US,D,20201015,000000,0.7,0.7,0.7,0.7,55809,0
OTMOW.US,D,20201016,000000,0.68,0.69,0.68,0.68,1638,0
OTMOW.US,D,20201019,000000,0.7,0.7,0.65,0.65,11758,0
OTMOW.US,D,20201021,000000,0.7,0.7,0.7,0.7,350,0
OTMOW.US,D,20201022,000000,0.7,0.7,0.7,0.7,300,0
OTMOW.US,D,20201023,000000,0.7,0.7,0.65,0.65,7600,0
OTMOW.US,D,20201026,000000,0.69,0.69,0.65,0.65,1400,0
OTMOW.US,D,20201028,000000,0.605,0.605,0.56,0.58,5445,0
OTMOW.US,D,20201029,000000,0.59,0.59,0.555,0.555,1762,0
OTMOW.US,D,20201030,000000,0.556,0.603,0.556,0.603,900,0
OTMOW.US,D,20201102,000000,0.65,0.65,0.555,0.5925,26988,0
OTMOW.US,D,20201103,000000,0.6,0.649899,0.6,0.649899,1505,0
OTMOW.US,D,20201104,000000,0.63,0.63,0.63,0.63,100,0
OTMOW.US,D,20201106,000000,0.6,0.65,0.6,0.65,10000,0
OTMOW.US,D,20201109,000000,0.58,0.6499,0.58,0.5801,749,0
OTMOW.US,D,20201110,000000,0.59,0.65,0.59,0.65,8191,0
OTMOW.US,D,20201111,000000,0.6,0.6,0.6,0.6,2800,0
OTMOW.US,D,20201113,000000,0.61,0.65,0.6,0.65,200906,0
OTMOW.US,D,20201116,000000,0.610101,0.65,0.6001,0.6001,12317,0
OTMOW.US,D,20201117,000000,0.62,0.64,0.62,0.64,1627,0
OTMOW.US,D,20201118,000000,0.65,0.68,0.65,0.68,11332,0
OTMOW.US,D,20201119,000000,0.66,0.73,0.66,0.71,8347,0
OTMOW.US,D,20201120,000000,0.71,0.73,0.7,0.7,4560,0
OTMOW.US,D,20201123,000000,0.76,0.96,0.75,0.8,10890,0
OTMOW.US,D,20201124,000000,0.75,0.75,0.7,0.719701,126294,0
OTMOW.US,D,20201125,000000,0.75,0.75,0.66,0.66,59475,0
OTMOW.US,D,20201127,000000,0.71,0.71,0.7,0.7,5000,0
OTMOW.US,D,20201130,000000,0.7,0.8,0.7,0.71,89630,0
OTMOW.US,D,20201201,000000,0.725,0.8,0.725,0.735,161052,0
OTMOW.US,D,20201202,000000,0.72,0.75,0.72,0.74,9995,0
OTMOW.US,D,20201203,000000,0.720871,0.75,0.720871,0.75,16002,0
OTMOW.US,D,20201204,000000,0.8,0.85,0.785,0.785,4898,0
OTMOW.US,D,20201207,000000,0.85,0.85,0.74,0.74,23487,0
OTMOW.US,D,20201208,000000,0.8,0.98,0.77,0.8375,242990,0
OTMOW.US,D,20201209,000000,0.83,0.83,0.76,0.76,112395,0
OTMOW.US,D,20201210,000000,0.76,0.9,0.74,0.761,81288,0
OTMOW.US,D,20201211,000000,0.84,1.14,0.78,0.825,146126,0
OTMOW.US,D,20201214,000000,0.85,0.99,0.8201,0.93999,124690,0
OTMOW.US,D,20201215,000000,0.97,0.97,0.82,0.83,102493,0
OTMOW.US,D,20201216,000000,0.8401,0.92,0.84,0.9199,59329,0
OTMOW.US,D,20201217,000000,0.9195,0.92,0.842,0.842,6186,0
OTMOW.US,D,20201218,000000,0.86,0.92,0.85,0.915001,64653,0
