<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LBPH.US,D,20210312,000000,16,17.6,15.5,16.65,1967893,0
LBPH.US,D,20210315,000000,16.15,17.48,16.15,16.89,187328,0
LBPH.US,D,20210316,000000,16.355,16.93,16,16.5,203306,0
LBPH.US,D,20210317,000000,16.45,16.6,16,16,39804,0
LBPH.US,D,20210318,000000,16,16.29,16,16,77951,0
LBPH.US,D,20210319,000000,15.99,16.89,15.99,16.25,69922,0
LBPH.US,D,20210322,000000,16.13,17.062,16,16.05,19523,0
LBPH.US,D,20210323,000000,16.5,16.74,16.5,16.6,4049,0
LBPH.US,D,20210324,000000,16.5,16.73,16.5,16.5,14821,0
LBPH.US,D,20210325,000000,16.1416,16.5,16,16.42,31306,0
LBPH.US,D,20210326,000000,16.0101,16.6425,16,16.5,16354,0
LBPH.US,D,20210329,000000,16.33,16.33,16,16.0201,2690,0
LBPH.US,D,20210330,000000,16.28,16.28,16.0001,16.11,1412,0
LBPH.US,D,20210331,000000,16.05,16.525,16,16.38,11279,0
LBPH.US,D,20210401,000000,16,16.5,15.74,16.04,47230,0
LBPH.US,D,20210405,000000,16.26,16.73,16.2063,16.67,82099,0
LBPH.US,D,20210406,000000,17.5,18.95,16.14,17.3,79465,0
LBPH.US,D,20210407,000000,18.15,18.1523,15.24,15.24,53568,0
LBPH.US,D,20210408,000000,16,16.36,16,16,115640,0
LBPH.US,D,20210409,000000,16.13,16.32,16,16,22346,0
LBPH.US,D,20210412,000000,15.87,15.87,11.59,12.99,45089,0
LBPH.US,D,20210413,000000,13.85,13.85,11.85,11.86,31062,0
LBPH.US,D,20210414,000000,13,13.29,12.15,12.15,47075,0
LBPH.US,D,20210415,000000,12.25,12.57,11.7,12.44,14121,0
LBPH.US,D,20210416,000000,12.63,12.63,11.63,11.63,13399,0
LBPH.US,D,20210419,000000,11.62,12.115,10.01,10.13,16439,0
LBPH.US,D,20210420,000000,10.16,10.9899,10.01,10.14,8496,0
LBPH.US,D,20210421,000000,10.01,10.5822,9.99,10.25,15216,0
LBPH.US,D,20210422,000000,10.25,10.94,9.96,10.59,2930,0
LBPH.US,D,20210423,000000,10.2,10.9399,9.81,10.11,5054,0
LBPH.US,D,20210426,000000,10.1,10.7499,9.82,10,16855,0
LBPH.US,D,20210427,000000,9.93,9.995,9.13,9.68,20852,0
LBPH.US,D,20210428,000000,9.71,9.77,9.58,9.69,6820,0
LBPH.US,D,20210429,000000,9.6235,9.6235,9.5,9.5,1684,0
LBPH.US,D,20210430,000000,9.57,9.675,9.31,9.53,17115,0
LBPH.US,D,20210503,000000,9.8,9.8,9.03,9.51,5362,0
LBPH.US,D,20210504,000000,9.65,9.65,8.45,8.52,16089,0
LBPH.US,D,20210505,000000,8.12,9.52,8.12,9.27,16811,0
LBPH.US,D,20210506,000000,9.31,9.31,9.22,9.28,2230,0
LBPH.US,D,20210507,000000,9.32,10.44,8.4879,9.97,9842,0
LBPH.US,D,20210510,000000,9.95,10.65,9.3,10.15,19884,0
LBPH.US,D,20210511,000000,9.69,10,9.06,9.69,37335,0
LBPH.US,D,20210512,000000,9.49,10.33,8.86,9.28,96895,0
LBPH.US,D,20210513,000000,9.14,9.97,8.75,8.76,40652,0
LBPH.US,D,20210514,000000,8.75,9,7.98,8.29,34758,0
LBPH.US,D,20210517,000000,8.26,8.75,8.01,8.75,6958,0
LBPH.US,D,20210518,000000,8.69,9.305,8.36,8.93,12029,0
LBPH.US,D,20210519,000000,8.6,8.95,8.26,8.95,15347,0
LBPH.US,D,20210520,000000,8.9399,8.95,8.71,8.93,12235,0
LBPH.US,D,20210521,000000,8.71,8.95,8.14,8.14,8418,0
LBPH.US,D,20210524,000000,8.49,9.4557,8.3646,9.3,28968,0
LBPH.US,D,20210525,000000,8.57,9.39,8.4,8.4,26178,0
LBPH.US,D,20210526,000000,8.35,8.46,8.09,8.21,15807,0
LBPH.US,D,20210527,000000,8.2,8.7962,8.09,8.46,37000,0
LBPH.US,D,20210528,000000,8.36,8.9871,8.05,8.26,59095,0
LBPH.US,D,20210601,000000,8.42,8.9279,8.16,8.58,37172,0
LBPH.US,D,20210602,000000,8.68,8.7699,8.33,8.38,28200,0
LBPH.US,D,20210603,000000,8.31,8.8,8.22,8.3,16046,0
LBPH.US,D,20210604,000000,8.44,8.51,8.2,8.33,40471,0
LBPH.US,D,20210607,000000,8.585,8.585,7.39,7.95,60798,0
LBPH.US,D,20210608,000000,7.69,8.1667,7.69,8.04,22117,0
LBPH.US,D,20210609,000000,8.05,8.9,7.875,8.72,91469,0
LBPH.US,D,20210610,000000,9.03,9.49,8.16,8.57,50049,0
LBPH.US,D,20210611,000000,8.56,9.72,8.56,9.71,53909,0
LBPH.US,D,20210614,000000,9.31,9.84,8.55,8.56,68703,0
LBPH.US,D,20210615,000000,8.66,9.31,8.41,8.75,22248,0
LBPH.US,D,20210616,000000,8.8,9.19,8.62,9.18,40276,0
LBPH.US,D,20210617,000000,8.95,9.3563,8.95,9.35,45772,0
LBPH.US,D,20210618,000000,9.38,9.64,8.34,8.62,138845,0
LBPH.US,D,20210621,000000,8.81,9.21,8.42,8.49,82432,0
LBPH.US,D,20210622,000000,8.41,8.75,8.1095,8.37,66541,0
LBPH.US,D,20210623,000000,8.26,8.55,8.2192,8.42,28057,0
LBPH.US,D,20210624,000000,8.4503,8.7,8.4503,8.47,17768,0
LBPH.US,D,20210625,000000,8.64,8.93,8.51,8.9,42040,0
LBPH.US,D,20210628,000000,9,9.13,8.9289,9.08,5764,0
LBPH.US,D,20210629,000000,8.9455,8.99,8.9,8.9,13986,0
LBPH.US,D,20210630,000000,8.825,9.12,8.825,9.12,10613,0
LBPH.US,D,20210701,000000,9.1301,9.165,9,9.09,6601,0
LBPH.US,D,20210702,000000,9.015,9.19,9.015,9.1,16774,0
LBPH.US,D,20210706,000000,9.1,9.2,9.1,9.2,18994,0
LBPH.US,D,20210707,000000,9.2,9.31,8.9789,9.2,23922,0
LBPH.US,D,20210708,000000,9.2,9.61,8.94,9.61,19936,0
LBPH.US,D,20210709,000000,9.9,9.9,9.3,9.47,17137,0
LBPH.US,D,20210712,000000,9.28,9.96,9.24,9.96,5225,0
LBPH.US,D,20210713,000000,10,18.5,9.3,9.32,1740925,0
LBPH.US,D,20210714,000000,9,9.0661,8.5001,8.91,106317,0
LBPH.US,D,20210715,000000,8.63,8.96,8.5,8.85,46797,0
LBPH.US,D,20210716,000000,8.66,8.8712,8.57,8.65,36923,0
LBPH.US,D,20210719,000000,8.65,8.85,8.57,8.67,25760,0
LBPH.US,D,20210720,000000,8.68,9.06,8.6,8.72,43596,0
LBPH.US,D,20210721,000000,8.72,9.02,8.62,8.67,24362,0
LBPH.US,D,20210722,000000,8.67,8.8654,8.56,8.82,24272,0
LBPH.US,D,20210723,000000,8.7,8.89,8.5001,8.68,42387,0
LBPH.US,D,20210726,000000,8.69,8.8,8.5001,8.8,51303,0
LBPH.US,D,20210727,000000,8.63,8.81,8.58,8.67,34372,0
LBPH.US,D,20210728,000000,8.69,9.585,8.66,9.21,29776,0
LBPH.US,D,20210729,000000,9.3,9.33,8.82,9.06,6277,0
LBPH.US,D,20210730,000000,9.01,9.44,9,9,8328,0
LBPH.US,D,20210802,000000,8.97,9.225,8.97,9.16,23510,0
LBPH.US,D,20210803,000000,9.135,9.239,8.84,8.85,20308,0
LBPH.US,D,20210804,000000,8.93,9.2418,8.83,9.03,5098,0
LBPH.US,D,20210805,000000,8.7201,9,8.7,8.83,54967,0
LBPH.US,D,20210806,000000,8.84,9.29,8.68,9.09,80664,0
LBPH.US,D,20210809,000000,8.84,9.22,8.84,9.05,18836,0
LBPH.US,D,20210810,000000,9.21,9.21,8.5,9.05,14544,0
LBPH.US,D,20210811,000000,9.14,9.14,8.85,8.9,17520,0
LBPH.US,D,20210812,000000,8.76,9.22,8.57,8.83,29244,0
LBPH.US,D,20210813,000000,8.8605,9.4,8.755,9.22,22246,0
LBPH.US,D,20210816,000000,9.31,9.31,8.96,8.99,8655,0
LBPH.US,D,20210817,000000,8.8936,9.22,8.75,8.86,24243,0
LBPH.US,D,20210818,000000,8.87,8.91,8.8,8.83,113471,0
LBPH.US,D,20210819,000000,8.935,8.94,8.69,8.83,17884,0
LBPH.US,D,20210820,000000,8.83,9.0424,8.53,8.9,28597,0
LBPH.US,D,20210823,000000,8.775,8.89,8.54,8.83,23884,0
LBPH.US,D,20210824,000000,8.83,9.925,8.55,9.46,47611,0
LBPH.US,D,20210825,000000,9.27,9.58,9.19,9.36,19111,0
LBPH.US,D,20210826,000000,9.51,9.57,8.83,9.18,25946,0
LBPH.US,D,20210827,000000,9.01,9.3,8.83,8.86,19576,0
LBPH.US,D,20210830,000000,9.05,9.05,8.89,8.89,7797,0
LBPH.US,D,20210831,000000,8.91,9.6,8.91,9.38,13526,0
LBPH.US,D,20210901,000000,9.044,9.79,9.044,9.61,14084,0
LBPH.US,D,20210902,000000,9.6267,10.31,9.56,10,20307,0
LBPH.US,D,20210903,000000,9.97,10.41,9.88,10.15,21858,0
LBPH.US,D,20210907,000000,10.41,10.6354,10.15,10.35,24615,0
LBPH.US,D,20210908,000000,10.29,10.47,10.025,10.45,26705,0
LBPH.US,D,20210909,000000,10.19,11.36,10.13,11.36,18354,0
LBPH.US,D,20210910,000000,11.36,11.36,10.625,10.97,31184,0
LBPH.US,D,20210913,000000,10.82,11.03,9.29,9.63,33202,0
LBPH.US,D,20210914,000000,9.47,10.38,8.76,9.1,71172,0
LBPH.US,D,20210915,000000,8.62,9.31,8.62,9.2,19198,0
LBPH.US,D,20210916,000000,9.04,9.37,8.86,9.07,16329,0
LBPH.US,D,20210917,000000,9.01,9.29,8.94,9.29,14142,0
LBPH.US,D,20210920,000000,9.275,9.44,8.86,9.39,25675,0
LBPH.US,D,20210921,000000,9.31,9.31,8.985,9.28,26901,0
LBPH.US,D,20210922,000000,9.4038,9.4038,9.01,9.19,6118,0
LBPH.US,D,20210923,000000,8.94,9.23,8.93,9.15,9663,0
LBPH.US,D,20210924,000000,9.05,9.15,9,9.14,7234,0
LBPH.US,D,20210927,000000,8.96,9.76,8.95,9.36,12862,0
LBPH.US,D,20210928,000000,9.45,9.7,8.91,9.52,4133,0
LBPH.US,D,20210929,000000,9.59,9.82,9.195,9.21,16406,0
LBPH.US,D,20210930,000000,8.9101,9.66,8.85,8.85,7445,0
LBPH.US,D,20211001,000000,8.85,9.29,8.6704,9.08,14171,0
LBPH.US,D,20211004,000000,9.1,9.39,8.7856,9.05,3367,0
LBPH.US,D,20211005,000000,9.03,9.49,8.71,9.45,14933,0
LBPH.US,D,20211006,000000,9.43,9.49,9.0101,9.07,1528,0
LBPH.US,D,20211007,000000,9.5,9.55,9.02,9.02,15859,0
LBPH.US,D,20211008,000000,9.15,9.4,9,9.04,12672,0
LBPH.US,D,20211011,000000,9.07,9.165,8.9,9,20554,0
LBPH.US,D,20211012,000000,9,9.17,8.84,9,27472,0
LBPH.US,D,20211013,000000,9,9.13,8.9,8.99,31387,0
LBPH.US,D,20211014,000000,8.95,9.27,8.7001,9.04,85695,0
LBPH.US,D,20211015,000000,9,9.35,8.7,8.86,39713,0
LBPH.US,D,20211018,000000,8.85,9.035,8.78,8.85,26604,0
LBPH.US,D,20211019,000000,8.83,9.35,8.735,9.32,57081,0
LBPH.US,D,20211020,000000,9.07,9.25,8.72,8.87,57501,0
LBPH.US,D,20211021,000000,8.74,8.91,8,8.11,32936,0
LBPH.US,D,20211022,000000,8,8.16,7.7,8.1,40354,0
LBPH.US,D,20211025,000000,8,8.34,7.8,8,86134,0
LBPH.US,D,20211026,000000,7.98,8.11,7.63,7.96,65139,0
LBPH.US,D,20211027,000000,7.76,7.965,7.31,7.5,34109,0
