<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUIZ.US,D,20200212,000000,10.65,10.83,9.6,10,2222297,0
HUIZ.US,D,20200213,000000,10.35,10.75,9.95,10.5,622993,0
HUIZ.US,D,20200214,000000,10.66,10.82,10.5,10.6,580631,0
HUIZ.US,D,20200218,000000,10.7,10.98,10.27,10.5,247147,0
HUIZ.US,D,20200219,000000,10.5,10.55,10.2,10.47,126630,0
HUIZ.US,D,20200220,000000,10.5,10.64,10.33,10.53,129608,0
HUIZ.US,D,20200221,000000,10.54,10.8592,10.35,10.71,500102,0
HUIZ.US,D,20200224,000000,10.52,10.58,10.36,10.47,124699,0
HUIZ.US,D,20200225,000000,10.52,10.62,10.5001,10.59,138645,0
HUIZ.US,D,20200226,000000,10.56,12.9707,10.54,12.35,473900,0
HUIZ.US,D,20200227,000000,12.6,13.5,11.596,12.08,353427,0
HUIZ.US,D,20200228,000000,12.21,12.9,11.59,12.69,107863,0
HUIZ.US,D,20200302,000000,13,14.79,12.55,14.49,139107,0
HUIZ.US,D,20200303,000000,14.8,14.8,13.39,13.39,160365,0
HUIZ.US,D,20200304,000000,13.71,14.03,11.95,12.28,211639,0
HUIZ.US,D,20200305,000000,12.54,13.03,10.55,10.86,235046,0
HUIZ.US,D,20200306,000000,10.56,11.33,10.5001,10.92,86409,0
HUIZ.US,D,20200309,000000,10.2,10.48,9.04,9.81,104020,0
HUIZ.US,D,20200310,000000,10.01,10.38,9.86,9.91,51381,0
HUIZ.US,D,20200311,000000,9.85,10.05,9.51,9.54,53468,0
HUIZ.US,D,20200312,000000,9,9,7.47,7.76,234420,0
HUIZ.US,D,20200313,000000,8.2,8.79,7.7,8.26,69839,0
HUIZ.US,D,20200316,000000,7.42,7.42,6.42,7.01,60056,0
HUIZ.US,D,20200317,000000,7.3,8.09,7.3,8.09,28701,0
HUIZ.US,D,20200318,000000,7.99,8.25,7.43,8.25,30343,0
HUIZ.US,D,20200319,000000,8.16,9.37,8.16,9.25,14680,0
HUIZ.US,D,20200320,000000,9.14,9.24,8.5,8.87,3899,0
HUIZ.US,D,20200323,000000,9.15,9.18,8.6,8.76,24903,0
HUIZ.US,D,20200324,000000,9.15,9.3,8.9,8.93,12358,0
HUIZ.US,D,20200325,000000,9.2,9.58,8.88,9.56,18993,0
HUIZ.US,D,20200326,000000,9.51,9.6,9.15,9.4,30110,0
HUIZ.US,D,20200327,000000,9.03,9.03,8.45,8.8,11901,0
HUIZ.US,D,20200330,000000,8.78,8.876,8.52,8.52,12210,0
HUIZ.US,D,20200331,000000,8.47,8.52,8,8.05,15459,0
HUIZ.US,D,20200401,000000,7.51,7.7615,7.5,7.5,21864,0
HUIZ.US,D,20200402,000000,7,7,6.51,6.99,113939,0
HUIZ.US,D,20200403,000000,6.79,6.79,6.3,6.35,52440,0
HUIZ.US,D,20200406,000000,6.35,6.44,5.94,6,75121,0
HUIZ.US,D,20200407,000000,6,6.165,5.95,5.99,53956,0
HUIZ.US,D,20200408,000000,5.87,6.03,5.48,5.64,70671,0
HUIZ.US,D,20200409,000000,5.63,5.63,5.27,5.45,64633,0
HUIZ.US,D,20200413,000000,5.99,5.99,4.83,5.17,87048,0
HUIZ.US,D,20200414,000000,5.17,5.17,4.93,5.03,52382,0
HUIZ.US,D,20200415,000000,5.28,5.6,5.05,5.48,152762,0
HUIZ.US,D,20200416,000000,6.03,6.88,5.9,6.4,280841,0
HUIZ.US,D,20200417,000000,6.75,6.75,6.19,6.3659,110463,0
HUIZ.US,D,20200420,000000,6.1,6.58,5.9086,6.51,174993,0
HUIZ.US,D,20200421,000000,6.39,7.31,6.05,7.29,116941,0
HUIZ.US,D,20200422,000000,7.29,7.67,6.786,7.55,56932,0
HUIZ.US,D,20200423,000000,7.41,7.55,7.1,7.55,28387,0
HUIZ.US,D,20200424,000000,7.33,7.87,7.188,7.87,31903,0
HUIZ.US,D,20200427,000000,7.78,7.89,7.6,7.89,51407,0
HUIZ.US,D,20200428,000000,7.67,7.81,7.5,7.81,24291,0
HUIZ.US,D,20200429,000000,7.69,7.85,7.57,7.81,25381,0
HUIZ.US,D,20200430,000000,7.69,7.8,7.51,7.59,12322,0
HUIZ.US,D,20200501,000000,7.38,7.64,7.25,7.25,16194,0
HUIZ.US,D,20200504,000000,7.204,7.3369,7.15,7.15,22143,0
HUIZ.US,D,20200505,000000,7.2,7.46,7.2,7.33,3490,0
HUIZ.US,D,20200506,000000,7.13,7.28,7,7.03,22327,0
HUIZ.US,D,20200507,000000,7,7.03,6.99,7.03,11617,0
HUIZ.US,D,20200508,000000,7.29,7.3,6.9,7.25,11204,0
HUIZ.US,D,20200511,000000,7.28,7.4,6.91,7.1,19124,0
HUIZ.US,D,20200512,000000,7.1,7.1,6.9,6.9,21800,0
HUIZ.US,D,20200513,000000,7,7,6.25,6.59,52390,0
HUIZ.US,D,20200514,000000,6.62,6.62,6.25,6.26,14129,0
HUIZ.US,D,20200515,000000,6.2555,6.39,6.25,6.31,4272,0
HUIZ.US,D,20200518,000000,6.32,6.7,6.32,6.7,1961,0
HUIZ.US,D,20200519,000000,7,7,6.06,6.1,18797,0
HUIZ.US,D,20200520,000000,6.11,6.54,6.11,6.54,5125,0
HUIZ.US,D,20200521,000000,6.41,6.41,6,6,19531,0
HUIZ.US,D,20200522,000000,6,6.042,5.75,5.81,30705,0
HUIZ.US,D,20200526,000000,5.7501,5.91,5.75,5.83,9428,0
HUIZ.US,D,20200527,000000,5.82,5.82,5.76,5.81,8007,0
HUIZ.US,D,20200528,000000,5.82,6,5.75,5.9,17128,0
HUIZ.US,D,20200529,000000,6,6.23,5.75,5.98,44039,0
HUIZ.US,D,20200601,000000,5.83,6.1,5.83,6,16748,0
HUIZ.US,D,20200602,000000,6.01,6.18,5.9,6.03,47548,0
HUIZ.US,D,20200603,000000,6,6.45,5.76,6.32,47698,0
HUIZ.US,D,20200604,000000,6.65,7.19,6.36,7.19,22856,0
HUIZ.US,D,20200605,000000,7.43,7.71,7.34,7.6,35852,0
HUIZ.US,D,20200608,000000,7.76,7.79,7.4,7.5,48396,0
HUIZ.US,D,20200609,000000,7.5,7.6,7.3,7.4,33139,0
HUIZ.US,D,20200610,000000,7.3101,7.51,7.01,7.4,40158,0
HUIZ.US,D,20200611,000000,7.3,7.3,6.355,7.1,24694,0
HUIZ.US,D,20200612,000000,7.24,7.24,6.604,7.1,8780,0
HUIZ.US,D,20200615,000000,6.585,7.09,6.07,7,16449,0
HUIZ.US,D,20200616,000000,7.6,7.6,7.03,7.49,11018,0
HUIZ.US,D,20200617,000000,7.24,7.24,7.06,7.24,9084,0
HUIZ.US,D,20200618,000000,7,7.19,6.905,7.05,8173,0
HUIZ.US,D,20200619,000000,7.0501,7.31,7.0501,7.15,6998,0
HUIZ.US,D,20200622,000000,7.28,7.37,7.215,7.3,5933,0
HUIZ.US,D,20200623,000000,7.38,7.53,7.38,7.53,38930,0
HUIZ.US,D,20200624,000000,7.58,7.76,7.24,7.49,18864,0
HUIZ.US,D,20200625,000000,7.26,7.6,7.26,7.6,16489,0
HUIZ.US,D,20200626,000000,7.355,7.65,7.24,7.25,21211,0
HUIZ.US,D,20200629,000000,7.24,7.5,7.21,7.4,9585,0
HUIZ.US,D,20200630,000000,7.41,7.71,7.18,7.71,11579,0
HUIZ.US,D,20200701,000000,7.7,7.7,7.24,7.55,12923,0
HUIZ.US,D,20200702,000000,7.4,7.54,7.35,7.54,14434,0
HUIZ.US,D,20200706,000000,7.6,8.44,7.555,8.34,62969,0
HUIZ.US,D,20200707,000000,8.8,9,8.2,8.2,72830,0
HUIZ.US,D,20200708,000000,8.3801,10.36,8.3801,9.62,132643,0
HUIZ.US,D,20200709,000000,9.63,10.33,9.51,9.89,43555,0
HUIZ.US,D,20200710,000000,10,10.3,9.5,9.5,40678,0
HUIZ.US,D,20200713,000000,9.7001,9.9,9.05,9.18,24984,0
HUIZ.US,D,20200714,000000,8.89,9.385,8.88,9.01,15033,0
HUIZ.US,D,20200715,000000,9,9.09,8.6801,9.05,7583,0
HUIZ.US,D,20200716,000000,8.85,9.9,8.72,9.07,22862,0
HUIZ.US,D,20200717,000000,9.2,9.5,9.06,9.49,24512,0
HUIZ.US,D,20200720,000000,9.48,9.6304,9,9.47,19206,0
HUIZ.US,D,20200721,000000,9.48,10.3,9.33,9.7,44681,0
HUIZ.US,D,20200722,000000,9.5,9.58,9.04,9.25,38742,0
HUIZ.US,D,20200723,000000,9.24,9.62,9.02,9.14,19820,0
HUIZ.US,D,20200724,000000,9.09,9.15,9,9,9010,0
HUIZ.US,D,20200727,000000,9.0135,9.21,8.97,9.08,13118,0
HUIZ.US,D,20200728,000000,9.01,9.3,9,9.06,14124,0
HUIZ.US,D,20200729,000000,9.1306,9.41,9.12,9.17,11057,0
HUIZ.US,D,20200730,000000,9.22,9.22,9,9,14046,0
HUIZ.US,D,20200731,000000,9.225,9.225,9,9,7756,0
HUIZ.US,D,20200803,000000,9.04,9.4669,8.91,9.17,37783,0
HUIZ.US,D,20200804,000000,9.49,9.52,9.07,9.07,6573,0
HUIZ.US,D,20200805,000000,9.51,9.51,8.8001,8.9,19179,0
HUIZ.US,D,20200806,000000,8.83,8.93,8.74,8.81,37284,0
HUIZ.US,D,20200807,000000,8.69,9.17,8.5,9.17,33011,0
HUIZ.US,D,20200810,000000,9,9,8.77,8.9,14540,0
HUIZ.US,D,20200811,000000,8.95,8.95,8.83,8.87,21062,0
HUIZ.US,D,20200812,000000,8.83,8.89,8.52,8.63,13967,0
HUIZ.US,D,20200813,000000,8.51,8.65,8.51,8.59,7419,0
HUIZ.US,D,20200814,000000,8.6,8.6035,8.56,8.6,7901,0
HUIZ.US,D,20200817,000000,8.5,8.68,8.5,8.64,26352,0
HUIZ.US,D,20200818,000000,8.7597,9.25,8.57,9,16104,0
HUIZ.US,D,20200819,000000,9,9.1999,8.98,8.99,10099,0
HUIZ.US,D,20200820,000000,8.99,9.29,8.822,9.14,20045,0
HUIZ.US,D,20200821,000000,8.84,9.05,8.84,9,9240,0
HUIZ.US,D,20200824,000000,8.77,8.94,8.06,8.885,37315,0
HUIZ.US,D,20200825,000000,8.75,8.98,8.5,8.9,29655,0
HUIZ.US,D,20200826,000000,8.75,8.844,8.7,8.725,5124,0
HUIZ.US,D,20200827,000000,8.7235,8.7235,8.5101,8.63,7255,0
HUIZ.US,D,20200828,000000,8.62,8.7,8.53,8.665,7867,0
HUIZ.US,D,20200831,000000,8.51,8.6,8.43,8.52,28293,0
HUIZ.US,D,20200901,000000,8.52,8.57,8.375,8.5091,10874,0
HUIZ.US,D,20200902,000000,8.4,8.52,8.4,8.5,7664,0
HUIZ.US,D,20200903,000000,8.3313,8.5,8.2001,8.47,4861,0
HUIZ.US,D,20200908,000000,8.47,8.55,8.45,8.51,18220,0
HUIZ.US,D,20200909,000000,8.5165,8.5535,8.3665,8.49,10044,0
HUIZ.US,D,20200910,000000,8.5,8.57,8.49,8.57,27398,0
HUIZ.US,D,20200911,000000,8.52,8.65,8.52,8.59,10671,0
HUIZ.US,D,20200914,000000,8.65,8.7,8.42,8.58,5588,0
HUIZ.US,D,20200915,000000,8.72,8.72,8.535,8.6,9974,0
HUIZ.US,D,20200916,000000,8.65,8.7,8.65,8.66,11898,0
HUIZ.US,D,20200917,000000,8.65,8.7,8.65,8.7,943,0
HUIZ.US,D,20200918,000000,7.93,8.53,7.93,8.52,1504,0
HUIZ.US,D,20200921,000000,8.34,8.39,8.25,8.3616,4836,0
HUIZ.US,D,20200922,000000,8.4965,8.5,8.3,8.34,5755,0
HUIZ.US,D,20200923,000000,7.5,8.28,7.5,8.12,3256,0
HUIZ.US,D,20200924,000000,7.76,7.93,7.63,7.93,682,0
HUIZ.US,D,20200925,000000,7.6101,8.1935,7.6101,8.1463,3528,0
HUIZ.US,D,20200928,000000,7.8835,8.1173,7.78,8.1173,10936,0
HUIZ.US,D,20200929,000000,8,8,8,8,437,0
HUIZ.US,D,20200930,000000,8.14,8.2,8.1,8.14,63941,0
HUIZ.US,D,20201005,000000,8.83,9.12,7.93,7.93,14326,0
HUIZ.US,D,20201006,000000,7.93,7.93,7.93,7.93,654,0
HUIZ.US,D,20201008,000000,8.035,8.035,8.035,8.035,413,0
HUIZ.US,D,20201009,000000,7.88,7.88,7.88,7.88,1259,0
HUIZ.US,D,20201013,000000,7.92,7.92,7.8,7.8,398,0
HUIZ.US,D,20201014,000000,8,8,7.455,7.795,1404751,0
HUIZ.US,D,20201015,000000,7.9231,7.9231,7.71,7.71,1656,0
HUIZ.US,D,20201016,000000,7.73,7.73,7.5,7.6492,865,0
HUIZ.US,D,20201021,000000,7.6612,8.1,7.31,7.33,3219,0
HUIZ.US,D,20201022,000000,7.37,7.37,7.37,7.37,441,0
HUIZ.US,D,20201023,000000,7.6119,7.65,6.52,7.57,7606,0
HUIZ.US,D,20201026,000000,7.3585,7.55,7.26,7.39,1970,0
HUIZ.US,D,20201027,000000,7.5,7.8864,7.5,7.7,17050,0
HUIZ.US,D,20201028,000000,7.69,7.865,7.6,7.65,10992,0
HUIZ.US,D,20201029,000000,7.6,7.6,6.92,7.19,11096,0
HUIZ.US,D,20201030,000000,7,7.05,7,7,1372,0
HUIZ.US,D,20201102,000000,7.495,7.5,7.45,7.45,1296,0
HUIZ.US,D,20201103,000000,7.29,7.29,7.28,7.28,817,0
HUIZ.US,D,20201104,000000,7.7865,7.7865,7.65,7.65,1186,0
HUIZ.US,D,20201105,000000,7.415,7.415,7.39,7.39,1332,0
HUIZ.US,D,20201106,000000,7.3435,7.5,7.34,7.5,1744,0
HUIZ.US,D,20201109,000000,7.4896,7.49,7.22,7.22,3211,0
HUIZ.US,D,20201110,000000,7.1554,7.68,7.11,7.68,1687,0
HUIZ.US,D,20201111,000000,7.545,7.545,7.545,7.545,305,0
HUIZ.US,D,20201112,000000,7.37,7.37,7.37,7.37,409,0
HUIZ.US,D,20201113,000000,7.4,7.4,7.39,7.39,777,0
HUIZ.US,D,20201116,000000,7.39,7.39,7.39,7.39,462,0
HUIZ.US,D,20201117,000000,7.93,7.93,7.39,7.39,14477,0
HUIZ.US,D,20201118,000000,7.35,7.995,7.33,7.7,24134,0
HUIZ.US,D,20201119,000000,7.7,7.7,7.35,7.6,22926,0
HUIZ.US,D,20201120,000000,7.39,7.5,7.083,7.35,27667,0
HUIZ.US,D,20201123,000000,7.3,7.5,7.1001,7.36,30915,0
HUIZ.US,D,20201124,000000,7.23,7.485,7.15,7.48,33442,0
HUIZ.US,D,20201125,000000,7.22,7.66,7.22,7.66,31193,0
HUIZ.US,D,20201127,000000,7.51,8.21,7.2304,8.11,71739,0
HUIZ.US,D,20201130,000000,8.05,8.05,7.34,7.34,34775,0
HUIZ.US,D,20201201,000000,7.4,7.63,7.25,7.46,37007,0
HUIZ.US,D,20201202,000000,7.25,7.5,7.25,7.31,31694,0
HUIZ.US,D,20201203,000000,7.3609,7.56,7.3,7.3,44379,0
HUIZ.US,D,20201204,000000,7.86,7.926,7.32,7.58,37541,0
HUIZ.US,D,20201207,000000,7.39,7.48,7.2496,7.48,19967,0
HUIZ.US,D,20201208,000000,7.56,7.56,7,7.19,32488,0
HUIZ.US,D,20201209,000000,7.31,7.31,7.03,7.28,34048,0
HUIZ.US,D,20201210,000000,7.23,7.23,6.96,7.19,54336,0
HUIZ.US,D,20201211,000000,7.2,7.2,6.98,7.155,31575,0
HUIZ.US,D,20201214,000000,7.1,7.35,6.89,7.25,33932,0
HUIZ.US,D,20201215,000000,7.02,7.47,7,7.26,35816,0
HUIZ.US,D,20201216,000000,7.17,7.4,7.12,7.4,40504,0
HUIZ.US,D,20201217,000000,7.4001,7.58,7.25,7.32,48633,0
HUIZ.US,D,20201218,000000,7.64,7.64,6.95,7.13,130342,0
HUIZ.US,D,20201221,000000,7.13,7.16,7,7.07,66559,0
HUIZ.US,D,20201222,000000,7.08,7.15,6.96,7.05,16195,0
HUIZ.US,D,20201223,000000,7.05,7.05,6.9,6.95,32176,0
HUIZ.US,D,20201224,000000,6.89,7.145,6.86,7.145,19889,0
HUIZ.US,D,20201228,000000,7.02,7.03,6.96,6.96,36688,0
HUIZ.US,D,20201229,000000,6.94,7.1525,6.92,7.1525,44429,0
HUIZ.US,D,20201230,000000,7.07,7.32,7,7,47814,0
HUIZ.US,D,20201231,000000,6.93,7.45,6.93,7,38516,0
HUIZ.US,D,20210104,000000,6.96,7.025,6.82,6.95,17319,0
HUIZ.US,D,20210105,000000,6.94,6.9458,6.65,6.65,32472,0
HUIZ.US,D,20210106,000000,6.72,6.93,6.68,6.78,46710,0
HUIZ.US,D,20210107,000000,6.85,7.07,6.8001,6.81,48140,0
HUIZ.US,D,20210108,000000,6.84,7.05,6.84,6.98,21466,0
HUIZ.US,D,20210111,000000,6.85,6.995,6.77,6.91,37449,0
