<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INDIW.US,D,20210614,000000,2.45,2.5999,2.15,2.21,228833,0
INDIW.US,D,20210615,000000,1.96,2.11,1.81,2.04,497513,0
INDIW.US,D,20210616,000000,2.01,2.0399,1.89,2,122529,0
INDIW.US,D,20210617,000000,2,2.07,1.97,1.97,289012,0
INDIW.US,D,20210618,000000,2,2.0599,1.95,2,65917,0
INDIW.US,D,20210621,000000,2.025,2.03,1.81,1.9,138637,0
INDIW.US,D,20210622,000000,1.86,1.9,1.815,1.85,113953,0
INDIW.US,D,20210623,000000,1.91,2.05,1.9,1.94,80005,0
INDIW.US,D,20210624,000000,2,2.18,1.96,2.16,231437,0
INDIW.US,D,20210625,000000,2.15,2.2501,2.06,2.21,195612,0
INDIW.US,D,20210628,000000,2.21,2.49,2.1,2.27,209906,0
INDIW.US,D,20210629,000000,2.45,2.5163,2.17,2.25,266965,0
INDIW.US,D,20210630,000000,2.16,2.29,2.06,2.11,135603,0
INDIW.US,D,20210701,000000,2.08,2.2782,2.08,2.19,75718,0
INDIW.US,D,20210702,000000,2.165,2.2,2.06,2.15,116329,0
INDIW.US,D,20210706,000000,2.1399,2.1399,1.88,1.99,170353,0
INDIW.US,D,20210707,000000,2.055,2.055,1.77,1.83,132982,0
INDIW.US,D,20210708,000000,1.75,1.91,1.75,1.82,139250,0
INDIW.US,D,20210709,000000,1.91,2.13,1.862,2.05,222319,0
INDIW.US,D,20210712,000000,2.05,2.25,2.05,2.21,379060,0
INDIW.US,D,20210713,000000,2.21,2.21,2.06,2.15,202529,0
INDIW.US,D,20210714,000000,2.06,2.26,2.01,2.17,259540,0
INDIW.US,D,20210715,000000,2.02,2.25,2.01,2.205,68041,0
INDIW.US,D,20210716,000000,2.1701,2.34,2.08,2.14,122429,0
INDIW.US,D,20210719,000000,1.99,2.12,1.89,1.9099,116908,0
INDIW.US,D,20210720,000000,1.89,2.11,1.88,2.06,88161,0
INDIW.US,D,20210721,000000,2.17,2.17,1.97,2.06,52962,0
INDIW.US,D,20210722,000000,2.15,2.15,1.96,2.0001,60713,0
INDIW.US,D,20210723,000000,2.02,2.09,1.96,2.03,44010,0
INDIW.US,D,20210726,000000,2.0425,2.06,1.87,1.9006,134059,0
INDIW.US,D,20210727,000000,1.91,1.97,1.85,1.855,48840,0
INDIW.US,D,20210728,000000,1.95,1.95,1.82,1.88,77088,0
INDIW.US,D,20210729,000000,1.87,1.9399,1.83,1.8661,46537,0
INDIW.US,D,20210730,000000,1.9,1.9,1.78,1.82,87065,0
INDIW.US,D,20210802,000000,1.78,1.86,1.78,1.81,49400,0
INDIW.US,D,20210803,000000,1.8,1.85,1.78,1.79,49975,0
INDIW.US,D,20210804,000000,1.786,1.97,1.78,1.96,117101,0
INDIW.US,D,20210805,000000,2.03,2.12,1.95,2.09,73033,0
INDIW.US,D,20210806,000000,2.1,2.47,1.98,2.47,277933,0
INDIW.US,D,20210809,000000,2.4,2.68,2.25,2.55,305627,0
INDIW.US,D,20210810,000000,2.59,2.59,2.02,2.45,344909,0
INDIW.US,D,20210811,000000,2.2,2.28,2,2.2501,256971,0
INDIW.US,D,20210812,000000,2.2,2.23,2.09,2.1,61673,0
INDIW.US,D,20210813,000000,2.0601,2.08,2,2.04,47305,0
INDIW.US,D,20210816,000000,2,2.11,1.9,1.9201,44133,0
INDIW.US,D,20210817,000000,1.85,1.91,1.77,1.82,174634,0
INDIW.US,D,20210818,000000,1.84,1.94,1.82,1.9,57688,0
INDIW.US,D,20210819,000000,1.9,1.91,1.77,1.85,266378,0
INDIW.US,D,20210820,000000,1.8,1.82,1.76,1.78,294154,0
INDIW.US,D,20210823,000000,1.8,1.96,1.8,1.94,66801,0
INDIW.US,D,20210824,000000,2.1,2.34,2.0101,2.32,312338,0
INDIW.US,D,20210825,000000,2.33,2.33,2.14,2.21,80985,0
INDIW.US,D,20210826,000000,2.18,2.36,2.18,2.3402,93650,0
INDIW.US,D,20210827,000000,2.22,2.5089,2.22,2.44,126719,0
INDIW.US,D,20210830,000000,2.35,2.42,2.2,2.34,54740,0
INDIW.US,D,20210831,000000,2.24,2.48,2.235,2.48,20402,0
INDIW.US,D,20210901,000000,2.48,2.6,2.41,2.54,168173,0
INDIW.US,D,20210902,000000,2.6,2.66,2.49,2.6,96747,0
INDIW.US,D,20210903,000000,2.65,2.725,2.61,2.63,92611,0
INDIW.US,D,20210907,000000,2.65,2.92,2.65,2.88,228324,0
INDIW.US,D,20210908,000000,2.8,2.83,2.55,2.81,70823,0
INDIW.US,D,20210909,000000,2.7,2.91,2.6901,2.75,50826,0
INDIW.US,D,20210910,000000,2.82,3,2.8,2.86,119558,0
INDIW.US,D,20210913,000000,2.95,2.95,2.77,2.84,112334,0
INDIW.US,D,20210914,000000,2.8001,2.9,2.8,2.85,101512,0
INDIW.US,D,20210915,000000,2.8,2.8311,2.5701,2.65,114689,0
INDIW.US,D,20210916,000000,2.49,2.75,2.38,2.7,135765,0
INDIW.US,D,20210917,000000,2.6,2.71,2.6,2.64,39995,0
INDIW.US,D,20210920,000000,2.58,2.58,2.39,2.48,155463,0
INDIW.US,D,20210921,000000,2.7,3.25,2.7,3.01,604490,0
INDIW.US,D,20210922,000000,3.07,3.09,2.91,2.98,114487,0
INDIW.US,D,20210923,000000,2.96,3.08,2.87,3.03,96079,0
INDIW.US,D,20210924,000000,3.0501,3.2302,3.0501,3.15,99379,0
INDIW.US,D,20210927,000000,3.16,3.35,3.15,3.27,115562,0
INDIW.US,D,20210928,000000,3.28,3.28,3.03,3.2,86833,0
INDIW.US,D,20210929,000000,3.23,3.33,2.72,2.99,159208,0
INDIW.US,D,20210930,000000,3.04,3.74,2.99,3.54,398056,0
INDIW.US,D,20211001,000000,3.69,3.7,3.46,3.68,251465,0
