<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMAQ.US,D,20210819,000000,9.655,9.67,9.655,9.66,7003,0
IMAQ.US,D,20210820,000000,9.67,9.72,9.66,9.72,44715,0
IMAQ.US,D,20210823,000000,9.69,9.83,9.67,9.67,538,0
IMAQ.US,D,20210825,000000,9.81,9.81,9.68,9.69,221520,0
IMAQ.US,D,20210826,000000,9.7,9.7,9.68,9.69,184930,0
IMAQ.US,D,20210827,000000,9.69,9.81,9.68,9.72,483300,0
IMAQ.US,D,20210830,000000,9.7,9.75,9.69,9.7,277000,0
IMAQ.US,D,20210831,000000,9.745,9.75,9.69,9.69,40457,0
IMAQ.US,D,20210901,000000,9.75,9.75,9.7,9.73,257978,0
IMAQ.US,D,20210902,000000,9.75,9.81,9.72,9.72,195192,0
IMAQ.US,D,20210903,000000,9.75,9.81,9.71,9.74,218184,0
IMAQ.US,D,20210907,000000,9.73,9.765,9.72,9.74,220021,0
IMAQ.US,D,20210908,000000,9.74,9.74,9.74,9.74,431418,0
IMAQ.US,D,20210909,000000,9.75,9.78,9.74,9.74,358605,0
IMAQ.US,D,20210910,000000,9.74,9.77,9.73,9.75,194500,0
IMAQ.US,D,20210913,000000,10,10,9.79,9.84,545152,0
IMAQ.US,D,20210914,000000,9.94,9.95,9.81,9.85,1762544,0
IMAQ.US,D,20210915,000000,9.85,9.9,9.8,9.85,1182159,0
IMAQ.US,D,20210916,000000,9.83,9.9,9.83,9.85,629523,0
IMAQ.US,D,20210917,000000,9.9,9.9,9.84,9.85,278479,0
IMAQ.US,D,20210920,000000,9.87,9.91,9.82,9.84,183191,0
IMAQ.US,D,20210921,000000,9.83,9.84,9.78,9.81,89679,0
IMAQ.US,D,20210922,000000,9.85,9.85,9.7811,9.83,104402,0
IMAQ.US,D,20210923,000000,9.83,9.83,9.78,9.82,127004,0
IMAQ.US,D,20210924,000000,9.86,9.86,9.77,9.81,58782,0
IMAQ.US,D,20210927,000000,9.91,9.91,9.83,9.85,149490,0
IMAQ.US,D,20210928,000000,9.89,9.89,9.78,9.83,84451,0
IMAQ.US,D,20210929,000000,9.88,9.88,9.8,9.85,52133,0
IMAQ.US,D,20210930,000000,9.87,9.87,9.79,9.8,67170,0
IMAQ.US,D,20211001,000000,9.8,9.85,9.79,9.79,19518,0
IMAQ.US,D,20211004,000000,9.85,9.92,9.8,9.88,243267,0
IMAQ.US,D,20211005,000000,9.88,9.88,9.82,9.85,84774,0
IMAQ.US,D,20211006,000000,9.85,9.85,9.8,9.815,84643,0
IMAQ.US,D,20211007,000000,9.82,9.9066,9.8,9.85,67373,0
IMAQ.US,D,20211008,000000,9.9,9.94,9.81,9.85,83954,0
IMAQ.US,D,20211011,000000,9.94,9.94,9.81,9.85,58652,0
IMAQ.US,D,20211012,000000,9.86,9.87,9.82,9.86,65631,0
IMAQ.US,D,20211013,000000,9.86,9.86,9.82,9.83,43652,0
IMAQ.US,D,20211014,000000,9.82,9.83,9.8,9.83,37975,0
IMAQ.US,D,20211015,000000,9.81,9.8317,9.8,9.81,40480,0
IMAQ.US,D,20211018,000000,9.81,9.83,9.79,9.83,456057,0
IMAQ.US,D,20211019,000000,9.8,9.82,9.8,9.82,537732,0
IMAQ.US,D,20211020,000000,9.78,9.81,9.78,9.81,27597,0
IMAQ.US,D,20211021,000000,9.79,9.8243,9.79,9.81,55515,0
IMAQ.US,D,20211022,000000,9.78,9.84,9.78,9.83,137415,0
IMAQ.US,D,20211025,000000,9.8,9.86,9.8,9.83,377556,0
IMAQ.US,D,20211026,000000,9.82,9.845,9.81,9.83,72071,0
IMAQ.US,D,20211027,000000,9.81,9.84,9.81,9.82,31194,0
