<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QMCO.US,D,20200204,000000,6.73,6.73,6.5,6.6,301287,0
QMCO.US,D,20200205,000000,6.66,6.7,6.5,6.58,87460,0
QMCO.US,D,20200206,000000,6.5,6.67,6.5,6.545,107788,0
QMCO.US,D,20200207,000000,6.49,6.59,6.39,6.52,137663,0
QMCO.US,D,20200210,000000,6.5,6.58,6.31,6.53,150372,0
QMCO.US,D,20200211,000000,6.54,6.56,6.25,6.43,267167,0
QMCO.US,D,20200212,000000,6.45,6.48,6.14,6.24,244786,0
QMCO.US,D,20200213,000000,6.19,6.275,5.99,5.99,153840,0
QMCO.US,D,20200214,000000,5.95,6.05,5.77,5.84,133021,0
QMCO.US,D,20200218,000000,5.8,5.8,5.56,5.57,230002,0
QMCO.US,D,20200219,000000,5.55,5.57,5.28,5.32,260498,0
QMCO.US,D,20200220,000000,5.28,5.85,5.25,5.72,197000,0
QMCO.US,D,20200221,000000,5.69,5.75,5.55,5.56,224076,0
QMCO.US,D,20200224,000000,5.56,5.56,5.2,5.29,144345,0
QMCO.US,D,20200225,000000,5.27,5.3986,5.09,5.1,126032,0
QMCO.US,D,20200226,000000,5.06,5.29,4.795,5.01,400175,0
QMCO.US,D,20200227,000000,4.99,5.5,4.85,5.32,244310,0
QMCO.US,D,20200228,000000,5.24,5.43,5.01,5.21,178275,0
QMCO.US,D,20200302,000000,5.11,5.45,5.04,5.25,229139,0
QMCO.US,D,20200303,000000,5.295,5.4,5.16,5.3,100590,0
QMCO.US,D,20200304,000000,5.5,5.5,5.1,5.31,111569,0
QMCO.US,D,20200305,000000,5.17,5.41,4.85,4.86,130887,0
QMCO.US,D,20200306,000000,4.89,5.13,4.52,4.78,138097,0
QMCO.US,D,20200309,000000,4.27,4.4,3.85,4.03,568984,0
QMCO.US,D,20200310,000000,4.13,4.29,3.56,3.75,858321,0
QMCO.US,D,20200311,000000,3.61,3.626,3.1,3.41,1385207,0
QMCO.US,D,20200312,000000,3.07,3.15,2.66,2.68,629478,0
QMCO.US,D,20200313,000000,2.81,3.26,2.4,3.15,834247,0
QMCO.US,D,20200316,000000,2.49,2.85,2.18,2.25,1268971,0
QMCO.US,D,20200317,000000,2.32,2.44,2.11,2.22,428770,0
QMCO.US,D,20200318,000000,2.11,2.164,1.26,1.48,748772,0
QMCO.US,D,20200319,000000,1.53,2.7935,1.51,2,594021,0
