<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SILK.US,D,20190404,000000,33.15,39.505,32.73,36.18,5906640,0
SILK.US,D,20190405,000000,35.65,36.89,34.62,35.8,698604,0
SILK.US,D,20190408,000000,35.1,36.21,34.1,34.99,376441,0
SILK.US,D,20190409,000000,35,37.68,34.79,37,532014,0
SILK.US,D,20190410,000000,37,38,36.38,37.04,256767,0
SILK.US,D,20190411,000000,37.12,37.5,33.08,36.66,675450,0
SILK.US,D,20190412,000000,36.24,37.1,34.545,35.49,182097,0
SILK.US,D,20190415,000000,35.48,35.6,34,34.16,102578,0
SILK.US,D,20190416,000000,34.94,34.94,32.5,33.5,210806,0
SILK.US,D,20190417,000000,33.57,33.57,30.87,32.5,307223,0
SILK.US,D,20190418,000000,33.49,34.92,32.24,33.99,192837,0
SILK.US,D,20190422,000000,34,35,33.93,35,107600,0
SILK.US,D,20190423,000000,34.98,35.9,34.5,35.45,77277,0
SILK.US,D,20190424,000000,35.52,36.77,35,36.08,93881,0
SILK.US,D,20190425,000000,35.87,37.87,35.71,37.8,137625,0
SILK.US,D,20190426,000000,38.15,40.61,37.53,40.01,288837,0
SILK.US,D,20190429,000000,40,40.34,38.03,39.93,274720,0
SILK.US,D,20190430,000000,39.9,41.82,38.1408,41.64,228821,0
SILK.US,D,20190501,000000,41.72,42.93,40.2577,40.69,158502,0
SILK.US,D,20190502,000000,40.5,41.19,38.51,39.09,85282,0
SILK.US,D,20190503,000000,39.1,39.65,37.7,38.11,189697,0
SILK.US,D,20190506,000000,38,40.82,37.59,39.45,200211,0
SILK.US,D,20190507,000000,39.32,40.53,38.99,40.1,129168,0
SILK.US,D,20190508,000000,40.12,41.56,39.05,41,134369,0
SILK.US,D,20190509,000000,40.53,40.99,39,40.83,198169,0
SILK.US,D,20190510,000000,40.52,45.53,40.178,44.72,295427,0
SILK.US,D,20190513,000000,44.5,47.09,43,46.32,282206,0
SILK.US,D,20190514,000000,46.61,47.97,46.105,46.67,143520,0
SILK.US,D,20190515,000000,47.06,48.96,47,48,213263,0
SILK.US,D,20190516,000000,47.7,48.93,45,47.84,242873,0
SILK.US,D,20190517,000000,47.49,48.0929,46.03,46.63,62075,0
SILK.US,D,20190520,000000,46.99,47.125,43.37,46.54,143017,0
SILK.US,D,20190521,000000,46.79,48.8271,45.8005,48.51,142459,0
SILK.US,D,20190522,000000,48.26,49.55,48.19,48.53,100761,0
SILK.US,D,20190523,000000,48.44,48.44,45.01,45.22,123691,0
SILK.US,D,20190524,000000,45.6,46.49,44.55,45.06,104206,0
SILK.US,D,20190528,000000,45.91,47.4019,44.47,44.85,129670,0
SILK.US,D,20190529,000000,44.62,45.56,44.27,45.36,96225,0
SILK.US,D,20190530,000000,46.33,47.3184,44.56,45.6,74574,0
SILK.US,D,20190531,000000,45.16,45.2,42.1,42.66,143197,0
SILK.US,D,20190603,000000,42.43,43.29,40.8,42.47,167012,0
SILK.US,D,20190604,000000,42.9,43.16,41.0035,42.93,192131,0
SILK.US,D,20190605,000000,43.32,46.5,43.2,46.15,216526,0
SILK.US,D,20190606,000000,46.28,46.69,43.9325,44.74,138515,0
SILK.US,D,20190607,000000,44.85,45.5099,44.0811,44.55,151422,0
SILK.US,D,20190610,000000,45.49,51.5,45.49,49.01,405060,0
SILK.US,D,20190611,000000,50.01,50.55,44.17,46.01,505734,0
SILK.US,D,20190612,000000,46,46.9592,44.13,45.15,258825,0
SILK.US,D,20190613,000000,45.54,47.1035,45.03,45.61,387164,0
SILK.US,D,20190614,000000,45.43,47.0822,42.39,44.99,243509,0
SILK.US,D,20190617,000000,45.24,48.92,44.8267,48.17,251919,0
SILK.US,D,20190618,000000,49.91,50,46.57,48.31,351662,0
SILK.US,D,20190619,000000,48.13,50,47.5,49.12,326067,0
SILK.US,D,20190620,000000,49.12,50.0186,47.87,48.65,290111,0
SILK.US,D,20190621,000000,48.63,49.28,46.915,47.35,408672,0
SILK.US,D,20190624,000000,48.06,48.995,45.97,47.15,206707,0
SILK.US,D,20190625,000000,47.25,47.41,44.76,45.7,308472,0
SILK.US,D,20190626,000000,45.79,46.535,45.32,45.8,106788,0
SILK.US,D,20190627,000000,45.93,46.94,45.93,46.51,234861,0
SILK.US,D,20190628,000000,46.7,48.66,46.49,48.46,1133496,0
SILK.US,D,20190701,000000,48.96,49.89,46.775,46.94,321156,0
