<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LILM.US,D,20201125,000000,10.84,10.95,10.55,10.65,564537,0
LILM.US,D,20201127,000000,11.2,11.4,10.8,11,881425,0
LILM.US,D,20201130,000000,11.59,12,10.7,11.31,2235078,0
LILM.US,D,20201201,000000,11.3,11.35,10.8,11,747618,0
LILM.US,D,20201202,000000,10.55,11.02,10.55,10.97,768896,0
LILM.US,D,20201203,000000,10.91,11.05,10.81,10.89,524740,0
LILM.US,D,20201204,000000,10.79,11.18,10.69,11.08,1260525,0
LILM.US,D,20201207,000000,11.48,11.63,11.11,11.52,1576429,0
LILM.US,D,20201208,000000,11.63,11.8,11.15,11.2,1102707,0
LILM.US,D,20201209,000000,11.25,12.02,11.2,11.47,2058849,0
LILM.US,D,20201210,000000,11.6,11.75,11.3,11.4,893222,0
LILM.US,D,20201211,000000,12.7,14,11.91,12.93,4941343,0
LILM.US,D,20201214,000000,13.44,13.68,12.4,12.62,2181928,0
LILM.US,D,20201215,000000,12.3255,12.3255,11.46,11.8,2140440,0
LILM.US,D,20201216,000000,11.78,12.0495,11.54,11.95,1100071,0
LILM.US,D,20201217,000000,11.8,12.15,11.75,11.92,581392,0
LILM.US,D,20201218,000000,11.8,12.5415,11.8,12.23,789940,0
LILM.US,D,20201221,000000,12.2,12.45,11.87,12.45,894967,0
LILM.US,D,20201222,000000,12.7,12.81,12.3,12.48,1072825,0
LILM.US,D,20201223,000000,12.5,12.89,12.5,12.88,1326358,0
LILM.US,D,20201224,000000,12.99,13.69,12.9,13.15,1357581,0
LILM.US,D,20201228,000000,13.5,13.82,12.85,13.05,1656023,0
LILM.US,D,20201229,000000,12.54,12.8386,11.9,12.38,1238837,0
LILM.US,D,20201230,000000,12.5,12.7,12.3185,12.42,540962,0
LILM.US,D,20201231,000000,12.31,12.3722,11.97,12.29,933133,0
LILM.US,D,20210104,000000,12.6699,12.75,12.19,12.49,1334534,0
LILM.US,D,20210105,000000,12.04,12.8773,12.04,12.77,908511,0
LILM.US,D,20210106,000000,12.5,12.7216,12.3,12.5,1169341,0
LILM.US,D,20210107,000000,12.48,12.75,12.21,12.69,737177,0
LILM.US,D,20210108,000000,12.34,12.68,12.32,12.66,2052426,0
LILM.US,D,20210111,000000,12.45,12.53,12.1,12.3,1225770,0
LILM.US,D,20210112,000000,11.36,12.2,11.33,12.19,4517753,0
LILM.US,D,20210113,000000,11.77,13.9,11.7,13.1,5407784,0
LILM.US,D,20210114,000000,13,13.81,12.75,13.81,1630417,0
LILM.US,D,20210115,000000,13.65,13.96,12.93,13.36,1067988,0
LILM.US,D,20210119,000000,13.35,15.07,12.9802,14.19,3159114,0
LILM.US,D,20210120,000000,14.19,14.21,13.66,13.83,1032143,0
LILM.US,D,20210121,000000,13.8,14.4,13.5,14.35,787401,0
LILM.US,D,20210122,000000,14.25,14.34,13.565,14.27,1183649,0
LILM.US,D,20210125,000000,14.44,14.475,13.3,13.66,1043335,0
LILM.US,D,20210126,000000,13.5,14.1,13.1541,13.64,1052096,0
LILM.US,D,20210127,000000,13.01,13.095,12.14,12.25,1886654,0
LILM.US,D,20210128,000000,12.4,12.88,12.06,12.73,1440016,0
LILM.US,D,20210129,000000,12.42,12.73,11.89,12.66,1633333,0
LILM.US,D,20210201,000000,12.87,13.25,12.5,13.25,1125264,0
LILM.US,D,20210202,000000,13.3,14.8,12.94,14.15,1206753,0
LILM.US,D,20210203,000000,13.5,14,13.28,13.43,634181,0
LILM.US,D,20210204,000000,13.35,13.6,13.07,13.17,622517,0
LILM.US,D,20210205,000000,13.5,14.14,13.03,13.97,1490634,0
LILM.US,D,20210208,000000,14.1,15.53,14.01,14.27,1573223,0
LILM.US,D,20210209,000000,14.15,14.15,13.5835,13.79,560454,0
LILM.US,D,20210210,000000,13.71,13.77,13.21,13.61,626944,0
LILM.US,D,20210211,000000,13.65,13.79,13.04,13.62,574557,0
LILM.US,D,20210212,000000,13.72,13.76,13.27,13.41,630194,0
LILM.US,D,20210216,000000,13.84,14.09,13.06,13.2,993135,0
LILM.US,D,20210217,000000,13.4,13.64,12.94,13.49,738074,0
LILM.US,D,20210218,000000,13.2,13.53,12.82,13.07,855978,0
LILM.US,D,20210219,000000,13.26,13.8,13.15,13.69,1042665,0
LILM.US,D,20210222,000000,13.52,13.71,13.16,13.28,959961,0
LILM.US,D,20210223,000000,12.55,12.55,11.72,12.11,1726088,0
LILM.US,D,20210224,000000,12.11,12.48,11.86,11.99,972341,0
LILM.US,D,20210225,000000,11.95,12.27,11.37,11.6,2168128,0
LILM.US,D,20210226,000000,11.6,12,11.18,11.92,2148040,0
LILM.US,D,20210301,000000,12,12.2987,11.76,11.83,691949,0
LILM.US,D,20210302,000000,11.76,11.83,11.27,11.36,847263,0
LILM.US,D,20210303,000000,11.2,11.75,10.49,10.75,6111913,0
LILM.US,D,20210304,000000,10.5535,10.62,10.09,10.58,4357114,0
LILM.US,D,20210305,000000,10.64,10.64,10.085,10.57,2203200,0
LILM.US,D,20210308,000000,10.6,10.66,10.24,10.38,958534,0
LILM.US,D,20210309,000000,10.48,10.56,10.31,10.39,1019534,0
LILM.US,D,20210310,000000,10.47,10.5418,10.32,10.36,929546,0
LILM.US,D,20210311,000000,10.4,10.67,10.34,10.59,1559490,0
LILM.US,D,20210312,000000,10.48,10.64,10.38,10.51,593872,0
LILM.US,D,20210315,000000,10.67,10.69,10.41,10.42,634958,0
LILM.US,D,20210316,000000,10.49,10.56,10.32,10.33,664991,0
LILM.US,D,20210317,000000,10.36,10.47,10.28,10.4,358224,0
LILM.US,D,20210318,000000,10.32,10.37,10.16,10.21,546151,0
LILM.US,D,20210319,000000,10.28,10.295,10.14,10.21,434466,0
LILM.US,D,20210322,000000,10.2,10.25,10.14,10.18,407633,0
LILM.US,D,20210323,000000,10.16,10.23,10.03,10.06,762140,0
LILM.US,D,20210324,000000,10.07,10.12,9.92,9.99,885377,0
LILM.US,D,20210325,000000,9.8,9.99,9.76,9.97,953243,0
LILM.US,D,20210326,000000,9.97,10.05,9.85,9.98,600104,0
LILM.US,D,20210329,000000,9.97,10.03,9.89,9.92,355380,0
LILM.US,D,20210330,000000,10.23,10.23,10.095,10.14,8245908,0
LILM.US,D,20210331,000000,10.27,10.32,10.1,10.18,2148617,0
LILM.US,D,20210401,000000,10.27,10.29,10.16,10.19,1320720,0
LILM.US,D,20210405,000000,10.3,10.3,10.19,10.19,1270418,0
LILM.US,D,20210406,000000,10.24,10.25,10.19,10.2,715821,0
LILM.US,D,20210407,000000,10.25,10.25,10.14,10.16,1101939,0
LILM.US,D,20210408,000000,10.15,10.18,10.1,10.15,540975,0
LILM.US,D,20210409,000000,10.15,10.17,10.14,10.15,394145,0
LILM.US,D,20210412,000000,10.13,10.17,10.13,10.15,765634,0
LILM.US,D,20210413,000000,10.1,10.15,10.06,10.1,524577,0
LILM.US,D,20210414,000000,10.05,10.1,10.05,10.08,450697,0
LILM.US,D,20210415,000000,10.07,10.09,9.98,10,1545948,0
LILM.US,D,20210416,000000,10,10.01,9.94,10.01,1449669,0
LILM.US,D,20210419,000000,9.965,9.97,9.84,9.87,3115573,0
LILM.US,D,20210420,000000,9.9,9.93,9.9,9.92,1060672,0
LILM.US,D,20210421,000000,9.92,9.93,9.88,9.91,732259,0
LILM.US,D,20210422,000000,9.9,9.95,9.85,9.93,893263,0
LILM.US,D,20210423,000000,9.89,9.925,9.88,9.9,438860,0
LILM.US,D,20210426,000000,9.91,9.93,9.89,9.91,255750,0
LILM.US,D,20210427,000000,9.95,9.95,9.89,9.92,541165,0
LILM.US,D,20210428,000000,9.91,9.94,9.91,9.91,197161,0
LILM.US,D,20210429,000000,9.93,9.94,9.9,9.91,192352,0
LILM.US,D,20210430,000000,9.9,9.95,9.9,9.93,113172,0
LILM.US,D,20210503,000000,9.95,9.95,9.9,9.9,338164,0
LILM.US,D,20210504,000000,9.92,9.92,9.88,9.89,588052,0
LILM.US,D,20210505,000000,9.89,9.92,9.89,9.9,170005,0
LILM.US,D,20210506,000000,9.9,9.95,9.88,9.9,423976,0
LILM.US,D,20210507,000000,9.94,9.97,9.88,9.9,337947,0
LILM.US,D,20210510,000000,9.94,9.97,9.88,9.89,1604951,0
LILM.US,D,20210511,000000,9.8,9.9,9.7883,9.85,574002,0
LILM.US,D,20210512,000000,9.85,9.8801,9.85,9.865,335420,0
LILM.US,D,20210513,000000,9.85,9.89,9.83,9.87,379203,0
LILM.US,D,20210514,000000,9.88,9.89,9.85,9.87,889498,0
LILM.US,D,20210517,000000,9.84,9.88,9.83,9.86,325040,0
LILM.US,D,20210518,000000,9.86,9.91,9.855,9.87,252197,0
LILM.US,D,20210519,000000,9.85,9.88,9.84,9.86,323993,0
LILM.US,D,20210520,000000,9.85,9.9,9.85,9.875,120853,0
LILM.US,D,20210521,000000,9.9,9.91,9.88,9.9,183061,0
LILM.US,D,20210524,000000,9.9,9.9176,9.89,9.9,295307,0
LILM.US,D,20210525,000000,9.92,9.92,9.895,9.9,137499,0
LILM.US,D,20210526,000000,9.88,9.92,9.88,9.9,126698,0
LILM.US,D,20210527,000000,9.9,9.91,9.89,9.89,132963,0
LILM.US,D,20210528,000000,9.89,9.92,9.89,9.89,214786,0
LILM.US,D,20210601,000000,9.93,9.94,9.89,9.92,180020,0
LILM.US,D,20210602,000000,9.91,9.92,9.895,9.91,188180,0
LILM.US,D,20210603,000000,9.89,9.93,9.89,9.92,201265,0
LILM.US,D,20210604,000000,9.94,9.95,9.91,9.92,458390,0
LILM.US,D,20210607,000000,9.9,9.94,9.9,9.93,298389,0
LILM.US,D,20210608,000000,9.92,9.95,9.91,9.92,601654,0
LILM.US,D,20210609,000000,9.99,10.05,9.92,9.94,1012309,0
LILM.US,D,20210610,000000,9.95,9.99,9.94,9.95,340208,0
LILM.US,D,20210611,000000,9.97,10,9.91,9.93,318031,0
LILM.US,D,20210614,000000,9.97,9.98,9.95,9.97,278801,0
LILM.US,D,20210615,000000,10,10.01,9.9,9.92,357011,0
LILM.US,D,20210616,000000,9.97,9.98,9.91,9.93,184243,0
LILM.US,D,20210617,000000,9.96,9.98,9.93,9.96,121978,0
LILM.US,D,20210618,000000,9.96,9.98,9.92,9.94,189369,0
LILM.US,D,20210621,000000,9.94,9.98,9.92,9.93,268157,0
LILM.US,D,20210622,000000,9.97,9.97,9.92,9.93,183677,0
LILM.US,D,20210623,000000,9.95,9.98,9.93,9.93,108689,0
LILM.US,D,20210624,000000,9.97,9.98,9.92,9.95,309171,0
LILM.US,D,20210625,000000,9.95,9.97,9.93,9.94,121540,0
LILM.US,D,20210628,000000,9.95,9.96,9.93,9.95,118626,0
LILM.US,D,20210629,000000,9.95,9.96,9.94,9.95,476906,0
LILM.US,D,20210630,000000,9.95,9.96,9.94,9.95,281333,0
LILM.US,D,20210701,000000,9.96,9.96,9.94,9.96,355149,0
LILM.US,D,20210702,000000,9.94,9.97,9.94,9.96,136229,0
LILM.US,D,20210706,000000,9.97,9.98,9.94,9.98,346552,0
LILM.US,D,20210707,000000,9.98,9.98,9.94,9.95,197512,0
LILM.US,D,20210708,000000,9.94,9.95,9.92,9.94,316990,0
LILM.US,D,20210709,000000,9.94,9.95,9.93,9.95,120086,0
LILM.US,D,20210712,000000,9.95,9.95,9.94,9.95,85591,0
LILM.US,D,20210713,000000,9.94,9.96,9.94,9.945,708124,0
LILM.US,D,20210714,000000,9.93,9.96,9.92,9.95,410977,0
LILM.US,D,20210715,000000,9.92,9.95,9.92,9.94,147226,0
LILM.US,D,20210716,000000,9.92,10,9.92,9.97,388457,0
LILM.US,D,20210719,000000,9.96,9.9715,9.92,9.93,250248,0
LILM.US,D,20210720,000000,9.93,9.96,9.92,9.96,184819,0
LILM.US,D,20210721,000000,9.98,9.98,9.96,9.97,223866,0
LILM.US,D,20210722,000000,9.98,9.98,9.92,9.95,150640,0
LILM.US,D,20210723,000000,9.93,9.95,9.93,9.95,59364,0
LILM.US,D,20210726,000000,9.965,9.9699,9.94,9.96,197124,0
LILM.US,D,20210727,000000,9.94,9.95,9.91,9.94,2273216,0
LILM.US,D,20210728,000000,9.95,9.95,9.91,9.91,719317,0
LILM.US,D,20210729,000000,9.94,9.95,9.91,9.92,1020217,0
LILM.US,D,20210730,000000,9.94,9.94,9.91,9.92,427075,0
LILM.US,D,20210802,000000,9.96,9.97,9.92,9.95,302559,0
LILM.US,D,20210803,000000,9.97,9.97,9.94,9.945,339135,0
LILM.US,D,20210804,000000,9.93,9.97,9.92,9.95,534242,0
LILM.US,D,20210805,000000,9.96,9.9633,9.94,9.95,170119,0
LILM.US,D,20210806,000000,9.9584,9.98,9.95,9.95,288871,0
LILM.US,D,20210809,000000,9.935,9.98,9.935,9.94,549536,0
LILM.US,D,20210810,000000,9.97,9.97,9.95,9.96,192852,0
LILM.US,D,20210811,000000,9.96,9.98,9.96,9.98,369731,0
LILM.US,D,20210812,000000,9.98,9.98,9.96,9.97,227974,0
LILM.US,D,20210813,000000,9.97,9.98,9.96,9.97,107420,0
LILM.US,D,20210816,000000,9.97,9.97,9.96,9.96,285068,0
LILM.US,D,20210817,000000,9.95,9.97,9.95,9.97,353804,0
LILM.US,D,20210818,000000,9.96,9.97,9.95,9.95,158023,0
LILM.US,D,20210819,000000,9.95,9.965,9.95,9.95,317834,0
LILM.US,D,20210820,000000,9.94,9.97,9.94,9.96,288309,0
LILM.US,D,20210823,000000,9.96,9.98,9.95,9.97,638014,0
LILM.US,D,20210824,000000,9.96,9.98,9.95,9.97,227525,0
LILM.US,D,20210825,000000,9.98,9.98,9.96,9.96,133498,0
