<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PNT.US,D,20200708,000000,11.25,13.5,11.11,12.02,487500,0
PNT.US,D,20200709,000000,12.75,14,11.48,13.745,110000,0
PNT.US,D,20200710,000000,15.15,21.44,14,15.845,193600,0
PNT.US,D,20200713,000000,16.21,18,13,13.12,150500,0
PNT.US,D,20200714,000000,12.51,15.25,12.51,14.625,36424,0
PNT.US,D,20200715,000000,14,14.9,13.0839,14.35,23958,0
PNT.US,D,20200716,000000,14.21,15,13.03,13.575,45930,0
PNT.US,D,20200717,000000,14,14,13.45,13.5,7900,0
PNT.US,D,20200720,000000,13.52,14.19,13,13.61,17071,0
PNT.US,D,20200721,000000,14.1,14.4,13.12,14.3,32948,0
PNT.US,D,20200722,000000,14.4,14.65,14.05,14.4,8561,0
PNT.US,D,20200723,000000,14.84,15.3,14.4101,14.8665,14518,0
PNT.US,D,20200724,000000,15.175,15.175,14.325,14.7,13214,0
PNT.US,D,20200727,000000,14.5,14.78,14,14.78,9245,0
PNT.US,D,20200728,000000,14.6499,16.0383,14.45,14.9,11881,0
PNT.US,D,20200729,000000,14.9,15.2,14.03,14.03,8224,0
PNT.US,D,20200730,000000,14.29,15,14.0501,15,2841,0
PNT.US,D,20200731,000000,14.15,14.7,14.1,14.22,10496,0
PNT.US,D,20200803,000000,14.83,14.83,13.17,13.61,26422,0
PNT.US,D,20200804,000000,13.61,14.49,13.15,13.15,17863,0
PNT.US,D,20200805,000000,13.48,13.885,13,13.03,30015,0
PNT.US,D,20200806,000000,13,13.0965,12.21,12.96,20389,0
PNT.US,D,20200807,000000,13.5,13.5,12.15,12.75,8643,0
PNT.US,D,20200810,000000,11.48,12.5689,11.48,12.45,14018,0
PNT.US,D,20200811,000000,12.16,12.82,12.16,12.4,7987,0
PNT.US,D,20200812,000000,12.01,12.7199,12.01,12.5,17591,0
PNT.US,D,20200813,000000,12.3,12.62,12,12.5,18065,0
PNT.US,D,20200814,000000,12.125,14.06,12,14.06,20060,0
PNT.US,D,20200817,000000,14.67,14.67,13.545,13.7,18521,0
PNT.US,D,20200818,000000,13.01,13.59,13,13.59,4719,0
PNT.US,D,20200819,000000,13.48,13.955,13.0019,13.91,3466,0
PNT.US,D,20200820,000000,13.51,13.54,13.5,13.5,7119,0
PNT.US,D,20200821,000000,13.53,13.53,13.06,13.5,2623,0
PNT.US,D,20200824,000000,13.265,13.265,13,13,4319,0
PNT.US,D,20200825,000000,13.15,13.15,13,13.01,849,0
PNT.US,D,20200826,000000,13.2,13.753,13.01,13.1,25329,0
PNT.US,D,20200827,000000,13.325,13.55,12.89,13.15,2569,0
PNT.US,D,20200828,000000,13.585,14,13,13,6138,0
PNT.US,D,20200831,000000,12.9962,13.2,12.75,12.8955,18887,0
PNT.US,D,20200901,000000,12.77,13.65,12.77,13.05,5936,0
PNT.US,D,20200902,000000,13.3145,13.3145,12.65,12.79,20011,0
PNT.US,D,20200903,000000,12.99,13.45,12.96,12.96,20568,0
PNT.US,D,20200904,000000,13.21,13.22,12,12.75,12929,0
PNT.US,D,20200908,000000,12.35,13.005,12.35,13.005,2572,0
PNT.US,D,20200909,000000,12.82,13,12.75,12.75,6909,0
PNT.US,D,20200910,000000,12.96,13.161,12.96,13,2691,0
PNT.US,D,20200911,000000,13,13.2,12.92,13.1,3639,0
PNT.US,D,20200914,000000,13.25,13.25,12.74,12.75,3362,0
PNT.US,D,20200915,000000,13,13.1,13,13.1,8634,0
PNT.US,D,20200916,000000,13.0463,13.55,13.0463,13.55,3421,0
PNT.US,D,20200917,000000,13.025,13.25,12.81,12.81,6754,0
PNT.US,D,20200918,000000,13.51,16.3,13,14.9,135430,0
