<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PMCB.US,D,20210811,000000,3.15,3.18,2.68,2.86,1128789,0
PMCB.US,D,20210812,000000,2.89,2.95,2.25,2.28,782087,0
PMCB.US,D,20210813,000000,2.38,4.44,2.31,3.27,20339551,0
PMCB.US,D,20210816,000000,3.0035,3.41,2.75,2.96,2061477,0
PMCB.US,D,20210817,000000,2.99,3.5,2.7742,3.42,1142784,0
PMCB.US,D,20210818,000000,6.3,9.98,6.08,9.9,229471149,0
PMCB.US,D,20210819,000000,4.18,4.3,3.35,3.48,50806767,0
PMCB.US,D,20210820,000000,3.369,3.7677,3.21,3.48,10122334,0
PMCB.US,D,20210823,000000,3.66,3.79,3.5,3.66,6079368,0
PMCB.US,D,20210824,000000,3.81,3.81,3.44,3.56,5045002,0
PMCB.US,D,20210825,000000,3.7,3.76,3.45,3.52,6332311,0
PMCB.US,D,20210826,000000,3.47,3.49,3.29,3.34,3808833,0
PMCB.US,D,20210827,000000,3.29,3.67,3.17,3.49,4867868,0
PMCB.US,D,20210830,000000,3.4312,3.47,3.29,3.3,2110960,0
PMCB.US,D,20210831,000000,3.37,3.44,3.255,3.37,2244036,0
PMCB.US,D,20210901,000000,3.3029,3.455,3.27,3.45,2065363,0
PMCB.US,D,20210902,000000,3.4569,3.53,3.36,3.43,1852583,0
PMCB.US,D,20210903,000000,3.49,3.54,3.325,3.4,2152312,0
PMCB.US,D,20210907,000000,3.38,3.38,3.21,3.24,1622927,0
PMCB.US,D,20210908,000000,3.22,3.45,3.13,3.42,2415633,0
PMCB.US,D,20210909,000000,3.76,4.1,3.55,3.95,28063399,0
PMCB.US,D,20210910,000000,3.7739,3.8,3.4985,3.59,5613676,0
PMCB.US,D,20210913,000000,3.55,3.56,3.29,3.41,2505190,0
PMCB.US,D,20210914,000000,3.36,3.4099,3.24,3.27,1968044,0
PMCB.US,D,20210915,000000,3.22,3.5363,3.19,3.34,1716156,0
PMCB.US,D,20210916,000000,3.82,3.93,3.36,3.5,16715777,0
PMCB.US,D,20210917,000000,3.4365,3.6,3.32,3.6,2375423,0
PMCB.US,D,20210920,000000,3.41,3.44,3.24,3.28,1550679,0
PMCB.US,D,20210921,000000,3.4717,3.54,3.32,3.47,2730185,0
PMCB.US,D,20210922,000000,3.48,3.48,3.3,3.38,1380866,0
PMCB.US,D,20210923,000000,3.36,3.42,3.321,3.39,1407583,0
PMCB.US,D,20210924,000000,3.39,3.4,3.2801,3.3,1224498,0
PMCB.US,D,20210927,000000,3.3,3.4,3.26,3.3,933261,0
PMCB.US,D,20210928,000000,3.28,3.2903,3.15,3.22,1136837,0
PMCB.US,D,20210929,000000,3.2,3.24,3.005,3.02,2065817,0
PMCB.US,D,20210930,000000,3,3.1999,2.81,3.17,1828925,0
PMCB.US,D,20211001,000000,3.15,3.21,3.08,3.18,795696,0
PMCB.US,D,20211004,000000,3.14,3.16,3,3.05,830100,0
PMCB.US,D,20211005,000000,3.02,3.12,2.92,3.02,724541,0
PMCB.US,D,20211006,000000,3.04,3.08,2.93,3.06,478941,0
PMCB.US,D,20211007,000000,3.06,3.0977,2.9801,3,313986,0
PMCB.US,D,20211008,000000,3.05,3.2,3,3.19,825470,0
PMCB.US,D,20211011,000000,3.17,3.17,3.01,3.04,718827,0
PMCB.US,D,20211012,000000,3.04,3.15,3.04,3.13,496307,0
PMCB.US,D,20211013,000000,3.12,3.13,3.03,3.1,471774,0
PMCB.US,D,20211014,000000,3.07,3.15,3.06,3.1,384116,0
PMCB.US,D,20211015,000000,3.08,3.12,3.0017,3.04,344454,0
PMCB.US,D,20211018,000000,3.01,3.04,2.98,3.01,242843,0
PMCB.US,D,20211019,000000,3,3.0799,3,3.04,257065,0
PMCB.US,D,20211020,000000,3.07,3.07,2.95,2.95,362606,0
PMCB.US,D,20211021,000000,2.95,3,2.89,2.9,575418,0
PMCB.US,D,20211022,000000,2.86,2.9,2.65,2.75,1552390,0
PMCB.US,D,20211025,000000,2.7,2.7982,2.63,2.72,904291,0
PMCB.US,D,20211026,000000,2.76,3.22,2.7167,3.15,4717069,0
PMCB.US,D,20211027,000000,2.9,2.97,2.77,2.86,1763715,0
