<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGGF-WS.US,D,20210720,000000,0.95,1,0.95,0.95,26150,0
EGGF-WS.US,D,20210721,000000,0.9,0.95,0.882499,0.95,10617,0
EGGF-WS.US,D,20210722,000000,0.95,0.9701,0.94,0.94,3400,0
EGGF-WS.US,D,20210723,000000,0.9501,0.9601,0.888,0.960001,18085,0
EGGF-WS.US,D,20210727,000000,0.888,0.95,0.855,0.9499,43043,0
EGGF-WS.US,D,20210728,000000,0.9498,0.9498,0.9498,0.9498,1000,0
EGGF-WS.US,D,20210729,000000,0.9,0.9,0.88,0.895,18300,0
EGGF-WS.US,D,20210730,000000,0.9199,0.9199,0.89,0.89,5401,0
EGGF-WS.US,D,20210802,000000,0.9,0.9,0.89,0.89,49893,0
EGGF-WS.US,D,20210803,000000,0.915952,0.915952,0.8501,0.89,30500,0
EGGF-WS.US,D,20210804,000000,0.8503,0.8503,0.8502,0.8502,2600,0
EGGF-WS.US,D,20210805,000000,0.850301,0.865,0.85,0.865,16900,0
EGGF-WS.US,D,20210809,000000,0.89,0.89,0.89,0.89,102,0
EGGF-WS.US,D,20210810,000000,0.8501,0.8502,0.8501,0.8502,200,0
EGGF-WS.US,D,20210817,000000,0.8501,0.867577,0.83,0.83,20685,0
EGGF-WS.US,D,20210818,000000,0.8001,0.8001,0.8001,0.8001,300,0
EGGF-WS.US,D,20210820,000000,0.800201,0.800201,0.7201,0.7201,5826,0
EGGF-WS.US,D,20210824,000000,0.7202,0.720201,0.7201,0.720201,1160,0
EGGF-WS.US,D,20210826,000000,0.7202,0.7202,0.7202,0.7202,500,0
EGGF-WS.US,D,20210831,000000,0.73,0.73,0.7,0.71,5900,0
EGGF-WS.US,D,20210901,000000,0.71,0.71,0.7,0.7097,6500,0
EGGF-WS.US,D,20210902,000000,0.7001,0.7001,0.6568,0.6701,14450,0
EGGF-WS.US,D,20210903,000000,0.7,0.7,0.6704,0.6704,1500,0
EGGF-WS.US,D,20210907,000000,0.6601,0.6601,0.6504,0.6504,580,0
EGGF-WS.US,D,20210908,000000,0.65,0.65,0.63015,0.64,3550,0
EGGF-WS.US,D,20210909,000000,0.62,0.62,0.6103,0.6103,4725,0
EGGF-WS.US,D,20210913,000000,0.620049,0.620049,0.620049,0.620049,500,0
EGGF-WS.US,D,20210914,000000,0.61,0.61,0.61,0.61,1714,0
EGGF-WS.US,D,20210916,000000,0.61,0.65,0.61,0.65,5868,0
EGGF-WS.US,D,20210917,000000,0.65,0.65,0.6499,0.65,50005,0
EGGF-WS.US,D,20210921,000000,0.64,0.64,0.63,0.639899,53492,0
EGGF-WS.US,D,20210923,000000,0.7,0.7,0.68,0.68,450,0
EGGF-WS.US,D,20210927,000000,0.6906,0.7001,0.62,0.62,4765,0
EGGF-WS.US,D,20210930,000000,0.62,0.62,0.5901,0.5901,24252,0
EGGF-WS.US,D,20211001,000000,0.589999,0.6,0.56,0.5602,64759,0
EGGF-WS.US,D,20211004,000000,0.58,0.6,0.58,0.59,441,0
EGGF-WS.US,D,20211005,000000,0.6,0.6001,0.5882,0.6001,2300,0
EGGF-WS.US,D,20211006,000000,0.5516,0.5906,0.550201,0.5906,4367,0
EGGF-WS.US,D,20211007,000000,0.6206,0.6206,0.6206,0.6206,191,0
EGGF-WS.US,D,20211014,000000,0.588181,0.6,0.57515,0.599899,1309,0
EGGF-WS.US,D,20211015,000000,0.6299,0.6299,0.6,0.6,200,0
EGGF-WS.US,D,20211018,000000,0.5502,0.6197,0.5502,0.58,30071,0
EGGF-WS.US,D,20211019,000000,0.5651,0.597999,0.538,0.597999,16222,0
EGGF-WS.US,D,20211021,000000,0.6399,0.6399,0.6101,0.6101,438,0
EGGF-WS.US,D,20211022,000000,0.617503,0.617503,0.617503,0.617503,972,0
EGGF-WS.US,D,20211025,000000,0.5702,0.62,0.5702,0.6198,60950,0
EGGF-WS.US,D,20211026,000000,0.61,0.6499,0.61,0.6499,2198,0
EGGF-WS.US,D,20211027,000000,0.6104,0.6476,0.6101,0.6476,23269,0
