<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAIC_C.US,D,20201027,000000,18.89,18.9,18.89,18.9,303,0
AAIC_C.US,D,20201028,000000,18.26,18.89,18.26,18.86,1509,0
AAIC_C.US,D,20201029,000000,18.61,18.89,18.61,18.85,4497,0
AAIC_C.US,D,20201030,000000,18.6301,18.85,18.6301,18.85,979,0
AAIC_C.US,D,20201102,000000,18.85,18.8875,18.73,18.85,17945,0
AAIC_C.US,D,20201103,000000,18.85,18.95,18.85,18.95,11254,0
AAIC_C.US,D,20201105,000000,18.93,18.95,18.93,18.95,299,0
AAIC_C.US,D,20201106,000000,18.98,19.15,18.58,19.15,7150,0
AAIC_C.US,D,20201109,000000,19.14,19.24,18.6,19.21,8309,0
AAIC_C.US,D,20201110,000000,19.157,19.3145,18.7,19,4904,0
AAIC_C.US,D,20201111,000000,19.219,19.219,19.219,19.219,250,0
AAIC_C.US,D,20201113,000000,19.4,19.52,19.4,19.51,3105,0
AAIC_C.US,D,20201116,000000,19.55,19.75,19.5,19.67,3146,0
AAIC_C.US,D,20201117,000000,19.9501,19.9725,19.95,19.9725,650,0
AAIC_C.US,D,20201118,000000,20,20,20,20,1005,0
AAIC_C.US,D,20201119,000000,19.73,19.95,19.73,19.95,2793,0
AAIC_C.US,D,20201120,000000,20.11,20.11,19.73,19.95,3489,0
AAIC_C.US,D,20201123,000000,20.24,22.24,20.24,20.75,16852,0
AAIC_C.US,D,20201124,000000,20.7,20.7,20.5235,20.7,5178,0
AAIC_C.US,D,20201125,000000,20.32,20.32,20.04,20.04,1230,0
AAIC_C.US,D,20201127,000000,20.2,21.1,20.2,21.05,623,0
AAIC_C.US,D,20201130,000000,21.09,21.5,20.9975,21.26,5415,0
AAIC_C.US,D,20201201,000000,21.36,21.38,21.25,21.25,443,0
AAIC_C.US,D,20201202,000000,21,21.25,21,21.222,2205,0
AAIC_C.US,D,20201203,000000,21.25,21.26,20.875,21.25,3200,0
AAIC_C.US,D,20201204,000000,21.58,21.7,21.58,21.7,1938,0
AAIC_C.US,D,20201207,000000,21.52,21.955,21.396,21.72,5550,0
