<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLDT_A.US,D,20210702,000000,26,26.25,25.95,26.19,46191,0
CLDT_A.US,D,20210706,000000,26.18,26.3,26.18,26.29,6955,0
CLDT_A.US,D,20210707,000000,26.45,26.45,26.16,26.25,12808,0
CLDT_A.US,D,20210708,000000,26.2,26.5,26.15,26.35,56778,0
CLDT_A.US,D,20210709,000000,26.35,26.4,26.35,26.4,1299,0
CLDT_A.US,D,20210712,000000,26.4,26.4,26.3,26.35,43996,0
CLDT_A.US,D,20210713,000000,26.3,26.38,26.15,26.25,9227,0
CLDT_A.US,D,20210714,000000,26.4,26.85,26.39,26.4,210026,0
CLDT_A.US,D,20210715,000000,26.31,26.35,26.05,26.25,29807,0
CLDT_A.US,D,20210716,000000,26.35,26.5,26.34,26.35,8760,0
CLDT_A.US,D,20210719,000000,26.125,26.25,26,26.01,4372,0
CLDT_A.US,D,20210720,000000,26.32,26.32,26.26,26.32,6012,0
CLDT_A.US,D,20210722,000000,26.25,26.65,26.1,26.65,6299,0
CLDT_A.US,D,20210723,000000,26.35,26.75,26.32,26.47,14749,0
CLDT_A.US,D,20210726,000000,26.615,26.81,26.615,26.79,2043,0
CLDT_A.US,D,20210727,000000,26.5,26.5,26.48,26.5,16439,0
CLDT_A.US,D,20210728,000000,26.5,26.55,26.49,26.5,3667,0
CLDT_A.US,D,20210729,000000,26.55,26.55,26.55,26.55,96347,0
CLDT_A.US,D,20210730,000000,26.4,26.67,26.38,26.6,581426,0
CLDT_A.US,D,20210802,000000,26.56,26.56,26.28,26.3,34533,0
CLDT_A.US,D,20210803,000000,26.23,26.27,26.23,26.27,19353,0
CLDT_A.US,D,20210804,000000,26.3001,26.4,26.3,26.4,6738,0
CLDT_A.US,D,20210805,000000,26.33,26.44,26.2,26.25,27111,0
CLDT_A.US,D,20210806,000000,26.35,26.35,26.015,26.015,8555,0
CLDT_A.US,D,20210809,000000,26.08,26.28,25.83,25.99,53398,0
CLDT_A.US,D,20210810,000000,25.86,25.86,25.4,25.75,13451,0
CLDT_A.US,D,20210811,000000,25.6,25.91,25.6,25.9,6020,0
CLDT_A.US,D,20210812,000000,26.02,26.04,26.02,26.04,1683,0
CLDT_A.US,D,20210813,000000,25.76,26,25.76,25.99,2776,0
CLDT_A.US,D,20210816,000000,25.7899,25.79,25.6,25.62,20504,0
CLDT_A.US,D,20210817,000000,25.6,25.67,25.6,25.67,448,0
CLDT_A.US,D,20210818,000000,25.68,25.68,25.53,25.65,1472,0
CLDT_A.US,D,20210819,000000,25.55,25.795,25.55,25.795,1621,0
CLDT_A.US,D,20210820,000000,25.81,26.21,25.81,26.21,5315,0
CLDT_A.US,D,20210823,000000,26.24,26.3,26.15,26.25,12598,0
CLDT_A.US,D,20210824,000000,26.2,26.3,26.2,26.2,18192,0
CLDT_A.US,D,20210825,000000,26.21,26.22,26.2,26.2,19383,0
CLDT_A.US,D,20210826,000000,26.4625,26.55,26.2,26.3,11942,0
CLDT_A.US,D,20210827,000000,26.35,26.475,26.35,26.4,7406,0
CLDT_A.US,D,20210830,000000,26.26,26.45,26.25,26.45,2619,0
CLDT_A.US,D,20210831,000000,26.52,26.54,26.4,26.4,2024,0
CLDT_A.US,D,20210901,000000,26.4,26.4,26.4,26.4,1906,0
CLDT_A.US,D,20210902,000000,27.14,27.14,27,27.02,3421,0
CLDT_A.US,D,20210903,000000,26.94,26.94,26.94,26.94,243,0
CLDT_A.US,D,20210908,000000,26.74,26.8,26.7,26.71,45849,0
CLDT_A.US,D,20210909,000000,27,27,26.58,26.59,870,0
CLDT_A.US,D,20210910,000000,26.6,26.6,25.92,26.39,11080,0
CLDT_A.US,D,20210913,000000,26.13,26.32,26.13,26.3,2255,0
CLDT_A.US,D,20210914,000000,26.14,26.455,26.1,26.11,4848,0
CLDT_A.US,D,20210915,000000,26.4,26.4,26.22,26.22,3815,0
CLDT_A.US,D,20210916,000000,26.09,26.3,26.05,26.14,14033,0
CLDT_A.US,D,20210917,000000,26.18,26.4,26.14,26.14,7366,0
CLDT_A.US,D,20210920,000000,26.3,26.3,25.99,26,3719,0
CLDT_A.US,D,20210921,000000,26.01,26.235,26,26,11600,0
CLDT_A.US,D,20210922,000000,26.15,26.15,26.08,26.08,3378,0
CLDT_A.US,D,20210923,000000,26.15,26.15,26,26.04,17426,0
CLDT_A.US,D,20210924,000000,26.1,26.15,26.01,26.01,1770,0
CLDT_A.US,D,20210927,000000,25.98,26.05,25.7,25.7,1787,0
CLDT_A.US,D,20210928,000000,25.4,25.65,25.2,25.42,6743,0
CLDT_A.US,D,20210929,000000,25.3,25.4416,25.29,25.3,8795,0
CLDT_A.US,D,20210930,000000,25.4,25.46,25.08,25.46,5535,0
CLDT_A.US,D,20211001,000000,25.5736,25.5736,25.51,25.51,792,0
CLDT_A.US,D,20211004,000000,25.5,25.675,25.4,25.4,5200,0
CLDT_A.US,D,20211005,000000,25.28,25.78,25.18,25.69,14777,0
CLDT_A.US,D,20211006,000000,25.66,25.66,25.66,25.66,885,0
CLDT_A.US,D,20211007,000000,25.665,25.74,25.665,25.74,835,0
CLDT_A.US,D,20211008,000000,26.01,26.2,25.815,26.07,6153,0
CLDT_A.US,D,20211011,000000,25.64,25.922,25.6,25.71,702,0
CLDT_A.US,D,20211013,000000,25.91,26.3,25.91,26.3,2015,0
CLDT_A.US,D,20211014,000000,26.25,26.67,26.25,26.6216,7409,0
CLDT_A.US,D,20211015,000000,26.63,26.63,26.3013,26.43,10850,0
CLDT_A.US,D,20211018,000000,26.64,26.64,25.99,26.3,4986,0
CLDT_A.US,D,20211019,000000,26.31,26.5999,26.31,26.35,755,0
CLDT_A.US,D,20211020,000000,26.5,26.55,26.45,26.46,5061,0
CLDT_A.US,D,20211021,000000,26.4,26.55,26.39,26.4,2058,0
CLDT_A.US,D,20211022,000000,26.47,26.47,26.47,26.47,477,0
CLDT_A.US,D,20211025,000000,26.39,26.54,26.22,26.54,6319,0
CLDT_A.US,D,20211026,000000,26.38,26.38,26.3,26.3,20625,0
CLDT_A.US,D,20211027,000000,26.46,26.64,26.075,26.64,5196,0
