<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHRB.US,D,20210902,000000,25.25,25.25,25.17,25.19,70692,0
CHRB.US,D,20210903,000000,25.15,25.18,25.13,25.18,41448,0
CHRB.US,D,20210907,000000,25.18,25.19,25.09,25.17,16190,0
CHRB.US,D,20210908,000000,25.16,25.2399,25.01,25.07,31216,0
CHRB.US,D,20210909,000000,25.19,25.19,25,25.04,35064,0
CHRB.US,D,20210910,000000,25.04,25.08,25,25.02,19567,0
CHRB.US,D,20210913,000000,25.06,25.13,25,25.02,37239,0
CHRB.US,D,20210914,000000,25.09,25.109,25.02,25.03,7488,0
CHRB.US,D,20210915,000000,25.01,25.13,25.01,25.12,26577,0
CHRB.US,D,20210916,000000,25.08,25.09,25.02,25.04,25342,0
CHRB.US,D,20210917,000000,25.1135,25.1135,25,25.02,16998,0
CHRB.US,D,20210920,000000,25.02,25.05,24.95,24.96,24662,0
CHRB.US,D,20210921,000000,24.97,25.02,24.97,25.01,3935,0
CHRB.US,D,20210922,000000,25.03,25.15,25.03,25.15,91850,0
CHRB.US,D,20210923,000000,25.15,25.15,25.05,25.06,18951,0
CHRB.US,D,20210924,000000,25.13,25.13,25,25.01,26748,0
CHRB.US,D,20210927,000000,25.15,25.15,24.95,24.99,13919,0
CHRB.US,D,20210928,000000,24.93,24.94,24.85,24.85,19888,0
CHRB.US,D,20210929,000000,25,25,24.8961,24.905,6756,0
CHRB.US,D,20210930,000000,24.9724,24.9724,24.81,24.83,30268,0
CHRB.US,D,20211001,000000,25.02,25.02,24.9197,24.95,20491,0
CHRB.US,D,20211004,000000,24.95,24.98,24.94,24.96,6548,0
CHRB.US,D,20211005,000000,24.9191,24.9191,24.81,24.91,6393,0
CHRB.US,D,20211006,000000,24.9,24.95,24.8,24.85,7827,0
CHRB.US,D,20211007,000000,24.81,24.9,24.81,24.9,3821,0
CHRB.US,D,20211008,000000,24.95,25,24.81,24.85,15069,0
CHRB.US,D,20211011,000000,25,25,24.94,24.94,3011,0
CHRB.US,D,20211012,000000,24.98,24.99,24.9,24.94,10424,0
CHRB.US,D,20211013,000000,25,25.1,25,25.05,27295,0
CHRB.US,D,20211014,000000,24.75,24.82,24.55,24.55,50939,0
CHRB.US,D,20211015,000000,24.6015,24.61,24.55,24.58,3203,0
CHRB.US,D,20211018,000000,24.6,24.64,24.425,24.5,15585,0
CHRB.US,D,20211019,000000,24.55,24.57,24.485,24.51,5373,0
CHRB.US,D,20211020,000000,24.53,24.53,24.4434,24.5,5701,0
CHRB.US,D,20211021,000000,24.53,24.55,24.4779,24.51,4244,0
CHRB.US,D,20211022,000000,24.5499,24.62,24.47,24.47,6933,0
CHRB.US,D,20211025,000000,24.48,24.59,24.48,24.57,1726,0
CHRB.US,D,20211026,000000,24.4701,24.6399,24.41,24.45,1343593,0
CHRB.US,D,20211027,000000,24.42,24.74,24.42,24.6,11273,0
