<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FACT-WS.US,D,20210421,000000,0.85,0.85,0.85,0.85,4400,0
FACT-WS.US,D,20210422,000000,0.86,0.91,0.86,0.91,569,0
FACT-WS.US,D,20210423,000000,0.88,0.9,0.835,0.9,42593,0
FACT-WS.US,D,20210428,000000,0.9,0.9,0.78,0.78,3101,0
FACT-WS.US,D,20210429,000000,0.8346,0.95,0.8346,0.92,51447,0
FACT-WS.US,D,20210430,000000,0.87,0.8701,0.87,0.87,27300,0
FACT-WS.US,D,20210503,000000,0.9801,0.9801,0.98,0.98,11781,0
FACT-WS.US,D,20210504,000000,0.98,0.9901,0.98,0.9801,6499,0
FACT-WS.US,D,20210505,000000,1,1.02,1,1.01,1600,0
FACT-WS.US,D,20210513,000000,1,1.01,0.93,1.01,14369,0
FACT-WS.US,D,20210517,000000,0.9306,1.04,0.9006,0.99,1185,0
FACT-WS.US,D,20210518,000000,0.83,0.83,0.83,0.83,185,0
FACT-WS.US,D,20210521,000000,1.03,1.04,1.03,1.04,500,0
FACT-WS.US,D,20210526,000000,1.24,1.25,1,1,1386,0
FACT-WS.US,D,20210601,000000,1.11,1.15,1.11,1.15,1224,0
FACT-WS.US,D,20210602,000000,1.05,1.05,1.01,1.05,5763,0
FACT-WS.US,D,20210603,000000,1.095,1.095,0.8699,0.8699,433,0
FACT-WS.US,D,20210604,000000,0.8701,0.8701,0.845,0.86,14838,0
FACT-WS.US,D,20210607,000000,0.86,0.9099,0.86,0.897451,2237,0
FACT-WS.US,D,20210609,000000,0.901,0.901,0.901,0.901,250,0
FACT-WS.US,D,20210610,000000,0.9,1.045,0.85,1.045,16697,0
FACT-WS.US,D,20210611,000000,1.34,1.55,1.2,1.21,66547,0
FACT-WS.US,D,20210615,000000,1.12,1.12,1.1,1.1,3712,0
FACT-WS.US,D,20210618,000000,1.05,1.05,1.03,1.04,6506,0
FACT-WS.US,D,20210622,000000,1.04,1.04,1,1,10100,0
FACT-WS.US,D,20210623,000000,1.01,1.01,0.9601,0.9805,5825,0
FACT-WS.US,D,20210624,000000,0.99,1.0125,0.974999,1.0125,11312,0
FACT-WS.US,D,20210625,000000,1.0001,1.13,0.965,1.07,16025,0
FACT-WS.US,D,20210628,000000,1.05,1.06,1.05,1.05,5602,0
FACT-WS.US,D,20210630,000000,1,1.08,1,1.08,3731,0
FACT-WS.US,D,20210706,000000,1.01,1.11,1,1.11,35001,0
FACT-WS.US,D,20210708,000000,1.01,1.0101,1.01,1.01,870,0
FACT-WS.US,D,20210713,000000,1.03,1.04,1.03,1.04,400,0
FACT-WS.US,D,20210714,000000,1.0716,1.0716,1.0716,1.0716,111,0
FACT-WS.US,D,20210716,000000,1.03,1.05,1.03,1.05,40294,0
FACT-WS.US,D,20210719,000000,1,1.1,1,1.04,7458,0
FACT-WS.US,D,20210726,000000,1.15,1.15,1.04,1.0974,12631,0
FACT-WS.US,D,20210727,000000,1.4,1.41,1.16,1.1625,5305,0
FACT-WS.US,D,20210728,000000,1.2192,1.2192,1.12,1.18,1507,0
FACT-WS.US,D,20210729,000000,1.11,1.15,1.1,1.15,802,0
FACT-WS.US,D,20210802,000000,1.1,1.1,1.1,1.1,310,0
FACT-WS.US,D,20210803,000000,1.21,1.21,1.09,1.09,854,0
FACT-WS.US,D,20210804,000000,0.9891,1.107,0.9891,1.1017,13857,0
FACT-WS.US,D,20210805,000000,1.1,1.12,1.1,1.1,13318,0
FACT-WS.US,D,20210806,000000,1.07,1.14,1.07,1.07,12185,0
FACT-WS.US,D,20210809,000000,1.1,1.1,1.07,1.08,2295,0
