<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APGB-WS.US,D,20210407,000000,1.2,1.4,1.125,1.15,133759,0
APGB-WS.US,D,20210408,000000,1.15,1.3,1.15,1.22,37943,0
APGB-WS.US,D,20210409,000000,1.22,1.22,1.04,1.19,82670,0
APGB-WS.US,D,20210412,000000,1.66,1.66,1.08,1.182,26831,0
APGB-WS.US,D,20210413,000000,1.14,1.18,1.04,1.1,84868,0
APGB-WS.US,D,20210414,000000,1.06,1.18,1.06,1.15,171827,0
APGB-WS.US,D,20210415,000000,1.15,1.15,1.08,1.08,116187,0
APGB-WS.US,D,20210416,000000,1.12,1.15,1.1,1.1499,32102,0
APGB-WS.US,D,20210419,000000,1.1,1.1,0.9101,1,67713,0
APGB-WS.US,D,20210420,000000,1.02,1.06,1.02,1.03,19350,0
APGB-WS.US,D,20210421,000000,1.01,1.02,0.9699,1,93402,0
APGB-WS.US,D,20210422,000000,0.98,1.08,0.98,1.055,5845,0
APGB-WS.US,D,20210423,000000,1.05,1.075,1.05,1.07,8800,0
APGB-WS.US,D,20210426,000000,1.1,1.1,1.07,1.1,17227,0
APGB-WS.US,D,20210427,000000,1.02,1.1,1.02,1.07,4501,0
APGB-WS.US,D,20210428,000000,0.94,1.04,0.9306,1.01,44131,0
APGB-WS.US,D,20210429,000000,1.06,1.08,1,1.08,26516,0
APGB-WS.US,D,20210430,000000,1.01,1.07,0.96,1.06,48362,0
APGB-WS.US,D,20210503,000000,1.07,1.17,1,1.05,227095,0
APGB-WS.US,D,20210504,000000,1.275,1.31,0.9576,1.04,11703,0
APGB-WS.US,D,20210505,000000,0.9802,1.18,0.932,1.05,31901,0
APGB-WS.US,D,20210506,000000,1.05,1.14,0.99,0.9901,11129,0
APGB-WS.US,D,20210507,000000,0.9899,0.99,0.9757,0.9757,3140,0
APGB-WS.US,D,20210510,000000,0.9757,0.9757,0.9111,0.92,8483,0
APGB-WS.US,D,20210511,000000,0.92,0.9701,0.9111,0.97,7468,0
APGB-WS.US,D,20210512,000000,0.9695,0.9751,0.94,0.94,6051,0
APGB-WS.US,D,20210513,000000,0.942,0.942,0.9,0.9001,8510,0
APGB-WS.US,D,20210514,000000,0.9,1,0.8121,0.9164,49377,0
APGB-WS.US,D,20210517,000000,0.86,0.9399,0.86,0.91,4145,0
APGB-WS.US,D,20210518,000000,0.8631,0.911,0.84,0.861,25841,0
APGB-WS.US,D,20210519,000000,0.861,0.861,0.861,0.861,220,0
APGB-WS.US,D,20210520,000000,0.861,0.955,0.861,0.9364,29645,0
APGB-WS.US,D,20210521,000000,0.99,0.99,0.945,0.945,1200,0
APGB-WS.US,D,20210526,000000,0.99,1.03,0.94,0.98,41302,0
APGB-WS.US,D,20210527,000000,1.03,1.03,1.03,1.03,743,0
APGB-WS.US,D,20210528,000000,1.0313,1.04,0.9837,1.02,45849,0
APGB-WS.US,D,20210601,000000,1.067,1.1375,1.06,1.07,11127,0
APGB-WS.US,D,20210602,000000,1.02,1.03,0.99,1.02,22181,0
APGB-WS.US,D,20210603,000000,1.09,1.12,1.02,1.12,54496,0
APGB-WS.US,D,20210604,000000,1.04,1.12,1.02,1.02,20358,0
APGB-WS.US,D,20210607,000000,1.02,1.06,1,1.06,24170,0
APGB-WS.US,D,20210608,000000,1.02,1.06,1.01,1.05,53839,0
APGB-WS.US,D,20210609,000000,1.04,1.07,1.04,1.07,13573,0
APGB-WS.US,D,20210610,000000,1.07,1.1,1.07,1.1,12626,0
APGB-WS.US,D,20210611,000000,1.11,1.2,1.11,1.18,129186,0
APGB-WS.US,D,20210614,000000,1.16,1.25,1.11,1.25,30865,0
APGB-WS.US,D,20210615,000000,1.26,1.26,1.19,1.19,28747,0
APGB-WS.US,D,20210616,000000,1.2,1.23,1.19,1.2,71482,0
APGB-WS.US,D,20210617,000000,1.19,1.24,1.19,1.2199,87163,0
APGB-WS.US,D,20210618,000000,1.26,1.26,1.2,1.2,2381,0
APGB-WS.US,D,20210622,000000,1.2,1.2,1.15,1.19,11599,0
APGB-WS.US,D,20210623,000000,1.21,1.2599,1.2,1.2599,9453,0
APGB-WS.US,D,20210624,000000,1.23,1.23,1.2,1.2,7018,0
APGB-WS.US,D,20210625,000000,1.2,1.2,1.2,1.2,850,0
APGB-WS.US,D,20210628,000000,1.2,1.2,1.19,1.2,30062,0
APGB-WS.US,D,20210629,000000,1.2,1.32,1.2,1.26,4682,0
APGB-WS.US,D,20210701,000000,1.38,1.38,1.23,1.26,4507,0
APGB-WS.US,D,20210706,000000,1.68,1.68,1.33,1.33,2608,0
APGB-WS.US,D,20210707,000000,1.3629,1.39,1.3629,1.39,1124,0
APGB-WS.US,D,20210708,000000,1.3701,1.3701,1.35,1.35,3970,0
APGB-WS.US,D,20210709,000000,1.39,1.49,1.36,1.375,8767,0
APGB-WS.US,D,20210712,000000,1.5,1.5,1.34,1.34,4587,0
APGB-WS.US,D,20210713,000000,1.32,1.32,1.3,1.3101,1181,0
APGB-WS.US,D,20210714,000000,1.31,1.34,1.245,1.28,4403,0
APGB-WS.US,D,20210715,000000,1.3,1.4,1.29,1.4,31795,0
APGB-WS.US,D,20210716,000000,1.3,1.44,1.28,1.41,42424,0
APGB-WS.US,D,20210719,000000,1.41,1.49,1.19,1.28,12287,0
APGB-WS.US,D,20210720,000000,1.34,1.4123,1.3001,1.3001,6201,0
APGB-WS.US,D,20210722,000000,1.26,1.3014,1.26,1.3014,359,0
APGB-WS.US,D,20210726,000000,1.37,1.37,1.16,1.16,11593,0
APGB-WS.US,D,20210728,000000,1.16,1.2399,1.15,1.185,83978,0
APGB-WS.US,D,20210729,000000,1.15,1.15,1.1,1.12,10540,0
APGB-WS.US,D,20210730,000000,1.13,1.15,1.13,1.15,7401,0
APGB-WS.US,D,20210802,000000,1.1,1.11,1.1,1.1015,2770,0
APGB-WS.US,D,20210803,000000,1.06,1.08,1.05,1.08,761,0
APGB-WS.US,D,20210804,000000,1.06,1.15,1.06,1.15,633,0
APGB-WS.US,D,20210805,000000,1.03,1.14,1.03,1.14,760,0
APGB-WS.US,D,20210806,000000,1.08,1.08,1.08,1.08,200,0
APGB-WS.US,D,20210809,000000,1.14,1.15,1.13,1.13,2821,0
APGB-WS.US,D,20210810,000000,1.14,1.15,1.1,1.15,2333,0
APGB-WS.US,D,20210811,000000,1.15,1.15,1.15,1.15,140,0
APGB-WS.US,D,20210812,000000,1.1,1.1,1.1,1.1,261,0
APGB-WS.US,D,20210813,000000,1.1,1.11,1.1,1.1,781,0
APGB-WS.US,D,20210816,000000,1.1,1.1007,1.0523,1.0523,4800,0
APGB-WS.US,D,20210817,000000,1.05,1.11,1.05,1.11,5132,0
APGB-WS.US,D,20210818,000000,1.1,1.11,1.0501,1.07,4448,0
APGB-WS.US,D,20210819,000000,1.075,1.075,1.075,1.075,200,0
APGB-WS.US,D,20210820,000000,1.06,1.06,1.06,1.06,231,0
APGB-WS.US,D,20210823,000000,1.02,1.02,1.01,1.01,1075,0
APGB-WS.US,D,20210824,000000,1.01,1.02,0.9101,0.9301,668073,0
APGB-WS.US,D,20210825,000000,0.9501,1.08,0.95,1.08,737,0
APGB-WS.US,D,20210826,000000,1.03,1.04,0.96,0.96,668,0
APGB-WS.US,D,20210827,000000,0.96,1,0.96,1,5253,0
APGB-WS.US,D,20210830,000000,1.0001,1.0001,0.9214,0.9215,3578,0
