<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSQD-U.US,D,20210208,000000,11.2,11.2,10.77,10.85,517265,0
GSQD-U.US,D,20210209,000000,10.9,10.96,10.705,10.9,316977,0
GSQD-U.US,D,20210210,000000,10.95,10.95,10.7,10.88,604793,0
GSQD-U.US,D,20210211,000000,10.9,11,10.82,10.9,246404,0
GSQD-U.US,D,20210212,000000,10.9,11.036,10.8625,10.89,413255,0
GSQD-U.US,D,20210216,000000,11.28,11.32,10.9,11.09,278816,0
GSQD-U.US,D,20210217,000000,11.08,11.08,10.9,10.97,178917,0
GSQD-U.US,D,20210218,000000,10.95,11,10.8307,10.95,330846,0
GSQD-U.US,D,20210219,000000,11,11,10.85,10.88,150702,0
GSQD-U.US,D,20210222,000000,10.9,11,10.85,10.85,155094,0
GSQD-U.US,D,20210223,000000,10.8,10.9,10.65,10.89,197528,0
GSQD-U.US,D,20210224,000000,10.95,11,10.7505,10.8,306520,0
GSQD-U.US,D,20210225,000000,10.82,10.85,10.45,10.5,612276,0
GSQD-U.US,D,20210226,000000,10.55,10.65,10.45,10.45,994605,0
GSQD-U.US,D,20210301,000000,10.45,10.55,10.4,10.49,675918,0
GSQD-U.US,D,20210302,000000,10.5,10.54,10.4,10.44,504745,0
GSQD-U.US,D,20210303,000000,10.4,10.46,10.25,10.29,827477,0
GSQD-U.US,D,20210304,000000,10.25,10.26,9.89,10.02,1048375,0
GSQD-U.US,D,20210305,000000,10.17,10.2,10.02,10.19,1220627,0
GSQD-U.US,D,20210308,000000,10.1501,10.3,10.15,10.25,254330,0
GSQD-U.US,D,20210309,000000,10.26,10.26,10.11,10.11,228467,0
GSQD-U.US,D,20210310,000000,10.09,10.15,10.09,10.11,51287,0
GSQD-U.US,D,20210311,000000,10.15,10.19,10.05,10.06,102434,0
GSQD-U.US,D,20210312,000000,10.12,10.15,10.03,10.05,484884,0
GSQD-U.US,D,20210315,000000,10.06,10.12,10.02,10.06,414230,0
GSQD-U.US,D,20210316,000000,10.04,10.09,10.04,10.07,40678,0
GSQD-U.US,D,20210317,000000,10.04,10.1064,9.98,10,235552,0
