<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FACA-WS.US,D,20210414,000000,1.31,1.55,1.18,1.35,51517,0
FACA-WS.US,D,20210415,000000,1.39,1.52,1.11,1.11,130616,0
FACA-WS.US,D,20210416,000000,1.21,1.29,1.12,1.28,10920,0
FACA-WS.US,D,20210419,000000,1.2282,1.55,1.2282,1.55,28468,0
FACA-WS.US,D,20210420,000000,1.58,1.74,1.4301,1.5,111523,0
FACA-WS.US,D,20210421,000000,1.55,1.6,1.35,1.35,59767,0
FACA-WS.US,D,20210422,000000,1.35,1.4,1.35,1.4,13444,0
FACA-WS.US,D,20210423,000000,1.44,1.53,1.272,1.5175,55546,0
FACA-WS.US,D,20210426,000000,1.4,1.55,1.4,1.45,65903,0
FACA-WS.US,D,20210427,000000,1.4,1.56,1.4,1.5599,3436,0
FACA-WS.US,D,20210428,000000,1.64,1.64,1.5109,1.5999,13129,0
FACA-WS.US,D,20210429,000000,1.54,1.6,1.54,1.59,8648,0
FACA-WS.US,D,20210430,000000,1.7,1.75,1.6,1.74,9501,0
FACA-WS.US,D,20210503,000000,1.8,1.8,1.53,1.61,2100,0
FACA-WS.US,D,20210504,000000,1.61,1.61,1.455,1.46,2704,0
FACA-WS.US,D,20210505,000000,1.47,1.48,1.4,1.4,13380,0
FACA-WS.US,D,20210506,000000,1.44,1.45,1.13,1.25,39135,0
FACA-WS.US,D,20210507,000000,1.25,1.27,1.2,1.21,8380,0
FACA-WS.US,D,20210510,000000,1.26,1.26,1.13,1.15,22357,0
FACA-WS.US,D,20210511,000000,1.16,1.16,1.14,1.14,4531,0
FACA-WS.US,D,20210512,000000,1.14,1.14,1.0101,1.065,22243,0
FACA-WS.US,D,20210513,000000,1.06,1.0602,1.03,1.03,5845,0
FACA-WS.US,D,20210514,000000,1.08,1.12,1.03,1.09,5170,0
FACA-WS.US,D,20210517,000000,1.04,1.04,0.9901,0.9901,25702,0
FACA-WS.US,D,20210518,000000,0.9401,1.0243,0.92,0.9394,18409,0
FACA-WS.US,D,20210519,000000,1,1.0054,0.8909,0.8909,47372,0
FACA-WS.US,D,20210520,000000,1.08,1.08,0.9499,0.99,2970,0
FACA-WS.US,D,20210521,000000,1.08,1.08,0.92,0.9696,1343,0
FACA-WS.US,D,20210524,000000,0.9899,1.09,0.969405,0.9697,6582,0
FACA-WS.US,D,20210525,000000,1.07,1.07,1.0092,1.01,2015,0
FACA-WS.US,D,20210526,000000,0.95,1.04,0.94,1.02,10350,0
FACA-WS.US,D,20210527,000000,0.983,1.1,0.983,1.1,13132,0
FACA-WS.US,D,20210528,000000,1.08,1.1,1.08,1.1,2325,0
FACA-WS.US,D,20210601,000000,1.175,1.175,1.1,1.13,2100,0
FACA-WS.US,D,20210602,000000,1.12,1.2,1.1065,1.2,14932,0
FACA-WS.US,D,20210603,000000,1.07,1.26,0.93,1.26,30385,0
FACA-WS.US,D,20210604,000000,1.25,1.26,1.25,1.26,900,0
FACA-WS.US,D,20210607,000000,1.25,1.35,1.25,1.35,15015,0
FACA-WS.US,D,20210608,000000,1.35,1.35,1.35,1.35,546,0
FACA-WS.US,D,20210609,000000,1.41,1.41,1.375,1.375,7635,0
FACA-WS.US,D,20210610,000000,1.4,1.54,1.4,1.41,4890,0
FACA-WS.US,D,20210611,000000,1.32,1.52,1.32,1.52,12432,0
FACA-WS.US,D,20210614,000000,1.4601,1.48,1.42,1.42,3291,0
FACA-WS.US,D,20210615,000000,1.57,1.64,1.49,1.49,1487,0
FACA-WS.US,D,20210616,000000,1.64,1.64,1.31,1.425,8542,0
FACA-WS.US,D,20210617,000000,1.4,1.48,1.355,1.4,17069,0
FACA-WS.US,D,20210618,000000,1.41,1.44,1.4,1.41,6359,0
FACA-WS.US,D,20210621,000000,1.28,1.5031,1.28,1.49,1067,0
FACA-WS.US,D,20210622,000000,1.45,1.45,1.43,1.44,1350,0
FACA-WS.US,D,20210623,000000,1.42,1.44,1.42,1.44,978,0
FACA-WS.US,D,20210624,000000,1.43,1.465,1.43,1.45,1007,0
FACA-WS.US,D,20210625,000000,1.43,1.4336,1.42,1.42,7439,0
FACA-WS.US,D,20210628,000000,1.42,1.42,1.42,1.42,5589,0
FACA-WS.US,D,20210629,000000,1.4499,1.4499,1.42,1.42,514,0
FACA-WS.US,D,20210630,000000,1.4499,1.49,1.38,1.38,49625,0
FACA-WS.US,D,20210701,000000,1.27,1.33,1.27,1.31,1850,0
FACA-WS.US,D,20210706,000000,1.44,1.44,1.38,1.38,470,0
FACA-WS.US,D,20210707,000000,1.4,1.41,1.4,1.41,358,0
FACA-WS.US,D,20210708,000000,1.49,1.49,1.36,1.36,2192,0
FACA-WS.US,D,20210709,000000,1.3731,1.41,1.33,1.33,1718,0
FACA-WS.US,D,20210713,000000,1.38,1.39,1.37,1.37,634,0
FACA-WS.US,D,20210714,000000,1.271,1.39,1.22,1.23,3991,0
FACA-WS.US,D,20210715,000000,1.22,1.35,1.22,1.245,22762,0
FACA-WS.US,D,20210716,000000,1.23,1.25,1.21,1.2499,6322,0
FACA-WS.US,D,20210719,000000,1.25,1.25,1.25,1.25,265,0
FACA-WS.US,D,20210720,000000,1.2499,1.3199,1.195,1.27,7028,0
FACA-WS.US,D,20210721,000000,1.39,1.39,1.3,1.3,24094,0
FACA-WS.US,D,20210722,000000,1.3,1.36,1.2,1.3,52808,0
FACA-WS.US,D,20210723,000000,1.26,1.268,1.21,1.21,5053,0
FACA-WS.US,D,20210727,000000,1.3399,1.3399,1.275,1.275,894,0
FACA-WS.US,D,20210728,000000,1.3699,1.3699,1.16,1.21,15178,0
FACA-WS.US,D,20210729,000000,1.21,1.248,1.2,1.2,3850,0
FACA-WS.US,D,20210730,000000,1.13,1.25,1.13,1.2469,25421,0
FACA-WS.US,D,20210802,000000,1.21,1.23,1.21,1.21,826,0
FACA-WS.US,D,20210803,000000,1.26,1.3,1.2,1.24,4286,0
FACA-WS.US,D,20210804,000000,1.32,1.3788,1.13,1.1877,31082,0
FACA-WS.US,D,20210805,000000,1.16,1.2475,1.06,1.16,13260,0
FACA-WS.US,D,20210806,000000,1.22,1.22,1.1416,1.16,7927,0
FACA-WS.US,D,20210809,000000,1.13,1.2389,1.13,1.14,12500,0
FACA-WS.US,D,20210810,000000,1.14,1.2,1.13,1.1301,4550,0
FACA-WS.US,D,20210811,000000,1.185,1.22,1.14,1.2,25358,0
FACA-WS.US,D,20210812,000000,1.17,1.1999,1.17,1.17,2290,0
FACA-WS.US,D,20210813,000000,1.2491,1.2491,1.13,1.13,2138,0
FACA-WS.US,D,20210816,000000,1.1688,1.1688,0.9502,1,52159,0
FACA-WS.US,D,20210817,000000,1.0356,1.0599,1,1,12363,0
FACA-WS.US,D,20210818,000000,1.08,1.08,1.02,1.02,730,0
FACA-WS.US,D,20210819,000000,0.9501,1,0.9202,0.95,12261,0
FACA-WS.US,D,20210820,000000,0.9469,1.03,0.92,1.03,24650,0
FACA-WS.US,D,20210823,000000,1.03,1.04,0.850201,0.9401,29238,0
FACA-WS.US,D,20210824,000000,0.99,0.99,0.945,0.97,3906,0
FACA-WS.US,D,20210825,000000,0.9401,1,0.8596,1,51774,0
FACA-WS.US,D,20210826,000000,0.9342,0.98,0.911,0.97,2838,0
FACA-WS.US,D,20210827,000000,0.9168,1.038,0.9168,0.97,8234,0
FACA-WS.US,D,20210830,000000,0.889899,1.03,0.86,0.98,36828,0
FACA-WS.US,D,20210831,000000,1.0975,1.14,1.01,1.01,8200,0
FACA-WS.US,D,20210901,000000,0.99,1,0.98,0.98,7930,0
FACA-WS.US,D,20210902,000000,1.07,1.15,0.98,1.02,9088,0
FACA-WS.US,D,20210907,000000,1.1,1.1,1.1,1.1,963,0
FACA-WS.US,D,20210908,000000,1.1,1.245,1.1,1.13,818,0
FACA-WS.US,D,20210909,000000,1.255,1.255,1.05,1.1,14785,0
FACA-WS.US,D,20210910,000000,1.152,1.152,1.08,1.08,1831,0
FACA-WS.US,D,20210913,000000,1.08,1.08,1.01,1.03,17900,0
FACA-WS.US,D,20210914,000000,1.0999,1.1,1.02,1.04,9702,0
FACA-WS.US,D,20210916,000000,1.07,1.1,1.04,1.04,14200,0
FACA-WS.US,D,20210917,000000,1.06,1.06,1.06,1.06,525,0
FACA-WS.US,D,20210920,000000,1.06,1.06,1.0136,1.06,13729,0
FACA-WS.US,D,20210923,000000,1.1599,1.16,1.06,1.06,6872,0
FACA-WS.US,D,20210924,000000,1.1,1.1,1.08,1.08,2329,0
FACA-WS.US,D,20210927,000000,1.15,1.15,1.02,1.0599,5165,0
FACA-WS.US,D,20210928,000000,1.08,1.08,1.02,1.02,7020,0
FACA-WS.US,D,20210929,000000,1.13,1.13,1.04,1.04,3879,0
FACA-WS.US,D,20210930,000000,1.05,1.05,1.01,1.05,50595,0
FACA-WS.US,D,20211001,000000,1.05,1.05,1.01,1.02,11094,0
FACA-WS.US,D,20211004,000000,1.1,1.1,1,1.04,7607,0
