<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOZR.US,D,20210924,000000,27.85,27.85,25.86,25.9888,3028,0
DOZR.US,D,20210927,000000,27.97,27.97,26.59,26.7799,6302,0
DOZR.US,D,20210928,000000,26.42,26.42,25.82,25.9261,1868,0
DOZR.US,D,20210929,000000,25.86,25.93,25.81,25.8703,2134,0
DOZR.US,D,20210930,000000,25.899,26.09,25.3625,25.3625,2971,0
DOZR.US,D,20211001,000000,25.36,26.27,25.36,26.0721,1438,0
DOZR.US,D,20211004,000000,25.34,25.45,25.13,25.1534,5037,0
DOZR.US,D,20211005,000000,25.17,25.91,25.15,25.7202,12780,0
DOZR.US,D,20211006,000000,25.35,25.7445,25.005,25.7445,1144,0
DOZR.US,D,20211007,000000,26.38,26.4,26.036,26.036,795,0
DOZR.US,D,20211008,000000,26.37,26.37,25.8,25.8028,655,0
DOZR.US,D,20211011,000000,25.79,26,25.4995,25.4995,557,0
DOZR.US,D,20211012,000000,25.6764,25.6764,25.6764,25.6764,71,0
DOZR.US,D,20211013,000000,25.63,25.7405,25.63,25.7405,417,0
DOZR.US,D,20211014,000000,26.23,26.26,26.23,26.2561,775,0
DOZR.US,D,20211015,000000,26.45,26.88,26.42,26.62,1072,0
DOZR.US,D,20211018,000000,26.7,26.7615,26.7,26.7615,2027,0
DOZR.US,D,20211019,000000,26.87,26.9559,26.87,26.9559,218,0
DOZR.US,D,20211020,000000,27.39,27.6228,27.39,27.6228,1175,0
DOZR.US,D,20211021,000000,27.56,27.8104,27.56,27.8104,326,0
DOZR.US,D,20211022,000000,27.8676,28.0699,27.8676,27.9795,1451,0
DOZR.US,D,20211025,000000,28.21,28.44,27.645,28.3592,1676,0
DOZR.US,D,20211026,000000,28.77,28.77,28.0954,28.0954,3480,0
DOZR.US,D,20211027,000000,27.91,27.91,27.145,27.145,1618,0
