<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNKU.US,D,20190404,000000,52.9,52.92,52.18,52.2002,1700,0
BNKU.US,D,20190405,000000,51.9,51.9,51.5368,51.5368,200,0
BNKU.US,D,20190409,000000,50.1799,50.1799,50.1799,50.1799,45,0
BNKU.US,D,20190412,000000,55.1699,55.1699,55.1699,55.1699,50,0
BNKU.US,D,20190415,000000,53.7,53.71,53.3139,53.3139,1000,0
BNKU.US,D,20190416,000000,55.6815,55.6815,55.6815,55.6815,20,0
BNKU.US,D,20190417,000000,58.2694,58.2694,58.2694,58.2694,1,0
BNKU.US,D,20190418,000000,57.24,57.26,56.9329,56.9329,400,0
BNKU.US,D,20190422,000000,56.91,56.99,56.6226,56.6226,620,0
BNKU.US,D,20190423,000000,57.0351,57.0351,57.0351,57.0351,50,0
BNKU.US,D,20190424,000000,56.5801,56.5801,56.5801,56.5801,50,0
BNKU.US,D,20190426,000000,58.1164,58.1164,58.1164,58.1164,200,0
BNKU.US,D,20190429,000000,60.88,60.88,60.8401,60.8401,200,0
BNKU.US,D,20190430,000000,60.3832,60.3832,60.3832,60.3832,200,0
BNKU.US,D,20190501,000000,58.9618,58.9618,58.9618,58.9618,200,0
BNKU.US,D,20190502,000000,59.3247,59.3247,59.3247,59.3247,200,0
BNKU.US,D,20190503,000000,60.6,60.8601,60.47,60.8601,1800,0
BNKU.US,D,20190506,000000,59.9662,59.9662,59.9662,59.9662,200,0
BNKU.US,D,20190507,000000,56.2487,56.2487,56.2487,56.2487,200,0
BNKU.US,D,20190508,000000,55.4844,55.4844,55.4844,55.4844,200,0
BNKU.US,D,20190509,000000,55.2112,55.2112,55.2112,55.2112,200,0
BNKU.US,D,20190510,000000,55.4577,55.4577,55.4577,55.4577,50,0
BNKU.US,D,20190513,000000,51.98,51.98,49.7277,49.7277,1850,0
BNKU.US,D,20190514,000000,49.94,51.73,49.94,50.9633,2500,0
BNKU.US,D,20190515,000000,48.14,49.526,48.14,49.526,507,0
BNKU.US,D,20190516,000000,51.23,51.4096,51.23,51.4096,117,0
BNKU.US,D,20190517,000000,50.3098,50.3098,50.3098,50.3098,100,0
BNKU.US,D,20190520,000000,50.6,51.08,50.4,50.7237,750,0
BNKU.US,D,20190521,000000,52.1577,52.1577,52.1577,52.1577,50,0
BNKU.US,D,20190522,000000,51.09,51.3,50.778,50.778,1600,0
BNKU.US,D,20190523,000000,47.9105,47.9105,47.9105,47.9105,85,0
BNKU.US,D,20190524,000000,49.5894,49.5894,49.5894,49.5894,60,0
BNKU.US,D,20190528,000000,47.6029,47.6029,47.6029,47.6029,5,0
BNKU.US,D,20190529,000000,47.3296,47.3296,47.3296,47.3296,63,0
BNKU.US,D,20190530,000000,45.8389,45.8389,45.8389,45.8389,4,0
BNKU.US,D,20190531,000000,43.622,43.622,43.622,43.622,62,0
BNKU.US,D,20190603,000000,44.3439,44.3439,44.3439,44.3439,1,0
BNKU.US,D,20190604,000000,49.5678,49.5678,49.5678,49.5678,8,0
BNKU.US,D,20190605,000000,49.8106,49.8106,49.8106,49.8106,1,0
BNKU.US,D,20190606,000000,50.14,50.4208,49.32,50.4208,600,0
BNKU.US,D,20190607,000000,49.0748,49.0748,49.0748,49.0748,1,0
BNKU.US,D,20190610,000000,51.1728,51.1728,51.1728,51.1728,1,0
BNKU.US,D,20190611,000000,52.6073,52.6073,51.7672,51.7672,115,0
BNKU.US,D,20190612,000000,49.2014,49.2014,49.2014,49.2014,10,0
BNKU.US,D,20190613,000000,49.5459,49.5459,49.5459,49.5459,1,0
BNKU.US,D,20190614,000000,50.0137,50.0137,50.0137,50.0137,1,0
BNKU.US,D,20190617,000000,47.9908,47.9908,47.9908,47.9908,1,0
BNKU.US,D,20190618,000000,50.12,50.463,50.12,50.463,200,0
BNKU.US,D,20190619,000000,49.3239,49.3239,49.3239,49.3239,1,0
BNKU.US,D,20190620,000000,49.7386,49.7386,49.7386,49.7386,50,0
BNKU.US,D,20190621,000000,49.7885,49.7885,49.7885,49.7885,1,0
BNKU.US,D,20190624,000000,48.7677,48.7677,48.7677,48.7677,1,0
BNKU.US,D,20190625,000000,47.9494,47.9494,47.9494,47.9494,1,0
BNKU.US,D,20190626,000000,48.5585,48.5585,48.5585,48.5585,1,0
BNKU.US,D,20190627,000000,49.76,49.9056,49.15,49.9056,320,0
BNKU.US,D,20190628,000000,52.4909,52.4909,52.4909,52.4909,100,0
BNKU.US,D,20190701,000000,54.3879,54.3879,54.3879,54.3879,7,0
BNKU.US,D,20190702,000000,53.2167,53.2167,53.2167,53.2167,50,0
BNKU.US,D,20190703,000000,53.7217,53.7217,53.7217,53.7217,7,0
BNKU.US,D,20190705,000000,54.9447,54.9447,54.9447,54.9447,7,0
