<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESGY.US,D,20210702,000000,40.611,40.611,40.611,40.611,113,0
ESGY.US,D,20210706,000000,40.803,40.803,40.803,40.803,6,0
ESGY.US,D,20210707,000000,40.982,40.982,40.982,40.982,28,0
ESGY.US,D,20210708,000000,40.49,40.71,40.49,40.665,1100,0
ESGY.US,D,20210709,000000,40.76,40.988,40.76,40.988,328,0
ESGY.US,D,20210712,000000,41.122,41.122,41.122,41.122,1,0
ESGY.US,D,20210713,000000,41.19,41.19,41.077,41.077,2511,0
ESGY.US,D,20210714,000000,41.153,41.153,41.153,41.153,2,0
ESGY.US,D,20210715,000000,40.9,40.9,40.9,40.9,64,0
ESGY.US,D,20210716,000000,40.641,40.641,40.641,40.641,8,0
ESGY.US,D,20210719,000000,39.99,40.159,39.99,40.159,405,0
ESGY.US,D,20210720,000000,40.804,40.804,40.804,40.804,147,0
ESGY.US,D,20210721,000000,41.079,41.079,41.079,41.079,2,0
ESGY.US,D,20210722,000000,41.407,41.407,41.407,41.407,8,0
ESGY.US,D,20210723,000000,41.997,41.997,41.997,41.997,8,0
ESGY.US,D,20210726,000000,41.967,41.967,41.967,41.967,8,0
ESGY.US,D,20210727,000000,41.545,41.545,41.545,41.545,1,0
ESGY.US,D,20210728,000000,41.719,41.719,41.719,41.719,7,0
ESGY.US,D,20210729,000000,41.741,41.741,41.741,41.741,8,0
ESGY.US,D,20210730,000000,41.5,41.51,41.417,41.417,201,0
ESGY.US,D,20210802,000000,41.368,41.368,41.368,41.368,8,0
ESGY.US,D,20210803,000000,41.57,41.669,41.57,41.669,120,0
ESGY.US,D,20210804,000000,41.745,41.745,41.745,41.745,5,0
ESGY.US,D,20210805,000000,42.024,42.024,42.024,42.024,11,0
ESGY.US,D,20210806,000000,41.84,42.02,41.84,42.02,782,0
ESGY.US,D,20210809,000000,41.64,41.9,41.64,41.81,1352,0
ESGY.US,D,20210810,000000,41.79,41.79,41.583,41.583,100,0
ESGY.US,D,20210811,000000,41.583,41.583,41.583,41.583,8,0
ESGY.US,D,20210812,000000,41.819,41.819,41.819,41.819,2,0
ESGY.US,D,20210813,000000,41.962,41.962,41.962,41.962,8,0
ESGY.US,D,20210816,000000,42.027,42.089,42.027,42.089,110,0
ESGY.US,D,20210817,000000,41.685,41.685,41.685,41.685,13,0
ESGY.US,D,20210818,000000,41.62,41.62,41.345,41.345,325,0
ESGY.US,D,20210819,000000,41.523,41.523,41.523,41.523,54,0
ESGY.US,D,20210820,000000,41.99,42.062,41.88,42.062,426,0
ESGY.US,D,20210823,000000,42.51,42.55,42.51,42.55,296,0
ESGY.US,D,20210824,000000,42.67,42.67,42.612,42.612,347,0
ESGY.US,D,20210825,000000,42.65,42.66,42.635,42.66,966,0
ESGY.US,D,20210826,000000,42.49,42.49,42.418,42.418,494,0
ESGY.US,D,20210827,000000,42.83,42.84,42.812,42.817,999,0
ESGY.US,D,20210830,000000,43.18,43.291,43.163,43.291,1096,0
ESGY.US,D,20210831,000000,43.23,43.24,43.162,43.162,996,0
ESGY.US,D,20210901,000000,43.266,43.266,43.266,43.266,51,0
ESGY.US,D,20210902,000000,43.303,43.303,43.303,43.303,84,0
ESGY.US,D,20210903,000000,43.476,43.476,43.476,43.476,46,0
ESGY.US,D,20210907,000000,43.454,43.454,43.454,43.454,98,0
ESGY.US,D,20210908,000000,43.279,43.279,43.279,43.279,23,0
ESGY.US,D,20210909,000000,43.129,43.129,43.129,43.129,33,0
ESGY.US,D,20210910,000000,43.09,43.09,42.758,42.758,300,0
ESGY.US,D,20210913,000000,42.49,42.68,42.49,42.68,125,0
ESGY.US,D,20210914,000000,42.705,42.705,42.705,42.705,1,0
ESGY.US,D,20210915,000000,43.069,43.069,43.069,43.069,23,0
ESGY.US,D,20210916,000000,43.136,43.136,43.136,43.136,23,0
ESGY.US,D,20210917,000000,42.644,42.644,42.644,42.644,23,0
ESGY.US,D,20210920,000000,41.787,41.787,41.787,41.787,13,0
ESGY.US,D,20210921,000000,41.9207,41.9207,41.9207,41.9207,23,0
ESGY.US,D,20210922,000000,42.2041,42.2672,42.2041,42.2672,100,0
ESGY.US,D,20210923,000000,42.7464,42.7464,42.7464,42.7464,2,0
ESGY.US,D,20210924,000000,42.6906,42.6906,42.6906,42.6906,3,0
ESGY.US,D,20210927,000000,42.2122,42.2122,42.2122,42.2122,1,0
ESGY.US,D,20210928,000000,40.9576,40.9576,40.9576,40.9576,3,0
ESGY.US,D,20210929,000000,40.8413,40.8413,40.8413,40.8413,3,0
ESGY.US,D,20210930,000000,40.627,40.627,40.627,40.627,140,0
ESGY.US,D,20211001,000000,40.45,41.0122,40.45,41.0122,165,0
ESGY.US,D,20211004,000000,40,40.0878,40,40.0878,283,0
ESGY.US,D,20211005,000000,40.6982,40.6982,40.6982,40.6982,1,0
ESGY.US,D,20211006,000000,40.9458,40.9458,40.9458,40.9458,10,0
ESGY.US,D,20211007,000000,41.3849,41.3849,41.3849,41.3849,12,0
ESGY.US,D,20211008,000000,41.2273,41.2273,41.2273,41.2273,10,0
