<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BE.US,D,20180725,000000,18.7,25,18.5,25,13709519,0
BE.US,D,20180726,000000,24.745,24.85,20.3,21.01,3628317,0
BE.US,D,20180727,000000,21.2,23,21.2,22.6,1321229,0
BE.US,D,20180730,000000,22.75,24,22.65,23.85,1236290,0
BE.US,D,20180731,000000,24.03,26.43,22.75,23.05,2603376,0
BE.US,D,20180801,000000,23.67,24.8,22.6,23.5,952868,0
BE.US,D,20180802,000000,23.5,25.12,23.5,24.5,683600,0
BE.US,D,20180803,000000,24.63,27.1,24.5,26.8,904200,0
BE.US,D,20180806,000000,27.07,29.875,26.9,27.94,1523378,0
BE.US,D,20180807,000000,28.66,28.749,27.13,27.45,907291,0
BE.US,D,20180808,000000,27.89,28.25,26.5,28.15,1160509,0
BE.US,D,20180809,000000,28,28.03,26.6,26.72,403144,0
BE.US,D,20180810,000000,26.84,28,26.3,27.65,431516,0
BE.US,D,20180813,000000,27.65,27.65,24.71,24.76,711408,0
BE.US,D,20180814,000000,25.1,25.8632,25,25.51,300814,0
BE.US,D,20180815,000000,25.8,25.8,22.78,22.91,822385,0
BE.US,D,20180816,000000,23.5,23.92,22.9001,23.13,567353,0
BE.US,D,20180817,000000,23.63,23.63,22.19,22.2,602046,0
BE.US,D,20180820,000000,22,23.1059,21.75,22.42,1187727,0
BE.US,D,20180821,000000,22.85,25.8,22.61,25.27,1267442,0
BE.US,D,20180822,000000,25.02,27.5,24.8,27,883967,0
BE.US,D,20180823,000000,27.21,29.5,27.1921,29.28,1313349,0
BE.US,D,20180824,000000,29.25,33.25,29.2412,30.91,1597636,0
BE.US,D,20180827,000000,29,30.44,28.1601,28.69,1370178,0
BE.US,D,20180828,000000,28.62,30.59,28.5,29.55,668756,0
BE.US,D,20180829,000000,29.69,29.75,28.61,29.15,520445,0
BE.US,D,20180830,000000,28.87,29.02,28.11,28.75,527497,0
BE.US,D,20180831,000000,28.4,30.18,28.07,29.95,494786,0
BE.US,D,20180904,000000,30,30.05,28.1325,28.5,652074,0
BE.US,D,20180905,000000,28.19,28.63,26.355,28.21,543044,0
BE.US,D,20180906,000000,28,28.84,28,28.7,241468,0
BE.US,D,20180907,000000,28.64,31.13,28.085,30.58,646464,0
BE.US,D,20180910,000000,31.33,31.4499,27.36,29.05,1018945,0
BE.US,D,20180911,000000,29,29.54,27.86,29.26,362448,0
BE.US,D,20180912,000000,29.41,32.0899,29.1401,31.91,503589,0
BE.US,D,20180913,000000,31.91,33.89,30.55,31.68,929559,0
BE.US,D,20180914,000000,31.22,31.3,28.9,29.58,641291,0
BE.US,D,20180917,000000,29.45,30.371,28.72,29,290173,0
BE.US,D,20180918,000000,28.94,29.92,28.9,29.92,295180,0
BE.US,D,20180919,000000,30.03,31.06,28.97,29.25,458835,0
BE.US,D,20180920,000000,29.55,30.5487,29.3973,30.01,223991,0
BE.US,D,20180921,000000,30.05,33.05,29.9398,30.95,1701158,0
BE.US,D,20180924,000000,31,32.75,30.66,32.25,399356,0
BE.US,D,20180925,000000,32.55,34.88,32.5102,34.08,535860,0
BE.US,D,20180926,000000,34.6,36.59,34.25,35.8,584622,0
BE.US,D,20180927,000000,36,38,33.23,33.6,870127,0
BE.US,D,20180928,000000,33.72,35.52,33.01,34.08,431695,0
BE.US,D,20181001,000000,34.18,34.4812,32,32.27,318210,0
BE.US,D,20181002,000000,32.3,32.91,30.17,30.22,379939,0
BE.US,D,20181003,000000,30.38,30.92,29.1,30.25,527259,0
BE.US,D,20181004,000000,30.24,30.45,28.24,28.34,554279,0
BE.US,D,20181005,000000,28.34,29.369,26.11,27.37,725057,0
BE.US,D,20181008,000000,27.37,27.37,25.2,27.07,680179,0
BE.US,D,20181009,000000,26.87,27.6509,26.01,26.1,381567,0
BE.US,D,20181010,000000,25.94,28.5,25.25,27.54,819371,0
BE.US,D,20181011,000000,27.21,28.01,25.61,27.38,506071,0
BE.US,D,20181012,000000,27.5,28.34,26.271,26.68,270498,0
BE.US,D,20181015,000000,26.31,26.8966,25.65,26.6,214498,0
BE.US,D,20181016,000000,26.48,27.8,26.48,27.18,318471,0
BE.US,D,20181017,000000,27.18,27.67,27.03,27.32,230642,0
