<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FOA-WS.US,D,20210406,000000,1.3,1.3,1.22,1.25,206777,0
FOA-WS.US,D,20210407,000000,1.25,1.3,1.18,1.2,1112539,0
FOA-WS.US,D,20210408,000000,1.29,1.29,1.09,1.2,183902,0
FOA-WS.US,D,20210409,000000,1.15,1.29,1.15,1.29,75122,0
FOA-WS.US,D,20210412,000000,1.2,1.26,1.2,1.25,28968,0
FOA-WS.US,D,20210413,000000,1.28,1.29,1.2,1.225,64567,0
FOA-WS.US,D,20210414,000000,1.2201,1.28,1.2,1.2,116157,0
FOA-WS.US,D,20210415,000000,1.244,1.244,1.2,1.22,60404,0
FOA-WS.US,D,20210416,000000,1.2001,1.2399,1.11,1.145,147083,0
FOA-WS.US,D,20210419,000000,1.12,1.2,1.12,1.15,114290,0
FOA-WS.US,D,20210420,000000,1.14,1.14,1,1.05,86534,0
FOA-WS.US,D,20210421,000000,1.01,1.16,1.01,1.13,18034,0
FOA-WS.US,D,20210422,000000,1.2,1.22,1.1401,1.2,486556,0
FOA-WS.US,D,20210423,000000,1.2,1.2501,1.2,1.24,72505,0
FOA-WS.US,D,20210426,000000,1.2599,1.29,1.2,1.27,36515,0
FOA-WS.US,D,20210427,000000,1.29,1.35,1.253,1.31,36206,0
FOA-WS.US,D,20210428,000000,1.35,1.41,1.334,1.35,42911,0
FOA-WS.US,D,20210429,000000,1.41,1.5,1.4,1.46,149204,0
FOA-WS.US,D,20210430,000000,1.49,1.58,1.47,1.54,56467,0
FOA-WS.US,D,20210503,000000,1.6,1.63,1.46,1.61,68248,0
FOA-WS.US,D,20210504,000000,1.54,1.73,1.49,1.66,197089,0
FOA-WS.US,D,20210505,000000,1.67,1.68,1.66,1.67,31467,0
FOA-WS.US,D,20210506,000000,1.6999,1.6999,1.5,1.64,93224,0
FOA-WS.US,D,20210507,000000,1.515,1.67,1.515,1.63,35669,0
FOA-WS.US,D,20210510,000000,1.63,1.63,1.4701,1.54,659322,0
FOA-WS.US,D,20210511,000000,1.47,1.52,1.46,1.5,49863,0
FOA-WS.US,D,20210512,000000,1.48,1.51,1.41,1.48,41286,0
FOA-WS.US,D,20210513,000000,1.54,1.54,1.31,1.35,106507,0
FOA-WS.US,D,20210514,000000,1.3,1.4699,1.3,1.4,160479,0
FOA-WS.US,D,20210517,000000,1.46,1.47,1.39,1.43,14400,0
FOA-WS.US,D,20210518,000000,1.4901,1.56,1.36,1.48,38260,0
FOA-WS.US,D,20210519,000000,1.45,1.55,1.435,1.54,48056,0
FOA-WS.US,D,20210520,000000,1.51,1.52,1.4999,1.5,108600,0
FOA-WS.US,D,20210521,000000,1.5,1.51,1.45,1.49,24111,0
FOA-WS.US,D,20210524,000000,1.47,1.49,1.44,1.49,1413,0
