<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOOS.US,D,20170316,000000,18,18.4,15.85,16.08,22811316,0
GOOS.US,D,20170317,000000,16.59,17.69,16.54,17.23,9359614,0
GOOS.US,D,20170320,000000,17.1,17.2,16.55,17.1,2252053,0
GOOS.US,D,20170321,000000,17.07,17.32,16.5,16.52,1785213,0
GOOS.US,D,20170322,000000,16.47,16.53,16,16.05,1047899,0
GOOS.US,D,20170323,000000,16.07,16.25,15.75,15.96,1254952,0
GOOS.US,D,20170324,000000,15.83,16.08,15.63,15.64,709971,0
GOOS.US,D,20170327,000000,15.54,15.63,15.33,15.4,797001,0
GOOS.US,D,20170328,000000,15.33,16.36,15.2,16.35,1844264,0
GOOS.US,D,20170329,000000,16.22,16.55,16.02,16.49,799210,0
GOOS.US,D,20170330,000000,16.53,16.54,16.2101,16.41,484919,0
GOOS.US,D,20170331,000000,16.37,16.39,15.83,15.96,692188,0
GOOS.US,D,20170403,000000,16.07,16.08,15.5,15.66,431162,0
GOOS.US,D,20170404,000000,15.66,16.1,15.61,16.08,743245,0
GOOS.US,D,20170405,000000,16.1,16.54,16.08,16.47,967383,0
GOOS.US,D,20170406,000000,16.46,16.7,16.1,16.7,849401,0
GOOS.US,D,20170407,000000,16.69,16.81,16.5108,16.75,566843,0
GOOS.US,D,20170410,000000,17.07,17.23,16.61,16.8,1699632,0
GOOS.US,D,20170411,000000,16.91,17,16.1,16.24,1034610,0
GOOS.US,D,20170412,000000,16.24,16.3,15.82,16.04,525029,0
GOOS.US,D,20170413,000000,16,16.23,15.86,16.15,608142,0
GOOS.US,D,20170417,000000,16.26,16.3,15.99,16.01,264755,0
GOOS.US,D,20170418,000000,15.94,16.32,15.91,16.31,438873,0
GOOS.US,D,20170419,000000,16.26,16.35,16.2455,16.29,189998,0
GOOS.US,D,20170420,000000,16.25,16.3,16.085,16.11,265277,0
GOOS.US,D,20170421,000000,16.12,16.2,15.95,15.99,191178,0
