<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLBR.US,D,20210708,000000,9.65,9.6675,9.65,9.6675,100001,0
CLBR.US,D,20210712,000000,9.65,9.65,9.65,9.65,498,0
CLBR.US,D,20210713,000000,9.65,9.665,9.63,9.65,7699,0
CLBR.US,D,20210714,000000,9.66,9.7,9.62,9.63,115576,0
CLBR.US,D,20210715,000000,9.61,9.65,9.61,9.63,647,0
CLBR.US,D,20210716,000000,9.63,9.63,9.63,9.63,217,0
CLBR.US,D,20210719,000000,9.65,9.65,9.6,9.6,8007,0
CLBR.US,D,20210720,000000,9.61,9.63,9.61,9.63,2500,0
CLBR.US,D,20210721,000000,9.61,9.75,9.6,9.7,270544,0
CLBR.US,D,20210722,000000,9.75,9.75,9.63,9.63,1883,0
CLBR.US,D,20210723,000000,9.63,9.63,9.63,9.63,450,0
CLBR.US,D,20210726,000000,9.63,9.63,9.62,9.62,94005,0
CLBR.US,D,20210727,000000,9.64,9.64,9.62,9.62,687,0
CLBR.US,D,20210728,000000,9.62,9.62,9.6,9.6198,6421,0
CLBR.US,D,20210729,000000,9.64,9.64,9.64,9.64,619,0
CLBR.US,D,20210803,000000,9.64,9.64,9.63,9.63,208,0
CLBR.US,D,20210804,000000,9.63,9.63,9.63,9.63,700,0
CLBR.US,D,20210805,000000,9.71,9.71,9.55,9.65,68718,0
CLBR.US,D,20210806,000000,9.6,9.64,9.6,9.61,6250,0
CLBR.US,D,20210809,000000,9.62,9.63,9.6,9.63,14241,0
CLBR.US,D,20210810,000000,9.621,9.65,9.6,9.64,13659,0
CLBR.US,D,20210811,000000,9.6,9.63,9.6,9.63,373,0
CLBR.US,D,20210812,000000,9.6,9.64,9.6,9.6,6096,0
CLBR.US,D,20210813,000000,9.63,9.64,9.62,9.64,8007,0
CLBR.US,D,20210816,000000,9.59,9.64,9.59,9.63,1700,0
CLBR.US,D,20210820,000000,9.6,9.6,9.6,9.6,158,0
CLBR.US,D,20210823,000000,9.61,9.64,9.61,9.63,1501,0
CLBR.US,D,20210825,000000,9.61,9.61,9.61,9.61,408842,0
CLBR.US,D,20210830,000000,9.61,9.61,9.61,9.61,100,0
CLBR.US,D,20210831,000000,9.63,9.63,9.595,9.62,99231,0
CLBR.US,D,20210901,000000,9.6193,9.63,9.6,9.62,54503,0
CLBR.US,D,20210902,000000,9.62,9.63,9.61,9.63,6097,0
CLBR.US,D,20210903,000000,9.63,9.64,9.63,9.64,14105,0
CLBR.US,D,20210907,000000,9.64,9.65,9.625,9.64,26824,0
CLBR.US,D,20210908,000000,9.63,9.63,9.6281,9.63,333306,0
CLBR.US,D,20210909,000000,9.63,9.63,9.6,9.63,65187,0
CLBR.US,D,20210910,000000,9.6158,9.635,9.61,9.63,401284,0
CLBR.US,D,20210913,000000,9.63,9.66,9.62,9.63,28324,0
CLBR.US,D,20210914,000000,9.63,9.635,9.63,9.63,18782,0
CLBR.US,D,20210915,000000,9.63,9.68,9.63,9.67,29133,0
CLBR.US,D,20210916,000000,9.65,9.67,9.63,9.63,279200,0
CLBR.US,D,20210917,000000,9.6568,9.66,9.6568,9.66,2400,0
CLBR.US,D,20210920,000000,9.6492,9.69,9.6492,9.69,7887,0
CLBR.US,D,20210921,000000,9.69,9.69,9.64,9.69,11500,0
CLBR.US,D,20210922,000000,9.69,9.69,9.65,9.69,4203,0
CLBR.US,D,20210923,000000,9.664,9.68,9.664,9.6694,1300,0
CLBR.US,D,20210924,000000,9.66,9.66,9.66,9.66,250,0
CLBR.US,D,20210927,000000,9.6401,9.67,9.6401,9.67,200,0
CLBR.US,D,20210928,000000,9.71,9.71,9.7,9.7,623,0
CLBR.US,D,20210930,000000,9.65,9.69,9.65,9.67,4558,0
CLBR.US,D,20211004,000000,9.69,9.69,9.69,9.69,2744,0
CLBR.US,D,20211005,000000,9.69,9.7,9.69,9.7,23734,0
CLBR.US,D,20211006,000000,9.67,9.7,9.63,9.7,55413,0
CLBR.US,D,20211007,000000,9.65,9.7,9.65,9.7,9329,0
CLBR.US,D,20211011,000000,9.68,9.7,9.68,9.7,401,0
CLBR.US,D,20211012,000000,9.6925,9.7,9.6925,9.7,3834,0
CLBR.US,D,20211013,000000,9.7,9.7,9.7,9.7,2033,0
CLBR.US,D,20211014,000000,9.7,9.7,9.65,9.66,36158,0
CLBR.US,D,20211015,000000,9.69,9.69,9.69,9.69,686,0
CLBR.US,D,20211018,000000,9.7,9.7,9.68,9.68,500403,0
CLBR.US,D,20211021,000000,9.69,9.69,9.69,9.69,1700,0
CLBR.US,D,20211022,000000,9.7,9.7,9.7,9.7,139,0
CLBR.US,D,20211025,000000,9.7,9.7,9.695,9.7,13294,0
CLBR.US,D,20211026,000000,9.68,9.7,9.68,9.7,239972,0
CLBR.US,D,20211027,000000,9.68,9.7,9.68,9.7,46248,0
