<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FREY-WS.US,D,20210708,000000,1.9,2.0101,1.9,2.01,6861,0
FREY-WS.US,D,20210709,000000,2.02,2.0446,1.8,1.8699,73615,0
FREY-WS.US,D,20210712,000000,1.9,1.9,1.71,1.81,42798,0
FREY-WS.US,D,20210713,000000,1.75,2.1,1.75,2.05,54412,0
FREY-WS.US,D,20210714,000000,1.9,2.1,1.9,1.95,14451,0
FREY-WS.US,D,20210715,000000,2.01,2.01,1.82,1.85,13361,0
FREY-WS.US,D,20210716,000000,1.9,1.97,1.67,1.7299,101520,0
FREY-WS.US,D,20210719,000000,1.685,1.78,1.6,1.78,27488,0
FREY-WS.US,D,20210720,000000,1.74,1.9,1.65,1.79,41528,0
FREY-WS.US,D,20210721,000000,1.73,1.79,1.6599,1.7335,19929,0
FREY-WS.US,D,20210722,000000,1.71,1.79,1.7,1.79,7567,0
FREY-WS.US,D,20210723,000000,1.73,2.04,1.73,1.99,66358,0
FREY-WS.US,D,20210726,000000,1.89,2.04,1.88,2,37934,0
FREY-WS.US,D,20210727,000000,1.97,2.05,1.85,2,70967,0
FREY-WS.US,D,20210728,000000,1.88,1.95,1.77,1.89,20713,0
FREY-WS.US,D,20210729,000000,1.79,1.8101,1.7795,1.7992,56308,0
FREY-WS.US,D,20210730,000000,1.8101,1.875,1.76,1.84,16025,0
FREY-WS.US,D,20210802,000000,1.7701,1.99,1.7701,1.82,6245,0
FREY-WS.US,D,20210803,000000,1.86,1.8999,1.77,1.8698,16824,0
FREY-WS.US,D,20210804,000000,1.9899,2.14,1.9899,2.1,67988,0
FREY-WS.US,D,20210805,000000,2.3,2.35,2.1406,2.3,73274,0
FREY-WS.US,D,20210806,000000,2.3,2.5999,2.25,2.4103,41598,0
FREY-WS.US,D,20210809,000000,2.42,2.66,2.42,2.6,103604,0
FREY-WS.US,D,20210810,000000,2.7,2.99,2.7,2.95,211276,0
FREY-WS.US,D,20210811,000000,2.88,2.88,1.93,2.55,180944,0
FREY-WS.US,D,20210812,000000,2.6,2.6,2.26,2.4,78333,0
FREY-WS.US,D,20210813,000000,2.32,2.6,2.26,2.4,87633,0
FREY-WS.US,D,20210816,000000,2.28,2.52,2.03,2.1,55828,0
FREY-WS.US,D,20210817,000000,2.2601,2.3119,1.93,1.93,60058,0
FREY-WS.US,D,20210818,000000,2.23,2.23,1.95,2.015,27227,0
FREY-WS.US,D,20210819,000000,2.01,2.03,1.88,1.9182,16269,0
FREY-WS.US,D,20210820,000000,2.02,2.02,1.94,1.99,10959,0
FREY-WS.US,D,20210823,000000,2.1,2.2,2.1,2.14,14102,0
FREY-WS.US,D,20210824,000000,2.43,2.43,2.1505,2.245,22530,0
FREY-WS.US,D,20210825,000000,2.33,2.35,2.07,2.1806,20322,0
FREY-WS.US,D,20210826,000000,2.2,2.2,2.04,2.07,7650,0
FREY-WS.US,D,20210827,000000,2.125,2.2,2.1,2.12,10867,0
FREY-WS.US,D,20210830,000000,2.1817,2.1817,2.01,2.0901,9407,0
FREY-WS.US,D,20210831,000000,2.1,2.114,2.05,2.06,7710,0
FREY-WS.US,D,20210901,000000,2,2.1,1.96,2.06,71334,0
FREY-WS.US,D,20210902,000000,2.05,2.08,2.04,2.06,47050,0
FREY-WS.US,D,20210903,000000,2,2.122,1.995,2.02,12995,0
FREY-WS.US,D,20210907,000000,1.97,2.02,1.97,1.99,204710,0
FREY-WS.US,D,20210908,000000,1.99,2.01,1.99,2.0089,8007,0
FREY-WS.US,D,20210909,000000,1.99,2.215,1.99,2.17,17139,0
FREY-WS.US,D,20210910,000000,2.09,2.225,2.0208,2.21,10963,0
FREY-WS.US,D,20210913,000000,2.08,2.21,2,2.16,11374,0
FREY-WS.US,D,20210914,000000,2.09,2.15,2.01,2.13,26492,0
FREY-WS.US,D,20210915,000000,2.19,2.2,2.05,2.1002,17785,0
FREY-WS.US,D,20210916,000000,2.05,2.14,2.05,2.14,1517,0
FREY-WS.US,D,20210917,000000,2.09,2.3,2.09,2.25,34092,0
FREY-WS.US,D,20210920,000000,2.07,2.22,2.01,2.22,11588,0
FREY-WS.US,D,20210921,000000,2.21,2.27,2.18,2.26,48576,0
FREY-WS.US,D,20210922,000000,2.27,2.66,2.24,2.5601,135915,0
FREY-WS.US,D,20210923,000000,2.49,2.68,2.33,2.45,14301,0
FREY-WS.US,D,20210924,000000,2.37,2.5,2.37,2.45,11382,0
FREY-WS.US,D,20210927,000000,2.44,2.81,2.44,2.72,40163,0
FREY-WS.US,D,20210928,000000,2.65,2.75,2.55,2.75,28255,0
FREY-WS.US,D,20210929,000000,2.66,2.7902,2.66,2.7696,28700,0
FREY-WS.US,D,20210930,000000,2.82,2.97,2.7,2.96,34616,0
FREY-WS.US,D,20211001,000000,2.77,2.9001,2.77,2.89,70564,0
FREY-WS.US,D,20211004,000000,2.89,2.9,2.6,2.8,102466,0
FREY-WS.US,D,20211005,000000,2.6,2.8399,2.5998,2.8,26551,0
FREY-WS.US,D,20211006,000000,2.71,2.71,2.53,2.62,25184,0
FREY-WS.US,D,20211007,000000,2.72,2.75,2.64,2.65,47706,0
FREY-WS.US,D,20211008,000000,2.68,2.73,2.61,2.67,46932,0
FREY-WS.US,D,20211011,000000,2.8,2.8,2.55,2.61,34711,0
FREY-WS.US,D,20211012,000000,2.95,2.98,2.77,2.85,163223,0
FREY-WS.US,D,20211013,000000,2.85,2.95,2.7,2.95,91900,0
FREY-WS.US,D,20211014,000000,2.95,2.98,2.89,2.9101,7944,0
FREY-WS.US,D,20211015,000000,2.95,2.99,2.87,2.97,80499,0
FREY-WS.US,D,20211018,000000,2.97,2.98,2.84,2.89,96667,0
FREY-WS.US,D,20211019,000000,2.85,3,2.85,2.99,104875,0
FREY-WS.US,D,20211020,000000,3.04,3.04,2.78,2.83,102069,0
FREY-WS.US,D,20211021,000000,2.83,2.87,2.82,2.83,57580,0
FREY-WS.US,D,20211022,000000,2.9,2.9307,2.83,2.9,11452,0
FREY-WS.US,D,20211025,000000,3,3.05,2.8801,3,20449,0
FREY-WS.US,D,20211026,000000,3,3.24,3,3.09,125874,0
