<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FVIV.US,D,20210511,000000,9.81,9.82,9.81,9.81,4126,0
FVIV.US,D,20210512,000000,10.1666,10.23,9.77,9.8,4421,0
FVIV.US,D,20210513,000000,9.82,9.84,9.77,9.79,15450,0
FVIV.US,D,20210526,000000,10.029,10.05,9.67,9.76,12027,0
FVIV.US,D,20210528,000000,9.76,9.87,9.76,9.82,4679,0
FVIV.US,D,20210601,000000,9.95,9.95,9.7401,9.7401,300,0
FVIV.US,D,20210608,000000,9.88,9.95,9.88,9.95,7527,0
FVIV.US,D,20210609,000000,9.97,10.2,9.75,9.97,40056,0
FVIV.US,D,20210618,000000,9.89,9.89,9.71,9.77,1787,0
FVIV.US,D,20210622,000000,9.81,9.81,9.8,9.8,437,0
FVIV.US,D,20210623,000000,9.85,9.85,9.85,9.85,200,0
FVIV.US,D,20210624,000000,10,10,10,10,9084,0
FVIV.US,D,20210625,000000,9.98,9.99,9.74,9.93,32016,0
FVIV.US,D,20210628,000000,10.11,10.11,9.91,9.95,4843,0
FVIV.US,D,20210629,000000,9.95,9.97,9.95,9.95,9633,0
FVIV.US,D,20210630,000000,9.875,9.875,9.81,9.81,15039,0
FVIV.US,D,20210701,000000,9.79,9.845,9.74,9.75,227361,0
FVIV.US,D,20210702,000000,9.81,9.81,9.7,9.71,216963,0
FVIV.US,D,20210706,000000,9.75,9.79,9.74,9.79,6784,0
FVIV.US,D,20210707,000000,9.75,9.75,9.75,9.75,1822,0
FVIV.US,D,20210708,000000,9.73,9.81,9.7,9.76,62920,0
FVIV.US,D,20210709,000000,9.72,9.8092,9.72,9.8,2332,0
FVIV.US,D,20210712,000000,9.7999,9.91,9.72,9.845,11388,0
FVIV.US,D,20210713,000000,9.77,9.9,9.74,9.78,16954,0
FVIV.US,D,20210714,000000,9.93,9.93,9.69,9.69,119872,0
FVIV.US,D,20210715,000000,9.75,9.75,9.75,9.75,271,0
FVIV.US,D,20210716,000000,9.76,9.79,9.76,9.79,203,0
FVIV.US,D,20210719,000000,9.77,9.77,9.73,9.75,1560,0
FVIV.US,D,20210720,000000,9.78,9.8,9.78,9.8,6743,0
FVIV.US,D,20210721,000000,9.8,9.83,9.725,9.77,5758,0
FVIV.US,D,20210722,000000,9.89,10,9.67,9.71,9604,0
FVIV.US,D,20210723,000000,9.7487,9.78,9.73,9.75,4481,0
FVIV.US,D,20210726,000000,9.72,9.72,9.72,9.72,100,0
FVIV.US,D,20210727,000000,9.73,9.75,9.72,9.75,2536,0
FVIV.US,D,20210728,000000,9.74,9.825,9.74,9.825,500,0
FVIV.US,D,20210802,000000,9.82,9.83,9.82,9.83,5332,0
FVIV.US,D,20210803,000000,9.82,9.83,9.7423,9.83,6500,0
FVIV.US,D,20210805,000000,9.8225,9.8225,9.8225,9.8225,102,0
FVIV.US,D,20210810,000000,9.7,9.83,9.7,9.83,758,0
FVIV.US,D,20210811,000000,9.76,9.82,9.75,9.75,3771,0
FVIV.US,D,20210812,000000,9.79,9.79,9.7007,9.7007,659,0
FVIV.US,D,20210813,000000,9.71,9.71,9.68,9.7,7293,0
FVIV.US,D,20210816,000000,9.68,9.8,9.66,9.7,330065,0
FVIV.US,D,20210817,000000,9.7,9.76,9.66,9.68,10920,0
FVIV.US,D,20210819,000000,9.68,9.71,9.68,9.68,3237,0
FVIV.US,D,20210820,000000,9.75,9.75,9.68,9.69,8055,0
FVIV.US,D,20210823,000000,9.79,9.79,9.67,9.76,7169,0
FVIV.US,D,20210824,000000,9.7,9.7,9.7,9.7,441,0
FVIV.US,D,20210826,000000,9.67,9.77,9.5,9.5,74940,0
FVIV.US,D,20210827,000000,9.59,9.655,9.55,9.655,17473,0
FVIV.US,D,20210830,000000,9.62,9.67,9.62,9.67,1278,0
FVIV.US,D,20210831,000000,9.7,9.74,9.6509,9.74,14304,0
FVIV.US,D,20210901,000000,9.94,9.95,9.65,9.67,1772704,0
FVIV.US,D,20210902,000000,9.66,9.73,9.66,9.66,4528,0
FVIV.US,D,20210903,000000,9.66,9.79,9.65,9.66,198168,0
FVIV.US,D,20210907,000000,9.66,9.73,9.66,9.72,2594362,0
FVIV.US,D,20210908,000000,9.68,9.745,9.68,9.71,5933,0
FVIV.US,D,20210909,000000,9.75,9.75,9.66,9.7,27150,0
FVIV.US,D,20210913,000000,9.7001,9.77,9.7,9.7,1006390,0
FVIV.US,D,20210914,000000,9.69,9.75,9.69,9.73,865321,0
FVIV.US,D,20210915,000000,9.78,9.78,9.7,9.77,16592,0
FVIV.US,D,20210916,000000,9.76,9.76,9.7,9.76,7474,0
FVIV.US,D,20210920,000000,9.7,9.78,9.7,9.78,220,0
FVIV.US,D,20210923,000000,9.76,9.77,9.75,9.76,16289,0
FVIV.US,D,20210924,000000,9.73,9.78,9.73,9.78,428434,0
FVIV.US,D,20210927,000000,9.75,9.75,9.71,9.71,2620,0
FVIV.US,D,20210930,000000,9.74,9.77,9.71,9.74,29428,0
FVIV.US,D,20211001,000000,9.76,9.78,9.73,9.73,27004,0
FVIV.US,D,20211004,000000,9.76,9.77,9.73,9.77,5518,0
FVIV.US,D,20211007,000000,9.77,9.78,9.74,9.76,50715,0
FVIV.US,D,20211008,000000,9.73,9.73,9.73,9.73,100,0
FVIV.US,D,20211011,000000,9.72,9.76,9.72,9.76,2031,0
FVIV.US,D,20211012,000000,9.75,9.77,9.75,9.76,6677,0
FVIV.US,D,20211013,000000,9.76,9.77,9.74,9.76,542659,0
