<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPVA.US,D,20210429,000000,10.7099,10.7099,9.9,10.01,8919,0
IPVA.US,D,20210430,000000,9.92,9.92,9.92,9.92,1501,0
IPVA.US,D,20210504,000000,9.75,9.75,9.7,9.7,498,0
IPVA.US,D,20210505,000000,9.75,9.75,9.75,9.75,31471,0
IPVA.US,D,20210506,000000,9.75,9.85,9.75,9.85,73128,0
IPVA.US,D,20210507,000000,9.86,9.9,9.75,9.78,2300,0
IPVA.US,D,20210510,000000,10,10,9.83,9.83,501,0
IPVA.US,D,20210511,000000,9.83,9.83,9.83,9.83,200,0
IPVA.US,D,20210514,000000,9.75,9.75,9.75,9.75,13109,0
IPVA.US,D,20210517,000000,9.73,9.73,9.72,9.73,5613,0
IPVA.US,D,20210518,000000,9.72,9.72,9.72,9.72,1004,0
IPVA.US,D,20210519,000000,9.72,9.85,9.72,9.85,89736,0
IPVA.US,D,20210520,000000,9.76,9.76,9.76,9.76,100,0
IPVA.US,D,20210521,000000,9.76,9.76,9.74,9.74,5005,0
IPVA.US,D,20210525,000000,9.73,9.74,9.72,9.74,5000,0
IPVA.US,D,20210526,000000,9.935,10,9.83,9.86,7320,0
IPVA.US,D,20210528,000000,9.94,9.94,9.73,9.73,8088,0
IPVA.US,D,20210601,000000,9.75,9.75,9.75,9.75,277,0
IPVA.US,D,20210602,000000,9.8,9.8,9.73,9.78,5112,0
IPVA.US,D,20210603,000000,9.8,9.8,9.71,9.71,16900,0
IPVA.US,D,20210604,000000,9.72,9.72,9.72,9.72,177,0
IPVA.US,D,20210607,000000,9.72,9.72,9.71,9.72,8103,0
IPVA.US,D,20210608,000000,9.71,9.72,9.71,9.72,11825,0
IPVA.US,D,20210609,000000,9.7,9.7,9.7,9.7,5072,0
IPVA.US,D,20210610,000000,9.7,9.72,9.7,9.7,2575,0
IPVA.US,D,20210611,000000,9.77,9.77,9.77,9.77,100,0
IPVA.US,D,20210614,000000,9.7,9.7,9.7,9.7,3041,0
IPVA.US,D,20210615,000000,9.7,9.7,9.7,9.7,801,0
IPVA.US,D,20210616,000000,9.74,9.74,9.74,9.74,163,0
IPVA.US,D,20210618,000000,9.75,9.75,9.75,9.75,1030,0
IPVA.US,D,20210621,000000,9.725,9.75,9.725,9.75,3536,0
IPVA.US,D,20210623,000000,9.77,9.77,9.77,9.77,308,0
IPVA.US,D,20210624,000000,9.71,9.75,9.71,9.75,499,0
