<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FVIV-WS.US,D,20210513,000000,1.25,1.25,1.06,1.085,26371,0
FVIV-WS.US,D,20210514,000000,1.02,1.1,1.02,1.05,3323,0
FVIV-WS.US,D,20210517,000000,1.12,1.13,1.05,1.06,11827,0
FVIV-WS.US,D,20210518,000000,1.11,1.11,1.08,1.08,1538,0
FVIV-WS.US,D,20210519,000000,1.1099,1.11,1.09,1.106,6034,0
FVIV-WS.US,D,20210520,000000,1.06,1.1199,1.04,1.1199,118858,0
FVIV-WS.US,D,20210521,000000,1.1,1.1,1.05,1.05,40750,0
FVIV-WS.US,D,20210524,000000,1,1.09,1,1.09,137672,0
FVIV-WS.US,D,20210525,000000,1.09,1.09,1,1.02,29190,0
FVIV-WS.US,D,20210526,000000,1,1.03,0.98,1,81600,0
FVIV-WS.US,D,20210527,000000,1,1.0075,0.97,0.97,50448,0
FVIV-WS.US,D,20210528,000000,1.04,1.05,0.99,0.9999,23603,0
FVIV-WS.US,D,20210601,000000,1,1,0.9967,1,14577,0
FVIV-WS.US,D,20210602,000000,1.03,1.03,1.01,1.02,2056,0
FVIV-WS.US,D,20210603,000000,1.04,1.04,0.972,0.972,8100,0
FVIV-WS.US,D,20210607,000000,1.06,1.06,1.0101,1.0496,6101,0
FVIV-WS.US,D,20210608,000000,1,1.03,1,1.03,2863,0
FVIV-WS.US,D,20210609,000000,1.05,1.1,1.01,1.1,86596,0
FVIV-WS.US,D,20210610,000000,1.15,1.348,1.15,1.26,218449,0
FVIV-WS.US,D,20210611,000000,1.25,1.25,1.25,1.25,1767,0
FVIV-WS.US,D,20210615,000000,1.27,1.305,1.25,1.305,7576,0
FVIV-WS.US,D,20210616,000000,1.2712,1.2712,1.26,1.26,1375,0
FVIV-WS.US,D,20210617,000000,1.22,1.24,1.22,1.24,1688,0
FVIV-WS.US,D,20210618,000000,1.2528,1.3,1.235,1.235,1000,0
FVIV-WS.US,D,20210621,000000,1.23,1.3,1.2,1.3,6200,0
FVIV-WS.US,D,20210622,000000,1.24,1.34,1.24,1.34,5101,0
FVIV-WS.US,D,20210624,000000,1.24,1.31,1.22,1.22,2015,0
FVIV-WS.US,D,20210625,000000,1.23,1.3,1.23,1.23,3691,0
FVIV-WS.US,D,20210628,000000,1.25,1.25,1.16,1.22,17547,0
FVIV-WS.US,D,20210629,000000,1.2,1.23,1.19,1.23,8650,0
FVIV-WS.US,D,20210630,000000,1.28,1.28,1.28,1.28,1867,0
FVIV-WS.US,D,20210701,000000,1.16,1.27,1.16,1.25,17805,0
FVIV-WS.US,D,20210702,000000,1.25,1.25,1.21,1.24,3021,0
FVIV-WS.US,D,20210706,000000,1.4,1.4,1.3,1.3,9895,0
FVIV-WS.US,D,20210707,000000,1.3,1.35,1.3,1.305,3240,0
FVIV-WS.US,D,20210708,000000,1.39,1.39,1.24,1.305,7483,0
FVIV-WS.US,D,20210709,000000,1.48,1.48,1.23,1.23,23084,0
FVIV-WS.US,D,20210712,000000,1.3,1.3001,1.28,1.28,5331,0
FVIV-WS.US,D,20210713,000000,1.28,1.405,1.28,1.3,8443,0
FVIV-WS.US,D,20210714,000000,1.33,1.3411,1.27,1.27,36202,0
FVIV-WS.US,D,20210715,000000,1.33,1.35,1.33,1.35,11419,0
FVIV-WS.US,D,20210719,000000,1.3,1.301,1.2999,1.301,37900,0
FVIV-WS.US,D,20210721,000000,1.25,1.35,1.22,1.29,10480,0
FVIV-WS.US,D,20210722,000000,1.26,1.34,1.25,1.33,3676,0
FVIV-WS.US,D,20210726,000000,1.29,1.31,1.26,1.26,1133,0
FVIV-WS.US,D,20210727,000000,1.25,1.26,1.22,1.22,2697,0
FVIV-WS.US,D,20210729,000000,1.25,1.25,1.16,1.1996,20684,0
FVIV-WS.US,D,20210730,000000,1.16,1.1601,1.16,1.1601,2001,0
FVIV-WS.US,D,20210802,000000,1.2,1.2,1.14,1.14,822,0
FVIV-WS.US,D,20210803,000000,1.2,1.2,1.2,1.2,729,0
FVIV-WS.US,D,20210804,000000,1.2,1.2,1.2,1.2,427,0
FVIV-WS.US,D,20210805,000000,1.28,1.28,1.1828,1.2,38502,0
FVIV-WS.US,D,20210806,000000,1.33,1.33,1.18,1.1902,15381,0
FVIV-WS.US,D,20210809,000000,1.23,1.23,1.23,1.23,243,0
FVIV-WS.US,D,20210810,000000,1.16,1.16,1.16,1.16,226,0
FVIV-WS.US,D,20210811,000000,1.18,1.18,1.13,1.13,1688,0
FVIV-WS.US,D,20210812,000000,1.13,1.13,1.13,1.13,1371,0
FVIV-WS.US,D,20210813,000000,1.12,1.15,1.1,1.12,4089,0
FVIV-WS.US,D,20210816,000000,1.15,1.26,1.15,1.18,8216,0
FVIV-WS.US,D,20210817,000000,1.17,1.18,1.11,1.11,1582,0
FVIV-WS.US,D,20210819,000000,1.0629,1.0629,1.05,1.06,5289,0
FVIV-WS.US,D,20210820,000000,1.04,1.0403,1.0106,1.035,11911,0
FVIV-WS.US,D,20210824,000000,0.9701,1.0002,0.9601,1,12840,0
FVIV-WS.US,D,20210826,000000,0.99,1,0.99,1,5217,0
FVIV-WS.US,D,20210827,000000,1,1,0.99,1,4720,0
FVIV-WS.US,D,20210830,000000,1.03,1.03,1.01,1.01,401,0
FVIV-WS.US,D,20210831,000000,1.02,1.04,0.985,1.04,2286,0
FVIV-WS.US,D,20210901,000000,0.95,0.99,0.95,0.99,2130,0
FVIV-WS.US,D,20210902,000000,0.98,0.98,0.98,0.98,431,0
FVIV-WS.US,D,20210903,000000,0.98,1,0.98,1,16527,0
