<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATAQ.US,D,20210428,000000,9.85,9.85,9.8,9.8,800,0
ATAQ.US,D,20210429,000000,9.84,9.84,9.84,9.84,1401,0
ATAQ.US,D,20210430,000000,9.82,9.84,9.76,9.84,41511,0
ATAQ.US,D,20210503,000000,9.81,9.84,9.81,9.84,5002,0
ATAQ.US,D,20210504,000000,9.8,9.98,9.8,9.8,11914,0
ATAQ.US,D,20210505,000000,9.83,9.85,9.83,9.85,24026,0
ATAQ.US,D,20210506,000000,9.83,9.83,9.83,9.83,8300,0
ATAQ.US,D,20210507,000000,9.81,9.8546,9.81,9.8546,711,0
ATAQ.US,D,20210510,000000,9.81,9.81,9.8,9.8,572,0
ATAQ.US,D,20210511,000000,9.82,9.86,9.8,9.86,5900,0
ATAQ.US,D,20210512,000000,9.86,9.9,9.86,9.9,1501,0
ATAQ.US,D,20210520,000000,9.8,9.8,9.8,9.8,101,0
ATAQ.US,D,20210526,000000,9.86,9.87,9.86,9.87,558,0
ATAQ.US,D,20210601,000000,9.83,9.86,9.75,9.76,1995,0
ATAQ.US,D,20210602,000000,9.76,9.795,9.76,9.77,4753,0
ATAQ.US,D,20210607,000000,9.8,9.8,9.8,9.8,155,0
ATAQ.US,D,20210609,000000,9.85,9.85,9.85,9.85,10773,0
ATAQ.US,D,20210610,000000,9.86,9.9,9.86,9.9,24268,0
ATAQ.US,D,20210611,000000,9.93,9.93,9.92,9.92,413,0
ATAQ.US,D,20210614,000000,9.9,9.9,9.9,9.9,5418,0
ATAQ.US,D,20210615,000000,9.92,9.92,9.84,9.9,27336,0
ATAQ.US,D,20210617,000000,9.9,9.9,9.9,9.9,30202,0
ATAQ.US,D,20210625,000000,9.81,9.81,9.81,9.81,606,0
ATAQ.US,D,20210629,000000,9.8,9.8,9.75,9.8,27816,0
ATAQ.US,D,20210630,000000,9.77,9.78,9.75,9.75,10801,0
ATAQ.US,D,20210701,000000,9.71,9.78,9.71,9.75,6317,0
ATAQ.US,D,20210702,000000,9.71,9.73,9.71,9.72,450868,0
ATAQ.US,D,20210706,000000,9.71,9.75,9.71,9.75,37031,0
ATAQ.US,D,20210707,000000,9.73,9.77,9.72,9.77,6465,0
ATAQ.US,D,20210708,000000,9.71,9.77,9.7,9.77,8164,0
ATAQ.US,D,20210709,000000,9.77,9.77,9.77,9.77,5054,0
ATAQ.US,D,20210714,000000,9.825,9.825,9.825,9.825,262,0
ATAQ.US,D,20210715,000000,9.86,9.86,9.7,9.7,14543,0
ATAQ.US,D,20210716,000000,9.668,9.73,9.668,9.71,6650,0
ATAQ.US,D,20210719,000000,9.74,9.74,9.69,9.73,3405,0
ATAQ.US,D,20210721,000000,9.725,9.725,9.725,9.725,1561,0
ATAQ.US,D,20210723,000000,9.705,9.705,9.705,9.705,250,0
ATAQ.US,D,20210726,000000,9.75,9.75,9.75,9.75,496,0
ATAQ.US,D,20210727,000000,9.72,9.72,9.72,9.72,2002,0
ATAQ.US,D,20210802,000000,9.67,9.7,9.67,9.7,373,0
ATAQ.US,D,20210805,000000,9.7,9.71,9.7,9.71,85477,0
ATAQ.US,D,20210806,000000,9.72,9.75,9.72,9.75,1127,0
ATAQ.US,D,20210809,000000,9.78,9.78,9.72,9.75,37704,0
ATAQ.US,D,20210810,000000,9.76,9.91,9.72,9.87,83946,0
ATAQ.US,D,20210811,000000,9.87,9.918,9.76,9.86,8948,0
ATAQ.US,D,20210812,000000,9.83,9.91,9.75,9.79,6959,0
ATAQ.US,D,20210813,000000,9.75,9.755,9.75,9.755,428,0
ATAQ.US,D,20210818,000000,9.75,9.86,9.68,9.68,92786,0
ATAQ.US,D,20210819,000000,9.7,9.7,9.7,9.7,271,0
ATAQ.US,D,20210824,000000,9.66,9.66,9.66,9.66,127,0
ATAQ.US,D,20210825,000000,9.66,9.66,9.66,9.66,147,0
ATAQ.US,D,20210830,000000,9.65,9.65,9.65,9.65,265,0
ATAQ.US,D,20210831,000000,9.77,9.77,9.66,9.68,10796,0
ATAQ.US,D,20210901,000000,9.8,9.8,9.65,9.65,562,0
ATAQ.US,D,20210902,000000,9.65,9.65,9.65,9.65,4270,0
ATAQ.US,D,20210903,000000,9.65,9.74,9.65,9.68,37970,0
ATAQ.US,D,20210907,000000,9.75,9.75,9.65,9.7,243583,0
ATAQ.US,D,20210908,000000,9.68,9.85,9.68,9.85,503,0
ATAQ.US,D,20210910,000000,9.685,9.765,9.68,9.765,16995,0
ATAQ.US,D,20210913,000000,9.72,9.75,9.68,9.73,6402,0
ATAQ.US,D,20210914,000000,9.72,9.84,9.7,9.84,98063,0
ATAQ.US,D,20210915,000000,9.73,9.8,9.71,9.8,4174,0
ATAQ.US,D,20210920,000000,9.69,9.8,9.68,9.8,54600,0
ATAQ.US,D,20210921,000000,9.75,9.78,9.75,9.77,453084,0
ATAQ.US,D,20210922,000000,9.76,9.77,9.76,9.77,764,0
ATAQ.US,D,20210927,000000,9.72,9.79,9.72,9.78,503541,0
ATAQ.US,D,20210928,000000,9.77,9.83,9.77,9.8,610,0
ATAQ.US,D,20210929,000000,9.73,9.85,9.73,9.77,2776,0
ATAQ.US,D,20210930,000000,9.69,9.77,9.69,9.74,6896,0
ATAQ.US,D,20211001,000000,9.77,9.8,9.74,9.8,3304,0
ATAQ.US,D,20211004,000000,9.8,9.8,9.73,9.8,2394,0
ATAQ.US,D,20211006,000000,9.77,9.8,9.77,9.8,322692,0
ATAQ.US,D,20211007,000000,9.8,9.8,9.77,9.77,1169,0
ATAQ.US,D,20211008,000000,9.73,9.73,9.73,9.73,100,0
ATAQ.US,D,20211012,000000,9.78,9.78,9.78,9.78,106,0
ATAQ.US,D,20211014,000000,9.78,9.78,9.76,9.76,520,0
ATAQ.US,D,20211018,000000,9.73,9.78,9.73,9.78,42764,0
ATAQ.US,D,20211019,000000,9.78,9.78,9.78,9.78,282,0
ATAQ.US,D,20211021,000000,9.74,9.78,9.74,9.78,3623,0
ATAQ.US,D,20211025,000000,9.78,9.78,9.74,9.74,562,0
ATAQ.US,D,20211026,000000,9.74,9.77,9.74,9.77,1332,0
ATAQ.US,D,20211027,000000,9.74,9.77,9.74,9.77,601,0
