<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVT.US,D,20211013,000000,23.5,23.95,23.18,23.52,1430619,0
IVT.US,D,20211014,000000,23.64,25,23.5,25,1358500,0
IVT.US,D,20211015,000000,24.52,25,24.18,24.99,943252,0
IVT.US,D,20211018,000000,24.61,25.1,24.26,24.77,751459,0
IVT.US,D,20211019,000000,24.54,25,24.49,24.75,914889,0
IVT.US,D,20211020,000000,24.66,24.86,24.55,24.86,686941,0
IVT.US,D,20211021,000000,24.65,24.89,24.516,24.61,823230,0
IVT.US,D,20211022,000000,24.4,24.69,24.2,24.64,511714,0
IVT.US,D,20211025,000000,24.51,24.82,24.37,24.75,637463,0
IVT.US,D,20211026,000000,24.57,24.75,24.5,24.62,778400,0
IVT.US,D,20211027,000000,24.42,24.62,24.31,24.41,710749,0
